,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,BarrySilbert,2013-05-02,Big Banks Are Confident in the Face of the Bitcoin Threat http://t.co/pzLGvHjJtU via @iimag @aarontimms,Positive,-11.169998168900008,0.0,0.0
1,BarrySilbert,2013-05-02,"For many bitcoiners, today is tax day (part deux)",Positive,-11.169998168900008,0.0,0.0
2,BarrySilbert,2013-05-02,"Bitcoin, Open Source Movement For Decentralized Future http://t.co/qCVD7zxLJd @Falkvinge @nozomimagine",Positive,-11.169998168900008,0.0,0.0
3,BarrySilbert,2013-05-02,Bitcoin Economy Widens as Parents Pay Digital Allowance http://t.co/DWutSCBThD via @BloombergNews @olgakharif,Positive,-11.169998168900008,0.0,0.0
4,BarrySilbert,2013-05-02,"Happy to see @jerrybrito and @coincenter already speaking with press and getting out ahead of FUD directed at bitcoin
http://t.co/pclaDT2mvv",Positive,-11.169998168900008,0.0,0.0
5,BarrySilbert,2013-05-02,@coolbearcjs @BitcoinTrust @Sibos afraid so. we have high standards for our robot guests,Positive,-11.169998168900008,0.0,0.0
6,BarrySilbert,2013-05-02,"@BitcoinBelle I'd say betting my career, reputation and financial well-being on bitcoin demonstrates pretty clear commitment, no?",Positive,-11.169998168900008,0.0,0.0
7,BarrySilbert,2013-05-03,@BitcoinBelle let me know the next time you pass thru NYC. I'd love to hear your thoughts on things,Positive,-8.5,0.0,0.0
8,BarrySilbert,2013-05-03,@BitcoinBelle cool. shoot me a DM,Positive,-8.5,0.0,0.0
9,BarrySilbert,2013-05-05,"Ready to party at Sibos? @circlebits and @BitcoinTrust are hosting a bitcoin bash on Sept 29:
https://t.co/SJ4EWSOIsE
 
cc @Innotribe @Sibos",Positive,3.0100021362000007,0.0,0.0
10,BarrySilbert,2013-05-07,Latest issue of Bitcoin Buzz by @BitcoinTrust is out: http://t.co/abKWgGEgjA,Positive,-0.75,0.0,0.0
11,BarrySilbert,2013-05-07,For a good chuckle: Smart People Say Dumb Things http://t.co/AvZWIZGq7z via @DCCCertified #Bitcoin,Positive,-0.75,0.0,0.0
12,BarrySilbert,2013-05-14,My latest investment: Digital Currency Council Brings Bitcoin’s Three R’s to Wall Street http://t.co/a1UALFckCl via @WSJ @paulvigna,Positive,-6.480003356899999,0.0,0.0
13,BarrySilbert,2013-05-19,"@DoctorBitcoin or if you used bitcoin or mined bitcoin. also, covers 2009-2013. lots of taxes due today IMO",Positive,-1.221000671400006,0.0,0.0
