,Text,Username,Unnamed: 0,Datetime,polarity
0,This is a great video from President @nayibbukele of El Salvador. He is a fresh face of visionary global politics speaking plainly and clearly about #bitcoin and #health at a time when most governments are flailing. https://t.co/Yh0MEKeBEd,TimDraper,121024,2022-01-07 01:05:53+00:00,Positive
1,This is a great video from President @nayibbukele of El Salvador. He is a fresh face of visionary global politics speaking plainly and clearly about #bitcoin and #health at a time when most governments are flailing. https://t.co/Yh0MEKwd2N,TimDraper,121025,2022-01-07 01:05:30+00:00,Positive
2,"@Bitwage, a @drapervc portco. The first Bitcoin payroll paid on lightning through a payment processor.  The drumbeat continues.... #bitcoin #trust #freedom

https://t.co/bhU0iAELFL",TimDraper,121027,2022-01-03 21:52:39+00:00,Positive
3,This is so exciting! @ElSalvador ⁦@nayibbukele⁩ spreading #trust #freedom and #bitcoin throughout the land. I particularly like that the new city is designed in the shape of the #bitcoin logo. Brilliant! https://t.co/2duyy4iaql,TimDraper,121029,2022-01-03 21:01:42+00:00,Positive
4,#trust and #freedom = #bitcoin  https://t.co/XC3KxHplvW,TimDraper,121030,2021-12-31 16:19:16+00:00,Positive
5,Interesting point of view from Mexican billionaire. He calls fiat a fraud since governments keep printing it irresponsibly and tells his followers to buy #bitcoin. https://t.co/Sirfqm836e,TimDraper,121031,2021-12-29 20:04:17+00:00,Positive
6,"Great interview with Singapore's @FinTechMagazine
https://t.co/za1dSF56yy #Bitcoin  #China #freedom #trust #ESG",TimDraper,121033,2021-12-15 23:58:28+00:00,Positive
7,Great perspectives on NFTs and where they can go. #bitcoin #nft #crypto https://t.co/yc93bJDZUJ,TimDraper,121034,2021-12-14 17:47:09+00:00,Negative
8,This is government math. Do you really want to hold government currency? #bitcoin #trust #freedom,TimDraper,121037,2021-12-04 00:19:30+00:00,Negative
9,Bloomberg @business interview about opportunities in South America. Also some stuff on #bitcoin and it's importance for global #trust and #freedom. https://t.co/7anUDHlnAn,TimDraper,121040,2021-12-03 23:33:46+00:00,Negative
