,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,TimDraper,2013-05-14,This was a good interview. #drapervc #bitcoin #blockchain https://t.co/dYAdsLZtbJ https://t.co/dYAdsLZtbJ,Positive,-6.480003356899999,0.0,0.0
1,TimDraper,2013-05-14,I did an Ask Me Anything for a full hour. Fun to check out. #draperu #drapervc #bitcoin #blockchain https://t.co/XdDFQnZLn2,Positive,-6.480003356899999,0.0,0.0
2,TimDraper,2013-05-14,This personalizes the Bitcoin phenomenon. Bitcoin saves people from persecution. #bitcoin #crypto #drapervc https://t.co/nzAmXFyaYZ https://t.co/nzAmXFyaYZ,Positive,-6.480003356899999,0.0,0.0
3,TimDraper,2013-09-16,Good quick read. #competitivegovernments #bitcoin #drapervc https://t.co/zP1mpAikVG,Positive,0.8600006103000055,0.0,0.0
4,TimDraper,2013-11-26,"Finally!! Now you will be able to use bitcoin to buy Starbucks, https://t.co/likG4bT4Pe, Teslas, houses, etc. Fast transactions! #bitcoin #drapervc https://t.co/3pLw8kOGsc https://t.co/3pLw8kOGsc",Positive,122.36999511709996,0.0,0.0
5,TimDraper,2014-01-15,Podcast interview. #drapervc #bitcoin #competitivegovernment https://t.co/9VcLBMqcg7 https://t.co/9VcLBMqcg7,Positive,27.78002929690001,28107200.0,7277400.0
6,TimDraper,2014-01-25,Please watch: I will look for comments. My personal favorite interview. #bitcoin #china #tesla #drapervc https://t.co/XhJ3LkCTtx https://t.co/XhJ3LkCTtx,Positive,57.369995117200006,24303900.0,-10608100.0
7,TimDraper,2014-01-25,Straight from the crackpot's mouth. #bitcoin #cal3 #draper https://t.co/jhyQNIt8MS https://t.co/jhyQNIt8MS,Positive,57.369995117200006,24303900.0,-10608100.0
8,TimDraper,2014-04-15,Caught me after 5 our book signing. #bitcoin #startuphero https://t.co/adIPIWHSDp https://t.co/adIPIWHSDp,Positive,57.21301269540004,49561000.0,-1169200.0
9,TimDraper,2014-07-02,So much fun to see my son outrun me on bitcoin #bitcoin #blockchain #son Boost VC https://t.co/vJKBptUc8B https://t.co/vJKBptUc8B,Positive,9.842041015599989,25768200.0,-12678100.0
10,TimDraper,2014-07-02,Had fun on the main stage with Peter Smith of Blockchain and Garry Tan. Websummit 2018. #blockchian #bitcoin #competitivegovernance https://t.co/BI3HZEyPvp https://t.co/BI3HZEyPvp,Positive,9.842041015599989,25768200.0,-12678100.0
11,TimDraper,2014-07-04,This was well edited. #bitcoin #blockchain #competitivegovernance https://t.co/rg4H7R0pLp,Positive,-13.953979492200006,22237200.0,3288200.0
12,TimDraper,2014-07-04,OMG. He caught me at a raw moment. Fun reading though. #bitcoin #blockchain #cal3 https://t.co/I10TK73hmZ,Positive,-13.953979492200006,22237200.0,3288200.0
13,TimDraper,2014-07-04,"After signing books for five hours, I had this interview. I think he did a great job capturing the moment. #bitcoin #blockchain #startuphero https://t.co/adIPIWZu1Z",Positive,-13.953979492200006,22237200.0,3288200.0
14,TimDraper,2014-07-04,OK. This is hilarious.  https://t.co/1tXulEz8fs #bitcoin #blockchain https://t.co/1tXulEz8fs,Positive,-13.953979492200006,22237200.0,3288200.0
