,Text,Username,Unnamed: 0,Datetime,polarity
0,@BTC_Archive @SenSanders Is there anything more tragic than unrequited love?,elonmusk,258,2021-12-16 20:50:19+00:00,Negative
1,@WSBChairman Bitcoin cures cancer,elonmusk,578,2021-11-20 06:20:16+00:00,Positive
2,"@Filasophical @ShibaInuHodler Out of curiosity, I acquired some ascii hash strings called “Bitcoin, Ethereum &amp; Doge”. That’s it. 

As I’ve said before, don’t bet the farm on crypto! True value is building products &amp; providing services to your fellow human beings, not money in any form.",elonmusk,849,2021-10-24 18:01:32+00:00,Negative
3,"@itsALLrisky @TeslaGong @mishaboar @DogecoinFdn Possibly. Bitcoin was conceived at a time of relatively low bandwidth &amp; high latency. If both continue to improve substantially, we will reach a point when no second layer is needed.",elonmusk,852,2021-10-24 17:51:57+00:00,Positive
4,"@heydave7 We don’t have that many Bitcoin, but it’s close",elonmusk,1594,2021-07-28 23:41:27+00:00,Positive
5,"@jack @BitcoinMagazine @CathieDWood Sure, I have a ton",elonmusk,1683,2021-07-19 19:37:37+00:00,Positive
6,"@BitcoinMagazine @jack @CathieDWood During this talk, we will sing a cover of The Final Countdown by Europe https://t.co/7YUXiW8dhd",elonmusk,1684,2021-07-19 19:25:54+00:00,Positive
7,"@MattWallace888 BTC &amp; ETH are pursuing a multilayer transaction system, but base layer transaction rate is slow &amp; transaction cost is high.

There is merit imo to Doge maximizing base layer transaction rate &amp; minimizing transaction cost with exchanges acting as the de facto secondary layer.",elonmusk,1807,2021-07-09 07:15:00+00:00,Negative
8,“That’s not funny!” – Bitcoin maxis,elonmusk,1975,2021-06-25 02:11:52+00:00,Negative
9,How many Bitcoin maxis does it take to screw in a lightbulb?,elonmusk,1976,2021-06-25 02:10:31+00:00,Negative
10,@jack Oh right … Bitcoin haha,elonmusk,1978,2021-06-25 02:03:46+00:00,Positive
11,@BitcoinMagazine @jespow Based on what data?,elonmusk,2012,2021-06-17 11:07:28+00:00,Negative
12,"@Cointelegraph This is inaccurate. Tesla only sold ~10% of holdings to confirm BTC could be liquidated easily without moving market.

When there’s confirmation of reasonable (~50%) clean energy usage by miners with positive future trend, Tesla will resume allowing Bitcoin transactions.",elonmusk,2044,2021-06-13 17:42:54+00:00,Positive
13,@BTCTN A new space race has begun!,elonmusk,2080,2021-06-06 22:11:05+00:00,Positive
14,@lexfridman @VitalikButerin @ethereum @Bitcoin @dogecoin @ShibainuCoin @IOHK_Charles @Cardano @chainlink @0xPolygon I pretty much agree with Vitalik,elonmusk,2102,2021-06-05 08:21:59+00:00,Positive
15,#Bitcoin 💔 https://t.co/lNnEfMdtJf,elonmusk,2118,2021-06-04 01:07:04+00:00,Positive
16,@DocumentingBTC Nice,elonmusk,2140,2021-06-01 05:42:40+00:00,Positive
17,@BTC_Archive 🤣🤣,elonmusk,2175,2021-05-26 18:52:25+00:00,Positive
18,Spoke with North American Bitcoin miners. They committed to publish current &amp; planned renewable usage &amp; to ask miners WW to do so. Potentially promising.,elonmusk,2190,2021-05-24 19:42:36+00:00,Positive
