,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,elonmusk,2019-02-21,@WSBChairman Bitcoin cures cancer,Positive,-46.13854332000028,7775128102.44287,-918245845.5669508
1,elonmusk,2020-01-10,@DocumentingBTC Yes,Positive,288.24660223999945,28714583843.7846,4668593378.1352005
2,elonmusk,2020-01-10,"@stoolpresidente No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to prove liquidity of Bitcoin as an alternative to holding cash on balance sheet.",Positive,288.24660223999945,28714583843.7846,4668593378.1352005
3,elonmusk,2020-05-01,"Tesla is using only internal &amp; open source software &amp; operates Bitcoin nodes directly.

Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency.",Positive,191.98489363000044,44068389996.9374,-22896239544.3713
4,elonmusk,2020-05-01,You can now buy a Tesla with Bitcoin,Positive,191.98489363000044,44068389996.9374,-22896239544.3713
5,elonmusk,2020-05-15,"@business To be clear, I am *not* an investor, I am an engineer. I don’t even own any publicly traded stock besides Tesla. 

However, when fiat currency has negative real interest, only a fool wouldn’t look elsewhere. 

Bitcoin is almost as bs as fiat money. The key word is “almost”.",Positive,-406.09354879999955,48158802327.3442,-8268105309.946999
6,elonmusk,2020-07-19,"@business Tesla’s action is not directly reflective of my opinion. Having some Bitcoin, which is simply a less dumb form of liquidity than cash, is adventurous enough for an S&amp;P500 company.",Positive,27.810876989999088,12939002784.0054,686401309.2202988
7,elonmusk,2020-12-20,Tesla &amp; Bitcoin https://t.co/YSswJmVZhP,Positive,-384.4705407900001,37844228421.87064,-643318157.6920929
8,elonmusk,2020-12-20,"@itsALLrisky Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas BTC is arguably deflationary to a fault.

Transaction speed of Doge should ideally be a few orders of magnitude faster.",Positive,-384.4705407900001,37844228421.87064,-643318157.6920929
9,elonmusk,2021-02-08,Bitcoin is my safe word,Positive,7309.636429489998,101467222686.67,35966581543.549995
10,elonmusk,2021-02-19,"@maxxrpbtc @TheCryptoLark @Manny6Manny @jungleincxrp @digitalassetbuy @MoonLamboio @JWilliamsFstmed Good article. I started The Boring Company as a joke, but now it’s digging real tunnels!",Positive,4212.152397079997,63495496917.85,11440773339.18
11,elonmusk,2021-02-19,@jk_rowling I still only own 0.25 Bitcoins btw,Positive,4212.152397079997,63495496917.85,11440773339.18
12,elonmusk,2021-03-24,@Bitcoin How much for some anime Bitcoin? https://t.co/itqRslFNcb,Positive,-1936.2253935800036,70567223786.51,14132199872.759995
13,elonmusk,2021-03-24,@Bitcoin 🤣🤣,Positive,-1936.2253935800036,70567223786.51,14132199872.759995
14,elonmusk,2021-04-26,@bitcoin2020conf 😉,Positive,4943.96242435,58284039824.62,12166925584.520004
15,elonmusk,2021-04-27,Bitcoin is almost as bs as fiat money,Positive,1002.8142948400055,49448222756.59,-8835817068.030006
16,elonmusk,2021-05-12,Bitcoin is *not* my safe word,Positive,-7563.999292240005,75215403906.65,13907007581.329994
17,elonmusk,2021-05-16,"@poisonouspinups @michael_saylor He should wear outfit for Halloween, but with “Bitcoin” tattooed high on thighs",Positive,-260.57951311000215,64047871555.0,4886824080.57
18,elonmusk,2021-05-16,@EmperorBTC @CryptoWhale https://t.co/4OC3CEKozo,Positive,-260.57951311000215,64047871555.0,4886824080.57
19,elonmusk,2021-05-16,"@itsALLrisky @TeslaGong @mishaboar @DogecoinFdn Possibly. Bitcoin was conceived at a time of relatively low bandwidth &amp; high latency. If both continue to improve substantially, we will reach a point when no second layer is needed.",Positive,-260.57951311000215,64047871555.0,4886824080.57
20,elonmusk,2021-05-17,"@heydave7 We don’t have that many Bitcoin, but it’s close",Positive,-2878.3878649399994,74903638449.84,10855766894.839996
21,elonmusk,2021-05-20,"@jack @BitcoinMagazine @CathieDWood Sure, I have a ton",Positive,4029.0685544299995,88281943358.63,-38076155388.06
22,elonmusk,2021-05-24,"@BitcoinMagazine @jack @CathieDWood During this talk, we will sing a cover of The Final Countdown by Europe https://t.co/7YUXiW8dhd",Positive,4005.61506923,67359584098.36,-11109690262.369995
23,elonmusk,2021-05-26,@jack Oh right … Bitcoin haha,Positive,901.573726319999,51346735160.35,-4865180642.790001
24,elonmusk,2021-06-01,"@Cointelegraph This is inaccurate. Tesla only sold ~10% of holdings to confirm BTC could be liquidated easily without moving market.

When there’s confirmation of reasonable (~50%) clean energy usage by miners with positive future trend, Tesla will resume allowing Bitcoin transactions.",Positive,-608.8678578000035,34639423297.36,-4370424341.919998
