,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,saylor,2013-12-07,“Character is formed in the stormy billows of the world.” - Goethe on #Bitcoin,Positive,-137.09002685539997,0.0,0.0
1,saylor,2014-03-01,"In the 21st century, individuals, institutions, communities, corporations, agencies, &amp; governments all need to form successful relationships in cyberspace.  

The key to a successful relationship is shared values.  #Bitcoin",Positive,15.690002441399997,18668100.0,-9408000.0
2,saylor,2014-03-12,"“Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.” - Rumi on #Bitcoin",Positive,0.19000244139999722,18621200.0,6888700.0
3,saylor,2020-08-11,"“Sometimes it’s not enough to know what things mean, sometimes you have to know what things don’t mean.” - Bob Dylan on #Bitcoin",Positive,-471.12186250000013,27039782639.9113,925670070.4957008
4,saylor,2020-09-15,@GuyAdami @SpencerKSchiff @APompliano We are all waiting for Peter to Schiff his opinion on #Bitcoin.,Positive,119.19613480000044,32509451925.0468,-2944130014.6744995
5,saylor,2020-09-17,How long before we acknowledge the ability to transact with each other in #bitcoin as a basic human right? https://t.co/w1BRY3dCFB,Positive,-24.26231949999965,38151810523.0524,7381824068.522297
6,saylor,2020-09-18,"In the first quarter, $MSTR had one of the strongest operational quarters in our software business in years, highlighted by 10% revenue growth and continued improvement in non-GAAP profitability.  We continue to #hodl all 91,579 of our #bitcoin.

https://t.co/Yrz8DGZkVV",Positive,-7.234216299999389,26341903912.3861,-11809906610.666298
7,saylor,2020-09-23,"The inflation is flowing into commodities we need (like oil, lumber &amp; copper), assets the government supports (sovereign, corporate, &amp; residential debt), &amp; rapidly growing technology that is reshaping our world (FAANG, #Bitcoin).  Gold &amp; silver don't check any of these boxes. https://t.co/uJZ0ZtIPWM",Positive,-289.30594955999914,23788661866.987087,166874063.40808868
8,saylor,2020-09-23,Join us today after the market closes if you would like an update on our business results &amp; thoughts about our business intelligence &amp; #bitcoin acquisition strategies.  We will take as many questions as we can during the zoom webinar.  $MSTR https://t.co/WZFDaiH3ab,Positive,-289.30594955999914,23788661866.987087,166874063.40808868
9,saylor,2020-09-24,@SpencerKSchiff @PeterSchiff I detect a positive Schiff in your family's sentiment on #Bitcoin.,Positive,511.27969721999943,47144380901.6858,23355719034.69871
