,Text,Username,Unnamed: 0,Datetime,polarity
0,"@Dogemoncoin See you at 11am EST on the livestream

https://t.co/OTpOsT2Te0",APompliano,38396,2021-07-12 13:23:06+00:00,Positive
1,@UncleDogetoshi No,APompliano,38413,2021-07-12 02:26:11+00:00,Negative
2,"Approximately 6% of Robinhood's total revenue comes from users trading Dogecoin.

....dogecoin. Unreal",APompliano,38570,2021-07-06 12:47:11+00:00,Positive
3,@WSBDOGECOINBASE Yes exactly. Big industry that enriched a lot of companies too,APompliano,38694,2021-07-02 13:11:42+00:00,Positive
4,@matthewesp @WSBChairman @ItsDogeCoin @greg16676935420 This is amazing,APompliano,39528,2021-06-07 01:01:42+00:00,Positive
5,@DogecoinZack @Okcoin let's go!,APompliano,39862,2021-05-24 21:47:40+00:00,Positive
6,@dogefuerte Of course. Just future bitcoiners 😉,APompliano,40080,2021-05-21 12:37:31+00:00,Positive
7,@ItsMikeDoge :),APompliano,40167,2021-05-18 20:39:01+00:00,Positive
8,@elonmusk @PeterMcCormack I double Doge dare you to do it!,APompliano,40326,2021-05-16 18:37:20+00:00,Negative
9,"The crypto industry is pure chaos right now.

- Elon can't make up his mind
- Saylor is gobbling up bitcoin
- Coinbase listing Doge
- Every shitcoin pumping
- Mainstream media confused
- Central banks printing non-stop
- Institutions pouring cash in

Complete madness.",APompliano,40423,2021-05-13 21:41:07+00:00,Negative
10,LMAO Elon said dogecoin is just as real as the dollar 😂😂😂,APompliano,40580,2021-05-09 04:25:52+00:00,Positive
11,"Elon Musk asks to be called ""Dogefather"" 😂",APompliano,40581,2021-05-09 04:24:42+00:00,Negative
12,Elon Musk told his mom that her Mother's Day gift is Dogecoin 😂😂😂,APompliano,40585,2021-05-09 03:44:17+00:00,Negative
13,"LMAO $0.69....checkmate internet

And I still own $0 of dogecoin https://t.co/7kXU6khpYH",APompliano,40616,2021-05-08 02:46:35+00:00,Negative
14,"Wall Street: Dogecoin is overvalued!

Also Wall Street: Look at this single location deli that we have valued at $2 billion!

More Wall Street: Here is a pre-product, pre-revenue battery company at $18 billion!

Don't fall for the nonsense. The stock market is full of shitcoins.",APompliano,40622,2021-05-07 23:24:49+00:00,Positive
15,"LMAO dogecoin eventually hit $0.69

We live in a simulation.",APompliano,40675,2021-05-05 11:51:05+00:00,Negative
16,I own $0 of dogecoin,APompliano,40687,2021-05-04 17:56:41+00:00,Positive
17,"Can you predict the future?

Bet on your beliefs &amp; earn for being right on @PolymarketHQ (new podcast sponsor)! 

Trade on everything from SpaceX's next launch to vaccine rollouts to what happens next with $DOGE. Now with $100M in volume and counting...
 
https://t.co/GAwHkooNf5",APompliano,40899,2021-04-26 22:56:46+00:00,Negative
18,@TheTradingChief I own no DOGE but am fascinated by the power and persistence of the internet. Exact reason why the internet is undefeated,APompliano,41074,2021-04-20 03:10:38+00:00,Negative
19,DOGE goes to $0.69 tomorrow (4/20) and we won't need any more proof we're living in a simulation,APompliano,41075,2021-04-20 03:01:37+00:00,Negative
20,"Wall Street investors brag about investing in cult followings like Peloton, yet thumb their nose at cult followings like DOGE.

So do the cult followings matter or not? 🤷🏽‍♂️",APompliano,41181,2021-04-16 15:51:03+00:00,Negative
21,"LMAO @PeterSchiff is now claiming that Dogecoin is going to disrupt Bitcoin.

You can’t make this stuff up.",APompliano,44002,2021-02-08 01:29:44+00:00,Positive
22,@mcuban @Dogetoshi 😂😂😂🐐,APompliano,44405,2021-01-28 02:07:52+00:00,Positive
23,@1Doge1Doge1 @PrestonPysh 🙏🏽🙏🏽,APompliano,52838,2020-04-25 18:47:18+00:00,Positive
24,"@jenjen7304 @maxrogo @shaig @Dogetoshi @lawmaster @twobitidiot As I wrote in the piece, I did the opposite.",APompliano,54597,2020-03-13 02:26:21+00:00,Positive
25,@maxrogo @shaig @Dogetoshi @lawmaster @twobitidiot I don't have all the answers (no one does in Bitcoin or in traditional markets in times like this) but that is at least the way that I'm thinking through what is happening,APompliano,54598,2020-03-13 02:18:04+00:00,Positive
26,"@maxrogo @shaig @Dogetoshi @lawmaster @twobitidiot You do realize that the US treasury market, the most liquid market in the world, had to be saved by the Fed today, right?

In liquidity crisis, all asset correlations go to 1. Here is how to look at a historical example of gold in 2008 crisis as example.

https://t.co/UJUB08smYN",APompliano,54600,2020-03-13 02:10:58+00:00,Positive
27,@BradMichelson I’m in. I only pay in DOGE though for this one!,APompliano,56492,2020-01-06 20:24:45+00:00,Negative
28,@cryptodoger @SquawkCNBC Thanks for watching!,APompliano,60651,2019-08-06 11:03:41+00:00,Positive
29,"@TheStalwart @sudogene But that example means that the halving is very relevant to price.

You claimed it was irrelevant. That’s my issue with what you said.",APompliano,60814,2019-08-03 00:05:27+00:00,Negative
