,Text,Username,Unnamed: 0,Datetime,polarity
0,"@alwaysjoshua competition (and decentralization) is fantastic. but in markets, fragmentation is bad for liquidity and price discovery...especially for something one of a kind, like NFTs. and no, we do not have a stake in opensea",BarrySilbert,89697,2022-01-18 17:15:27+00:00,Positive
1,"Finally, a common language for describing and categorizing crypto assets

This will help spur a plethora of new investment products (sector funds, etc.)

https://t.co/0maZfMwuW7 https://t.co/svXJ9AhYmb",BarrySilbert,89733,2021-12-14 15:27:55+00:00,Negative
2,Bitcoin knows something,BarrySilbert,89901,2021-10-06 13:28:27+00:00,Positive
3,"The CEO of an Ethereum-based decentralized video streaming platform breaks down how his network aims to disrupt the $70 billion industry — and lays out the economics behind its native token's 900% plus surge over the past year

$LPT

https://t.co/wm7hShoUJu",BarrySilbert,89912,2021-08-10 11:47:04+00:00,Negative
4,@fintechfrank portman is an ethereum classic bull bull bull,BarrySilbert,89923,2021-08-06 01:33:55+00:00,Positive
5,Can't Sam just call Biden or something?,BarrySilbert,89924,2021-08-06 01:14:07+00:00,Positive
6,"Grayscale funds now available via Wealthfront

$GBTC $ETHE https://t.co/2Uf1IxhMxD",BarrySilbert,89929,2021-07-30 01:23:58+00:00,Negative
7,"JPMorgan just became the first big bank to give retail wealth clients access to cryptocurrency funds 

$GBTC $ETHE $ETCG $BCHG

https://t.co/u7BGsb63AA",BarrySilbert,89940,2021-07-22 14:57:51+00:00,Positive
8,"Digital Currency Group Announces Plan to Purchase Shares of Grayscale Ethereum Classic Trust (OTCQX: $ETCG)

https://t.co/5tuKNTU2wu",BarrySilbert,89957,2021-06-21 13:47:35+00:00,Negative
9,"@BillyM2k @UFMJA @ClayLambert20 @WayneVaughan if the entire value of something comes from a collective belief - and not usefulness or utility - then that thing is overvalued. there’s another name for that, but I’m not going there as I know it wasn’t created for that purpose or why most people loved it early on (like me)",BarrySilbert,89992,2021-05-30 14:30:18+00:00,Positive
10,@BillyM2k @ClayLambert20 @WayneVaughan thinking something is overvalued does not equal hate,BarrySilbert,89995,2021-05-30 14:02:15+00:00,Negative
11,@fintechfrank @cmsholdings we're roll out sharting together,BarrySilbert,89997,2021-05-30 00:39:33+00:00,Negative
12,@carlquintanilla @BusinessInsider Ethan Allen down 5% today,BarrySilbert,90063,2021-05-19 14:39:04+00:00,Positive
13,"Robinhood only supports trading of Bitcoin, Bitcoin Cash, Dogecoin, Ethereum, Litecoin and...Ethereum Classic

I think I now know where the DOGE money is going next https://t.co/wH72c7Hi6O",BarrySilbert,90103,2021-05-04 23:26:37+00:00,Positive
14,@Travis_Kling @VitalikButerin wouldn't it be funny if the price of $ETC caught up with $ETH?,BarrySilbert,90104,2021-05-04 23:20:31+00:00,Negative
15,"@TheStalwart ETH price inflation = good
Food price inflation = very, very bad",BarrySilbert,90117,2021-04-28 16:36:31+00:00,Negative
16,"@PeterMcCormack my 2006 honda accord is not even worth one ETH, so i guess i'm actually an ethhead?",BarrySilbert,90123,2021-04-24 23:22:08+00:00,Negative
17,@jgarzik @APompliano @SequencetheSE Bitcoin Savings &amp; Trust,BarrySilbert,90134,2021-04-19 13:10:36+00:00,Positive
18,"@PeterSchiff Eventually #gold demand will drop 100%, as it all comes from speculators. All they are doing is buying something with no value hoping to sell to others who don't realize or don't care that it has no value at a higher price.",BarrySilbert,90249,2021-02-02 23:28:22+00:00,Positive
19,Who is going to be the MicroStrategy of Ethereum?,BarrySilbert,90402,2020-12-08 00:09:10+00:00,Positive
20,"Grayscale Ethereum Trust Announces Share Split

$ETHE

https://t.co/14Ijprw4ZH",BarrySilbert,90412,2020-12-02 13:34:21+00:00,Negative
21,@FGMR the Fed is the largest holder of gold in the world. not sure I’d want to hold something if people start questioning the solvency of the largest holder,BarrySilbert,90426,2020-11-28 21:01:50+00:00,Positive
22,"While everybody has been focused on our bitcoin accumulation, the @Grayscale Ethereum Trust now holds over 2% of all ETH in circulation",BarrySilbert,90542,2020-10-15 00:34:34+00:00,Negative
23,"The world's largest digital currency asset manager took in $1 billion in new investment in the third quarter. Here's why investors are feeling so bullish about bitcoin and ethereum via @businessinsider 

https://t.co/h8FHVQ8bL3",BarrySilbert,90544,2020-10-14 13:36:12+00:00,Positive
24,"Grayscale Ethereum Trust Becomes SEC Reporting Company

$ETHE

https://t.co/KkCKPCEj9u",BarrySilbert,90549,2020-10-12 13:08:23+00:00,Negative
25,"A Milestone for Grayscale Ethereum Trust by @Grayscale 

https://t.co/fQqTkXjPoY",BarrySilbert,90632,2020-08-06 13:09:06+00:00,Negative
26,"Grayscale Ethereum Trust Files Form 10 with SEC

$ETHE

https://t.co/AGJSs1RV7i",BarrySilbert,90633,2020-08-06 13:06:18+00:00,Negative
27,"Happy birthday, Ethereum. I’ve come to respect and appreciate you

[Disclosure: DCG is long $ETH &amp; $ETHE]",BarrySilbert,90649,2020-07-30 10:30:16+00:00,Negative
28,SPAC pitches coming my way from every direction. Methinks we’re going to have some publicly traded crypto companies this year...,BarrySilbert,90666,2020-07-25 16:26:42+00:00,Negative
29,"My favorite line from the Goldman slides:

""We believe that a security whose appreciation is primarily dependent on whether someone else is willing to pay a higher price for it is not a suitable investment for our clients.""

[I guess equities are now off limits?] https://t.co/tu9zezzXmG",BarrySilbert,90711,2020-05-27 12:15:04+00:00,Positive
30,"The Ethereum Community Is No Longer Fighting With Itself by @BobSummerwill

$ETH $ETC

https://t.co/wvgdW8wvBF",BarrySilbert,90780,2019-12-26 18:25:14+00:00,Negative
31,"Horizen: The ‘blockchain of blockchains’ that wants Ethereum’s throne

@horizenglobal $ZEN 

https://t.co/SJ4lFismUk",BarrySilbert,90782,2019-12-21 18:10:02+00:00,Positive
32,"Largest crypto node network? Not bitcoin. Not ethereum. It's Horizen $ZEN...by a factor of 3x

Ranking crypto’s by number of nodes via @coinmonks https://t.co/oOi1FV8OPe",BarrySilbert,90799,2019-11-28 01:04:28+00:00,Positive
33,Yep https://t.co/haedk9EtHz,BarrySilbert,90846,2019-07-21 00:23:33+00:00,Positive
34,"@maximj81 yes, still have bags of ETC. and I'm actually buying ETH today",BarrySilbert,90897,2019-07-15 15:58:45+00:00,Negative
35,"You can send Wells Fargo a DM here if you'd like to encourage them to rethink this policy:

@Ask_WellsFargo https://t.co/5Nwk6fX6AP",BarrySilbert,90898,2019-07-14 21:52:03+00:00,Positive
36,"Yep, pretty much the case https://t.co/EthJBnvTi1",BarrySilbert,90964,2019-06-17 22:18:02+00:00,Positive
37,"Excited to announce our investment in @LivepeerOrg, as well as the addition of the $LPT token to DCG's conviction list of digital asset investments, alongside the following:

Bitcoin $BTC
Ethereum Classic $ETC
Zcash $ZEC
Decentraland $MANA
Horizen $ZEN https://t.co/Isuzl3Ge0g",BarrySilbert,90967,2019-06-17 15:40:04+00:00,Negative
38,Ethereum Classic to Accelerate 'Greater Collaboration' with Ethereum https://t.co/Ff27RIITYS,BarrySilbert,90976,2019-06-11 00:35:36+00:00,Negative
39,"Grayscale's Ethereum Trust: Adding Validity To Cryptocurrencies? via @Investingcom 

https://t.co/bvOfBxUfuI",BarrySilbert,90999,2019-05-31 16:32:48+00:00,Positive
40,"Ethereum Fund To Trade On OTC Market via @FAmagazine

https://t.co/VIAhdu4MIH",BarrySilbert,91004,2019-05-29 19:24:20+00:00,Positive
41,Grayscale Gets Regulatory Nod From FINRA for Ethereum Trust to Trade on OTC Markets https://t.co/MBp4MMwKPI via @cointelegraph,BarrySilbert,91018,2019-05-23 22:46:52+00:00,Negative
42,Grayscale Widens Net for Ethereum Investors with Trust’s FINRA Approval https://t.co/3smXctIFGG via @YahooNews,BarrySilbert,91020,2019-05-23 17:16:43+00:00,Negative
43,Grayscale Ethereum Trust opens to Mom and Pop https://t.co/aa4eidQTIx via @technology,BarrySilbert,91021,2019-05-23 16:27:11+00:00,Negative
44,Grayscale Investments Announces Approval of Public Quotation for Eligible Shares of Grayscale Ethereum Trust https://t.co/9zdWmVyeRO,BarrySilbert,91022,2019-05-23 13:43:36+00:00,Positive
45,@ttmygh something you predicted a month ago...,BarrySilbert,91124,2019-04-26 14:14:56+00:00,Negative
46,ETC-ETH Cooperation Amid Blockchain Tribalism via @ETHNews_ @01000100_Putney https://t.co/cPBuKbrBmW,BarrySilbert,91195,2019-02-16 19:32:34+00:00,Positive
47,@DeanEigenmann @exiledsurfer @Yazanator @MPtherealMVP @BobSummerwill @pyskell @ethereum @virgilgr @ETHBerlin @InputOutputHK guess so,BarrySilbert,91220,2019-02-04 20:21:46+00:00,Negative
48,@DeanEigenmann @exiledsurfer @Yazanator @MPtherealMVP @BobSummerwill @pyskell @ethereum @virgilgr @ETHBerlin @InputOutputHK so what?,BarrySilbert,91221,2019-02-04 20:19:01+00:00,Positive
49,"@exiledsurfer @DeanEigenmann @Yazanator @MPtherealMVP @BobSummerwill @pyskell @ethereum @virgilgr @ETHBerlin @InputOutputHK re developers, this was tweeted about an hour ago https://t.co/zKv8Sbc30f",BarrySilbert,91222,2019-02-04 20:17:32+00:00,Positive
50,"@BobSummerwill @Yazanator @pyskell would you like to see the Ethereum Foundation more active with ETC, or should ETC have its own foundation? Or are you not a fan of foundations?",BarrySilbert,91223,2019-02-04 18:20:29+00:00,Positive
51,@BobSummerwill @Yazanator @pyskell should somebody within the ETC community try to replicate the Ethereum Enterprise Alliance? or should ETC try to partner?,BarrySilbert,91224,2019-02-04 18:18:23+00:00,Negative
52,"Big hire for @ETCCooperative and great news for Ethereum Classic

Congrats @BobSummerwill! https://t.co/M49PlcZVJw",BarrySilbert,91242,2019-01-29 12:16:53+00:00,Positive
53,VC funds want new rules on investing in unicorns and tokens via @imkialikethecar https://t.co/D25f15D08C,BarrySilbert,91288,2018-12-14 19:11:25+00:00,Positive
54,"Ethereum Based Tokenized Virtual Reality Land Sold for $100,000 https://t.co/ue2SAKYvhn",BarrySilbert,91359,2018-10-22 14:24:58+00:00,Negative
