,Text,Username,Unnamed: 0,Datetime,polarity
0,Fun to think about: #scifi #space #mars #venus #spacex Maybe we can smash Mars and Venus together at about our distance from the sun and create another earth. https://t.co/rPkfKuIwTo,TimDraper,121028,2022-01-03 21:23:20+00:00,Positive
1,Xi taking #China back to the dark ages. Has anyone noticed that they make these announcements about every two weeks? Methinks he doth protest too much about #crypto #Bitcoin. The Chinese people are smarter than this. #undergroundeconomy https://t.co/9R990gUEx5,TimDraper,121081,2021-09-24 16:00:29+00:00,Negative
2,@Fairmintco a @drapervc portfolio company is rethinking company ownership. Check it out. https://t.co/ct9Qhm6YKr,TimDraper,121088,2021-09-16 04:30:42+00:00,Negative
3,Smart contracts begin with EthSign. #bitcoin #freedom #trust  https://t.co/GDKvXG451A,TimDraper,121118,2021-07-29 02:05:07+00:00,Positive
4,"Good to see @elonmusk  reengaging with Bitcoin. I expect he will find #bitcoin to be far greener than the banks. Also, more #free and more #trustworthy. Also, @Jack Dorsey is awesome. And @CathieDWood is brilliant. Delightful to see them all together discussing #bitcoin future.",TimDraper,121120,2021-07-22 22:47:47+00:00,Positive
5,Methinks China doth protest too much. Every other weekend they make another identical announcement and it still makes the news. Bo—ring. #bitcoin is rocking the world! China spreading FUD. https://t.co/bI7hgkDHhK,TimDraper,121138,2021-06-22 01:29:08+00:00,Positive
6,My list for 2030: 1. @Bitcoin  2. @EtheriumToken  3. @coinbase 4. @binance 5. @SpaceX 6. @Tesla 7. @amazon 8. @planet  9. @Ledger 10. @Apple. What is yours?https://t.co/14Sl6c33xP.,TimDraper,121142,2021-06-19 21:40:02+00:00,Negative
7,"Cool. @SpaceChain gets #Ethereum multisig in space with @SpaceX  with commercial capabilities as a starting point for wider adoption of blockchain for enterprise business and fintech applications. @draper_u 
alum
#BlockchainISS #newspaceeconomy #draper ecosystem",TimDraper,121155,2021-06-03 14:41:23+00:00,Positive
8,"The next semifinals @meethedrapers episode has arrived! @impareshghelani joins us for updates from @lifeakua , #pawsh , @PredictivCare , and #sunscoop .

Watch here: https://t.co/88K94o3Pvp",TimDraper,121180,2021-04-25 18:11:52+00:00,Positive
9,Congratulations and thank you to Brian Armstrong and his team @coinbase for a very successful Direct IPO. We @drapervc are happy to be venture investors in this leading #crypto company as it brings the old world of currency and banking together with the modern world. #Bitcoin,TimDraper,121191,2021-04-15 03:39:26+00:00,Positive
10,Congratulations and thank you to Brian Armstrong and his team @coinbase for a very successful Direct IPO. We @drapervc are thrilled to be venture investors in this leading #crypto company as it brings the old world of currency and banking together with the modern world. #Bitcoin,TimDraper,121192,2021-04-15 03:38:04+00:00,Positive
11,"@charliemunger thou protest too much, methinks #Bitcoin",TimDraper,121234,2021-02-28 17:25:45+00:00,Positive
12,"I am excited to partner with @UNDPtech to support health-related entrepreneurs around the world. @draper_u will be bringing together talented advisors and experts from the Silicon Valley to help mentor, guide and scale businesses. Apply to attend: https://t.co/4rnRYB58Ek",TimDraper,121346,2020-11-06 20:26:55+00:00,Positive
13,Maybe the Ca Supreme Court should rethink their opinion on 3 Californias. Or 6 Californias. https://t.co/umd0Bkpja1,TimDraper,121374,2020-08-31 18:33:41+00:00,Negative
14,"Thanks for having me on @ArtandCo__’s live event, put together by a friend and great entrepreneur @Bundeep to learn more about the charities and artists they're supporting for the world's largest art auction. 
 
Great initiative! https://t.co/80l1Ty5RKZ – closing June 27, 2020.",TimDraper,121413,2020-06-26 23:10:17+00:00,Positive
15,"If you haven't seem my show @betheheroshow yet, please tune in on Twitch at 4:00 pm today. It is a kick in the pants and I never know what is going to come out of my mouth.",TimDraper,121443,2020-05-28 21:55:36+00:00,Negative
16,"Our first @BeTheHeroShow is live! I am a little out of control. Must be the #pandemic. Opportunity to pitch me, fun guests. https://t.co/WShBQym62D",TimDraper,121469,2020-05-12 17:16:22+00:00,Positive
17,I am on in one hour. Please join and pitch me something heroic. https://t.co/WTxVsVTQ80,TimDraper,121470,2020-05-11 21:59:05+00:00,Positive
18,"You can watch and invest! @meethedrapers while you're social distancing: @draper_u alum, @LondonStein pitches @TeoohEvents to the panel of judges, including @JackHidary ! Check out @AxleAvideo and LatinLive as well! https://t.co/Le7Yz7WHIj",TimDraper,121535,2020-03-25 01:00:32+00:00,Negative
19,The ethics of AI. This is an awesome read from one of our #crypto portfolio companies @gundb.io. #AI #drapervc https://t.co/ZMJWeYgerO,TimDraper,121583,2020-02-29 16:17:28+00:00,Negative
20,"Happy 4th of July! I have another episode of @meethedrapers for you! This time, VP of Viome,
 @ms_anujain joins me, my father Bill and sister Polly as we talk about the hurdles female entrepreneurs face before listening to more great pitches!... https://t.co/7zFD1M3k95",TimDraper,121688,2019-07-05 21:02:57+00:00,Positive
21,""" We're back with @meetthedrapers ! This time we thought we'd have some fun by doing something different and letting Draper U students step into our shoes with The Art of the Pitch! https://t.co/fcqSFGAkLu "" https://t.co/fcqSFGAkLu",TimDraper,121722,2019-05-17 20:59:10+00:00,Positive
22,"Watch this video. You can vote on whether the CA supreme court was fair about snatching Cal3 (Prop 9) from the ballot.
https://t.co/T9zKeN1cWs. #cal3 https://t.co/T9zKeN1cWs",TimDraper,121740,2019-04-11 19:31:46+00:00,Negative
23,Maybe this is a better way to democracy. Start with a vote on whether Cal3 should have been yanked off the ballot without your consent. https://t.co/wBftmKcd36 #cal3 https://t.co/wBftmKcd36,TimDraper,121749,2019-03-30 14:25:34+00:00,Negative
24,Elizabeth Holmes is awesome. https://t.co/kXLSmgFWW1,TimDraper,122213,2016-06-27 15:25:21+00:00,Positive
25,"Draper University Alumni @SequoiaB launches 7AM, a platform of online courses for personal growth http://t.co/YQJBCEtH76",TimDraper,122394,2015-09-16 21:20:42+00:00,Positive
26,"We’ve gone from a Model T to a Tesla, but high school has stayed frozen in time. https://t.co/bFfpQAKm6w via @XQAmerica #RethinkHighSchool",TimDraper,122399,2015-09-15 05:58:34+00:00,Positive
27,"Draper Lesson Number 5: Passion comes from the heart. If you really believe something has to happen, just go make it happen. #StartupU",TimDraper,122408,2015-09-10 21:07:00+00:00,Positive
28,Yet another Draper University student. @DataWalletHQ is a new data-profiting startup http://t.co/36xo8jvKMk http://t.co/F3LV1unzKa,TimDraper,122412,2015-09-02 18:49:54+00:00,Positive
29,The Shifting Landscape of Tech Startup Financing | Launchable http://t.co/oTF7w6xIcl via @sharethis,TimDraper,122614,2015-02-27 23:37:45+00:00,Positive
30,https://t.co/bW8Er6YtID. Save Syrian children. Click this link and give something. Run by a Hero from @DUHeroes .,TimDraper,122805,2014-04-16 18:30:08+00:00,Positive
31,We're #InThisTogether for Mom &amp; @PDpartner! #Crowdfunding for #Parkinson’s on @Indiegogo. Watch @JesseDraper’s story. http://t.co/q8LEA1lAlo,TimDraper,122899,2014-01-24 04:39:19+00:00,Positive
32,"Up, Up, and Away! http://t.co/CWJ4NOZEMz via @sharethis",TimDraper,122964,2013-08-09 17:15:55+00:00,Positive
