,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,TimDraper,2015-09-02,"Draper Lesson Number 5: Passion comes from the heart. If you really believe something has to happen, just go make it happen. #StartupU",Positive,-0.05677998069999979,883769.0,104907.0
1,TimDraper,2015-09-10,"We’ve gone from a Model T to a Tesla, but high school has stayed frozen in time. https://t.co/bFfpQAKm6w via @XQAmerica #RethinkHighSchool",Positive,-0.04183995720000011,662782.0,296034.0
2,TimDraper,2015-09-15,"Draper University Alumni @SequoiaB launches 7AM, a platform of online courses for personal growth http://t.co/YQJBCEtH76",Positive,0.06922101980000006,703390.0,-37695.0
3,TimDraper,2015-09-16,Elizabeth Holmes is awesome. https://t.co/kXLSmgFWW1,Positive,-0.034802019599999956,615593.0,-87797.0
4,TimDraper,2016-06-27,""" We're back with @meetthedrapers ! This time we thought we'd have some fun by doing something different and letting Draper U students step into our shoes with The Art of the Pitch! https://t.co/fcqSFGAkLu "" https://t.co/fcqSFGAkLu",Positive,0.07569980619999939,10994700.0,-3752900.0
5,TimDraper,2019-05-17,"Happy 4th of July! I have another episode of @meethedrapers for you! This time, VP of Viome,
 @ms_anujain joins me, my father Bill and sister Polly as we talk about the hurdles female entrepreneurs face before listening to more great pitches!... https://t.co/7zFD1M3k95",Positive,-20.083770586000014,16037551694.0389,-2623914178.7911015
6,TimDraper,2019-07-05,I am on in one hour. Please join and pitch me something heroic. https://t.co/WTxVsVTQ80,Positive,3.6165961419999917,8723493015.22177,319979909.49362946
7,TimDraper,2020-05-11,"Our first @BeTheHeroShow is live! I am a little out of control. Must be the #pandemic. Opportunity to pitch me, fun guests. https://t.co/WShBQym62D",Positive,-2.7193529489999833,20054601646.7873,-5156973545.8801
8,TimDraper,2020-05-12,"Thanks for having me on @ArtandCo__’s live event, put together by a friend and great entrepreneur @Bundeep to learn more about the charities and artists they're supporting for the world's largest art auction. 
 
Great initiative! https://t.co/80l1Ty5RKZ – closing June 27, 2020.",Positive,3.435162163000001,15899726283.7581,-4154875363.0291996
9,TimDraper,2020-06-26,"I am excited to partner with @UNDPtech to support health-related entrepreneurs around the world. @draper_u will be bringing together talented advisors and experts from the Silicon Valley to help mentor, guide and scale businesses. Apply to attend: https://t.co/4rnRYB58Ek",Positive,-3.2094420110000215,7187490225.5069,177064103.01151943
10,TimDraper,2020-11-06,"@charliemunger thou protest too much, methinks #Bitcoin",Positive,40.65257836000001,16738305610.451756,1297594572.77248
11,TimDraper,2021-02-28,Congratulations and thank you to Brian Armstrong and his team @coinbase for a very successful Direct IPO. We @drapervc are thrilled to be venture investors in this leading #crypto company as it brings the old world of currency and banking together with the modern world. #Bitcoin,Positive,-43.811528840000165,27637026080.32,6894922847.489998
12,TimDraper,2021-04-15,Congratulations and thank you to Brian Armstrong and his team @coinbase for a very successful Direct IPO. We @drapervc are happy to be venture investors in this leading #crypto company as it brings the old world of currency and banking together with the modern world. #Bitcoin,Positive,83.08147916999997,32325606817.2,-3267216169.1799965
13,TimDraper,2021-04-15,"The next semifinals @meethedrapers episode has arrived! @impareshghelani joins us for updates from @lifeakua , #pawsh , @PredictivCare , and #sunscoop .

Watch here: https://t.co/88K94o3Pvp",Positive,83.08147916999997,32325606817.2,-3267216169.1799965
14,TimDraper,2021-04-25,"Cool. @SpaceChain gets #Ethereum multisig in space with @SpaceX  with commercial capabilities as a starting point for wider adoption of blockchain for enterprise business and fintech applications. @draper_u 
alum
#BlockchainISS #newspaceeconomy #draper ecosystem",Positive,101.6458225299998,31814355546.06,-39871389.72999954
15,TimDraper,2021-06-03,Methinks China doth protest too much. Every other weekend they make another identical announcement and it still makes the news. Bo—ring. #bitcoin is rocking the world! China spreading FUD. https://t.co/bI7hgkDHhK,Positive,146.7503899799999,30038207401.87,2314940043.289997
16,TimDraper,2021-06-22,"Good to see @elonmusk  reengaging with Bitcoin. I expect he will find #bitcoin to be far greener than the banks. Also, more #free and more #trustworthy. Also, @Jack Dorsey is awesome. And @CathieDWood is brilliant. Delightful to see them all together discussing #bitcoin future.",Positive,-11.71761377000007,35547251725.26,1802077900.3500023
17,TimDraper,2021-07-22,Smart contracts begin with EthSign. #bitcoin #freedom #trust  https://t.co/GDKvXG451A,Positive,30.37995021000006,17495480331.39,-3757879424.799999
18,TimDraper,2021-07-29,We're #InThisTogether for Mom &amp; @PDpartner! #Crowdfunding for #Parkinson’s on @Indiegogo. Watch @JesseDraper’s story. http://t.co/q8LEA1lAlo,Positive,81.94485291000001,16313373112.54,-2677929265.5200005
19,TimDraper,2022-01-03,"Up, Up, and Away! http://t.co/CWJ4NOZEMz via @sharethis",Positive,-68.15546707699968,12080777892.77,2199306345.09
20,TimDraper,2019-03-30,Maybe this is a better way to democracy. Start with a vote on whether Cal3 should have been yanked off the ballot without your consent. https://t.co/wBftmKcd36 #cal3 https://t.co/wBftmKcd36,Negative,-0.2664631170000007,5144662126.50528,-5125602702.26858
21,TimDraper,2019-04-11,"Watch this video. You can vote on whether the CA supreme court was fair about snatching Cal3 (Prop 9) from the ballot.
https://t.co/T9zKeN1cWs. #cal3 https://t.co/T9zKeN1cWs",Negative,-11.84574792699999,7859383417.27419,-7856924878.73956
22,TimDraper,2020-02-29,The ethics of AI. This is an awesome read from one of our #crypto portfolio companies @gundb.io. #AI #drapervc https://t.co/ZMJWeYgerO,Negative,-6.984931809999978,18181296376.3477,-22563530559.1046
23,TimDraper,2020-03-25,"You can watch and invest! @meethedrapers while you're social distancing: @draper_u alum, @LondonStein pitches @TeoohEvents to the panel of judges, including @JackHidary ! Check out @AxleAvideo and LatinLive as well! https://t.co/Le7Yz7WHIj",Negative,-2.7190743980000036,13433092919.8647,-14609068673.4853
24,TimDraper,2020-05-28,"If you haven't seem my show @betheheroshow yet, please tune in on Twitch at 4:00 pm today. It is a kick in the pants and I never know what is going to come out of my mouth.",Negative,10.954998027000016,12212469603.9905,-10631034756.4509
25,TimDraper,2020-08-31,Maybe the Ca Supreme Court should rethink their opinion on 3 Californias. Or 6 Californias. https://t.co/umd0Bkpja1,Negative,6.57072786599997,12774741797.1348,-11211948040.289
26,TimDraper,2021-06-19,My list for 2030: 1. @Bitcoin  2. @EtheriumToken  3. @coinbase 4. @binance 5. @SpaceX 6. @Tesla 7. @amazon 8. @planet  9. @Ledger 10. @Apple. What is yours?https://t.co/14Sl6c33xP.,Negative,-56.66004368999984,18765854895.91,-22752818387.52
27,TimDraper,2021-09-16,@Fairmintco a @drapervc portfolio company is rethinking company ownership. Check it out. https://t.co/ct9Qhm6YKr,Negative,-41.7786891226001,20093903064.17,-17548551803.79
28,TimDraper,2021-09-24,Xi taking #China back to the dark ages. Has anyone noticed that they make these announcements about every two weeks? Methinks he doth protest too much about #crypto #Bitcoin. The Chinese people are smarter than this. #undergroundeconomy https://t.co/9R990gUEx5,Negative,-222.89290455729997,25595422789.23,-18516291046.56
