,Text,Username,Unnamed: 0,Datetime,polarity
0,@thetweethaver wtf,elonmusk,7,2022-01-21 06:28:31+00:00,Negative
1,Maybe something like this https://t.co/PUBLdaewt8,elonmusk,12,2022-01-20 03:57:33+00:00,Positive
2,@BillyM2k @jack @gladstein @rahilla @farokh @samkazemian @TheSmarmyBum @ethereum That’s why I’m pro Doge,elonmusk,175,2021-12-23 07:11:42+00:00,Negative
3,@jack m something something,elonmusk,200,2021-12-21 05:42:47+00:00,Positive
4,"@TeslaOwnersEBay @PPathole @ScottAdamsSays @johniadarola @SenWarren It’s complicated, but hopefully out next quarter, along with Witcher. Lot of internal debate as to whether we should be putting effort towards generalized gaming emulation vs making individual games work well.",elonmusk,269,2021-12-16 08:40:33+00:00,Negative
5,@ScottAdamsSays @johniadarola @SenWarren I love Dilbert! Use it all the time to illustrate that we’re doing something wrong at Tesla/SpaceX if it could be a Dilbert cartoon irl. This happens more often than I’d like (sigh).,elonmusk,273,2021-12-16 01:56:28+00:00,Positive
6,"@WatcherGuru This is scary, something’s got to give",elonmusk,377,2021-12-08 21:02:40+00:00,Negative
7,@AEIecon @SciGuySpace @JimPethokoukis @PE_Podcast_AEI Good summary,elonmusk,411,2021-12-06 01:44:54+00:00,Positive
8,"@WholeMarsBlog Our NNs didn’t have any temporal &amp; spatial memory or surround video auto-labeling back then – everything was knitted together in C++ from single frames with manual labeling.

Still much to improve.",elonmusk,530,2021-11-23 17:05:08+00:00,Negative
9,"@SamTwits Founding story of Tesla as portrayed by Eberhard is patently false. I wish I had never met him.

Eberhard is by far the worst person I’ve ever worked with in my entire career. Given how many people I’ve worked with over the years, that’s really saying something …",elonmusk,671,2021-11-13 00:56:41+00:00,Positive
10,"@Filasophical @ShibaInuHodler Out of curiosity, I acquired some ascii hash strings called “Bitcoin, Ethereum &amp; Doge”. That’s it. 

As I’ve said before, don’t bet the farm on crypto! True value is building products &amp; providing services to your fellow human beings, not money in any form.",elonmusk,849,2021-10-24 18:01:32+00:00,Negative
11,@cleantechnica There is something great about the Cessna 172/182 design,elonmusk,961,2021-10-12 03:28:25+00:00,Negative
12,"Whether it’s stamp collectors in Andorra or petticoat aficionados in Lichtenstein, none can resist!",elonmusk,1170,2021-09-13 04:09:51+00:00,Negative
13,"@PPathole Booster has 2 pins for lifting &amp; catching, although maybe it’s better to modify grid fins to take more load. 

Something will need to flip out from leeward side of top of ship to do same there. Maybe it’s part of fwd flaps, but prob not.

Diff solutions for diff load paths.",elonmusk,1297,2021-08-30 09:36:36+00:00,Negative
14,@AnDuong_91 @Morethan3dLtd @MarcusHouse @OLHZN @FelixSchlang Black,elonmusk,1308,2021-08-29 04:55:03+00:00,Positive
15,"@coffeetabletsla @SawyerMerritt Yeah, we should tie Autopilot driving style preference &amp; various warning settings together in general",elonmusk,1313,2021-08-28 07:47:05+00:00,Positive
16,"@truth_tesla @ConsumerReports Reason we hustled so much to get Autopilot V1 out was that someone driving non-Autopilot Tesla fell asleep, crashed &amp; killed cyclist (Tesla driver was uninjured).

Driver nonetheless sued us saying new car smell made him fall asleep (sigh). Judge didn’t agree.",elonmusk,1530,2021-07-31 20:49:36+00:00,Negative
17,"@DavidNagySFgang @rocketry_catboy Indeed. Grid fin designs clearly work, but do they maximize payload? Good chance that they do not. 

Something with much more drag to reduce terminal velocity &amp; so reduce landing propellant might have better performance. Not sure. 

Potential future optimization.",elonmusk,1532,2021-07-31 20:24:18+00:00,Positive
18,Prometheus Unbound https://t.co/mlagF9mUUb,elonmusk,1565,2021-07-30 04:52:14+00:00,Negative
19,@RationalEtienne @etherkragg Those are major factors,elonmusk,1719,2021-07-16 15:57:07+00:00,Positive
20,"@MattWallace888 BTC &amp; ETH are pursuing a multilayer transaction system, but base layer transaction rate is slow &amp; transaction cost is high.

There is merit imo to Doge maximizing base layer transaction rate &amp; minimizing transaction cost with exchanges acting as the de facto secondary layer.",elonmusk,1807,2021-07-09 07:15:00+00:00,Negative
21,"@vonbrauckmann Sanskrit is ancient &amp; amazing, but Archaic Sumerian is generally agreed to be oldest written language. 

As for what was first spoken, it’s hard to say, as no one wrote it down! So much history has been lost due to lack of writing (on something durable).

https://t.co/YV8DeOonfq",elonmusk,1812,2021-07-09 00:16:18+00:00,Positive
22,"@thejackbeyer @MarcusHouse @artzius Center engines on ship will be same as booster engines. This is basically Raptor 2.

Raptor Vacuum would be only variant. Tbd as to whether to commonize R-Vac with Raptor 2 (more thrust), keep same or tighten throat (more Isp). 

Adding 3 more R-Vac to ship with max Isp maybe …",elonmusk,1867,2021-07-04 21:26:07+00:00,Negative
23,"@MarcusHouse @artzius All Raptors on booster, whether fixed or gimbaling, would be the same. 33*230 gets ~7600 tons of thrust &amp; T/W of ~1.5.",elonmusk,1868,2021-07-04 21:09:33+00:00,Negative
24,"@RationalEtienne @michilumin Yeah, had great Poutine in Montreal. Does feel like your life expectancy is dropping in real-time as you eat it, but awesome nonetheless.",elonmusk,1918,2021-07-01 08:14:33+00:00,Negative
25,"@ajtourville Main advantage of this is a much stronger EM field compared with a rotor that is held together by metal (usually high strength steel). 

Other advantage is that rotor can go to higher RPM, as carbon sleeve (mostly) stops copper rotor from expanding due to radial acceleration.",elonmusk,2046,2021-06-13 17:27:59+00:00,Negative
26,@lexfridman @VitalikButerin @ethereum @Bitcoin @dogecoin @ShibainuCoin @IOHK_Charles @Cardano @chainlink @0xPolygon I pretty much agree with Vitalik,elonmusk,2102,2021-06-05 08:21:59+00:00,Positive
27,"@ErcXspace @SpaceX @NASASpaceflight @MarcusHouse Pretty close. Inner ring is closer to center 3, as all 12 gimbal together. Boost back burn efficiency is greatly improved in this config.",elonmusk,2144,2021-05-31 04:28:09+00:00,Positive
28,"@AstroJordy @Tesla We can’t wait to build this crazy truck! It’s a total rethink of vehicle mechanical architecture &amp; production methods, so super hard project, but worthwhile in the end.",elonmusk,2202,2021-05-21 01:35:13+00:00,Positive
29,@OwenSparks_ @nbcsnl @MileyCyrus Might be something there haha,elonmusk,2356,2021-04-28 21:48:58+00:00,Positive
30,Kong vs Godzilla has record for most meth ever consumed in a writer’s room,elonmusk,2500,2021-04-10 07:29:01+00:00,Positive
31,@TarekWaked @TechCrunch @etherington Pretty much 🤣🤣 Great episode!,elonmusk,2525,2021-04-09 02:57:27+00:00,Positive
