,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,elonmusk,2015-09-12,@annerajb @eli_schiff Good progress. Really proud of this design &amp; SpaceX propulsion team. This engine is something special.,Positive,0.051512062600000075,772430.0,-1170170.0
1,elonmusk,2016-04-01,@Model3Owners Was thinking of offering an extended Tesla factory tour option where you could help build part of a car &amp; understand how they come together. I know it would have been super fun for me when I was a kid (or now).,Positive,0.2629995347000005,11373100.0,-3593600.0
2,elonmusk,2016-04-02,@thanr @JamesWorldSpace Building double-layer Kevlar pressure pods with Teflon coating to slip by rocks &amp; front/rear rope tow hitch &amp; lead pockets for neutral buoyancy. ~60 cm oval. Testing this aft in a pool with a subject who has never done SCUBA. Do the divers think something like this might work?,Positive,-0.031700134299999405,8682620.0,-2690480.0
3,elonmusk,2016-04-03,@dtemkin This reaction has shaken my opinion of many people. We were asked to create a backup option &amp; worked hard to do so. Checked with dive team many times to confirm it was worthwhile. Now it’s there for anyone who needs it in future. Something’s messed up if this is not a good thing.,Positive,-0.009999275200000213,5580550.0,-3102070.0
4,elonmusk,2016-06-09,@voidptr @rowdystew @M3Exp I think we should do something here. Will talk with team &amp; send out a note in next few days.,Positive,-0.03200054170000044,8256830.0,-8684970.0
5,elonmusk,2016-07-10,@DrivingSlate @TeslaParaTodos @JenniferSensiba @cleantechnica @28delayslater Exactly. This has now happened several times. Something is broken with SEC oversight.,Positive,-0.012799262999999783,5479240.0,-11775560.0
6,elonmusk,2016-07-30,"@sasor098 @AdamHugo @WayCharMar @fan_of_racing @bkent136 @macodiseas @katlinegrey That’s true 😀 Merlin 1A was terrible. 1C was ok, 1D good, but block 5 Merlin (should probably be called 1E) is something special. Took about 15 years to get there.",Positive,-0.33640003200000024,9047810.0,-5034490.0
7,elonmusk,2016-11-05,"@martinengwicht @macodiseas @katlinegrey Exactly. That’s the critical point for Starship/BFR: more payload than the biggest rocket ever made, but for less money per launch than the smallest (orbital) rocket. Without something that lowers orbital flight cost by 100X, humanity will never be a multiplanet species.",Positive,-0.09230041500000041,5502670.0,-4455370.0
8,elonmusk,2017-01-22,The new Roadster will actually do something like this https://t.co/fIsTAYa4x8,Positive,-0.20689964289999985,8678620.0,-3258980.0
9,elonmusk,2017-01-22,"@flaneur @boringcompany Actually way more capacity, way faster &amp; way more convenient. Subways are fine, but it’s time to upgrade to something better.",Positive,-0.20689964289999985,8678620.0,-3258980.0
10,elonmusk,2017-05-14,"@margrethmpossi Varies per person, but about 80 sustained, peaking above 100 at times. Pain level increases exponentially above 80.",Positive,-0.0850982665999993,66046600.0,-22695600.0
11,elonmusk,2017-05-22,@Tesla Would like to thank Robyn for joining the team. Great respect. Very much look forward to working together.,Positive,16.08799743649999,1188909952.0,618548928.0
12,elonmusk,2017-05-22,"@Teslarati Amazing results by @Panasonic at Tesla Gigafactory Nevada! Very much appreciate extreme hard work it took to achieve this result. Together with Pana Japan cell plants, Tesla/Pana partnership is producing ~60% of global EV battery output!",Positive,16.08799743649999,1188909952.0,618548928.0
13,elonmusk,2017-05-24,@veldeth_ @AMAZlNGNATURE v true,Positive,7.3970031737999875,561014016.0,30305024.0
14,elonmusk,2017-06-08,"@MebFaber When something sounds too good to be true, it usually is. Way the trick works is companies like Blackrock keep up to 50% of short interest revenue, but suffer almost none of equity decline, as they’re just “passive” managers. Blackrock made $597M in short lending last year!",Positive,3.6749877928999695,385494016.0,-76154976.0
15,elonmusk,2017-06-09,"People sometimes forget that a company is just a group of people gathered together to make products. So long as it makes great products, it will have great value.",Positive,19.9880065918,557985984.0,172491968.0
16,elonmusk,2017-08-19,@cleantechnica Something especially weird going on with Yahoo news feed on iPhone stocks app. Almost always super negative. Maybe getting gamed.,Positive,1.2890014647999806,860201984.0,-75958016.0
17,elonmusk,2017-08-31,"@momof3terrors Thanks, great feedback. Will be a fun  project for Tesla design. Love the idea of adding a special item every few months, so whenever you go into a Tesla store, there is something new &amp; delightful to see.",Positive,4.600982665999993,706254016.0,-627065920.0
18,elonmusk,2017-09-28,"@SadCookieCrisp Something like that, but more of an adults in cars anime vibe",Positive,-7.316009521500007,501894016.0,-48349952.0
19,elonmusk,2017-10-06,"@danfromtheweb Btw, 1792 is calling &amp; wants its method of execution back. Seriously, what museum do you plan to raid?",Positive,13.433013915999993,318664000.0,64916992.0
20,elonmusk,2017-12-11,"@Tesla Whether you plan to buy a Dual Motor Performance Model 3 or not, take it for a test drive anyway. It’s like having pure fun jacked straight into your brain whenever you want.",Positive,74.77798461909998,1771440000.0,367260032.0
21,elonmusk,2017-12-11,@ElectrekCo @TeslaRoadTrip Am feeling optimistic about beating the Semi specs announced at the unveiling for the same price. The Tesla Semi will be something really special.,Positive,74.77798461909998,1771440000.0,367260032.0
22,elonmusk,2018-01-28,@SpaceX Now that’s a real flamethrower …,Positive,134.22998046869998,5372329984.0,2369459968.0
23,elonmusk,2018-01-28,The rumor that I’m secretly creating a zombie apocalypse to generate demand for flamethrowers is completely false,Positive,134.22998046869998,5372329984.0,2369459968.0
24,elonmusk,2018-01-28,"When the zombie apocalypse happens, you’ll be glad you bought a flamethrower. Works against hordes of the undead or your money back!",Positive,134.22998046869998,5372329984.0,2369459968.0
25,elonmusk,2018-01-31,Definitely going to need to rethink production planning...,Positive,47.22009277350003,3757560064.0,-350299904.0
26,elonmusk,2018-02-24,@Sethrogen thanks!,Positive,-21.078002929700006,1926579968.0,-408240128.0
27,elonmusk,2018-03-26,Have asked SolarCity if we can do something philanthropic with the CA aqueducts to help the water crisis. Investigating…,Positive,-34.33599853520002,1638880000.0,487709952.0
28,elonmusk,2018-05-09,Waited to say something until after we fixed some of the options pricing (too high) and colors (too many similar),Positive,-0.626953125,2877870080.0,-42619904.0
29,elonmusk,2018-05-12,"With all that solar power being generated, it almost feels like something is needed to complete the picture ...",Positive,6.170959472599975,2668480000.0,-621600000.0
30,elonmusk,2018-05-20,"The ancient Egyptians were amazing, but if aliens built the pyramids, they would've left behind a computer or something",Positive,17.44604492190001,2156910080.0,135360128.0
31,elonmusk,2018-05-26,Didn't get good landing/impact video. Pitch dark and foggy. Will piece it together from telemetry and ... actual pieces.,Positive,-0.1459960936999778,1694300032.0,-416619904.0
