,Text,Username,Unnamed: 0,Datetime,polarity
0,“Character is formed in the stormy billows of the world.” - Goethe on #Bitcoin,saylor,118604,2022-01-22 14:23:08+00:00,Positive
1,“Everything is hard before it is easy.” - Goethe on #Bitcoin,saylor,118614,2022-01-18 14:17:34+00:00,Positive
2,@GwynethPaltrow @CashApp #Bitcoin is the gift that keeps giving.🎁,saylor,118683,2021-12-20 23:33:58+00:00,Negative
3,"Regardless of whether you are a pessimist or optimist, the answer is still #Bitcoin.",saylor,118782,2021-11-27 14:04:28+00:00,Negative
4,@Snowden #Bitcoin is universally acknowledged as community property and sets the standard for a decentralized digital asset. Everything else in the crypto economy should be judged by the bitcoin standard when considering the question of whether the token is property or a security.,saylor,118804,2021-11-21 23:20:08+00:00,Negative
5,"@TheStalwart If we wish to build something that will be beautiful &amp; functional for a century, we need to build it with solid materials on a firm foundation. If steel &amp; stone lost 99% of their essence over 100 years, there would be no New York, London, or Paris. Fiat money decays like wood.☹️",saylor,118843,2021-11-16 16:58:06+00:00,Negative
6,@PeterSchiff @BTC_Archive Investors need something better than a 5% solution.,saylor,118846,2021-11-15 22:11:47+00:00,Positive
7,"@cvpayne @MicroStrategy Once again, a notebook sketch from an @MIT engineer makes national news and causes us to rethink our views on homeland security and national defense. Good work @JasonPLowery. 🚀",saylor,118867,2021-11-13 15:20:34+00:00,Positive
8,@abhayka @APompliano That is a good question. We await guidance on this matter from the regulators. When is a token deemed community property? #Bitcoin sets a high standard that will be difficult for others to emulate. Satoshi seems to have been well versed in securities law &amp; monetary ethics.,saylor,118878,2021-11-12 01:21:50+00:00,Positive
9,"@APompliano If a token is deemed a security, that would likely make it illegal to trade (because none of the relevant disclosures have taken place) &amp; unethical for a public figure to promote (because it violates ethics rules regarding conflicts of interest for nearly all elected officials).",saylor,118880,2021-11-12 00:35:24+00:00,Positive
10,@kgreifeld I suppose Peloton and #Bitcoin go well together.,saylor,118915,2021-11-06 22:27:06+00:00,Positive
11,"@jack A crypto-asset with a target price of 0.0000~something gives new meaning to the phrase ""Race to the Bottom."" 🙃",saylor,118969,2021-10-30 14:23:13+00:00,Positive
12,"@brian_armstrong @BarrySilbert @SBF_FTX @jespow @cz_binance @OneMorePeter @_pgauthier It is challenging to read 8 significant digits to the right of the decimal point absent any commas or logical separators. Something like The Satcomma Standard would make routine operations much, much easier. https://t.co/0MEvPXYtbm",saylor,119002,2021-10-25 16:47:18+00:00,Negative
13,"Saylor Academy @saylordotorg just launched a free ""Bitcoin for Developers"" created by @hmichellerose with material from @aantonop -enroll today &amp; learn the components of #Bitcoin &amp; how they work together to keep Bitcoin's open, decentralized system running.https://t.co/NAVd8a17Nk",saylor,119059,2021-10-14 13:51:22+00:00,Negative
14,"In ""Bitcoin Seven Layers of Security #2” @Breedlove22 and I discuss how #Bitcoin is protected via finance, mining, space, &amp; time. Why PoW is technically, ethically, &amp; politically superior to PoS. The Blocksize War &amp; perils of playing god in cyberspace.
https://t.co/A9OmiwKXgU",saylor,119068,2021-10-12 17:40:10+00:00,Negative
15,"@BrianRoemmele The key to commercializing a volcano (or any other natural energy source) in the developing world is #Bitcoin mining. Unsurprisingly, the most valuable use of energy is the production of digital energy, something universally desirable that can be stored &amp; exported with ease.",saylor,119086,2021-10-10 00:05:22+00:00,Negative
16,"One year after my first discussion with @RaoulGMI, we get back together to discuss lessons of the past 12 months, corporate adoption of #Bitcoin, digital property, digital energy, leverage, risk, and the coming impact of regulation on the crypto industry. 
https://t.co/pPBM8xytAB",saylor,119153,2021-09-25 15:51:35+00:00,Negative
17,"If you believe in #Bitcoin and wish to do something to help thousands of companies fix their balance sheets, please go to the Financial Accounting Standards Board (FASB) website and post your support for the adoption of Fair Value accounting. Comments are due by Wednesday. https://t.co/I5Fae0YnHS",saylor,119175,2021-09-20 13:09:15+00:00,Negative
18,"Lost on the road to Damascus.
Blinded by Satoshi’s cyber fire.
Stumbled through the darkness.
Lasers lead to something higher.

#Bitcoin",saylor,119187,2021-09-17 12:35:01+00:00,Negative
19,"“Don’t just do something, stand there.” - The White Rabbit on #Bitcoin",saylor,119259,2021-08-17 11:30:17+00:00,Positive
20,"@PeterSchiff Traditional wealth preservation strategies leave a lot to be desired. Sell your #Gold and don't bother building a Pyramid. It is time to try something new. You can take #Bitcoin anywhere in time &amp; space. It is the future of property and property rights.
https://t.co/5SOwDl4Dl6",saylor,119309,2021-07-31 02:33:16+00:00,Positive
21,"""It's not whether you're right or wrong that's important, but how much money you make when you're right and how much you lose when you're wrong."" - George Soros on #Bitcoin",saylor,119331,2021-07-26 12:28:57+00:00,Negative
22,"@NorthmanTrader True. Everyone has to solve the problem, but access to leverage, asset options, risk tolerance, and timeframes vary depending on whether the entity is a government, institution, corporation, association, or individual, as well as by locale, history, governance &amp; charter.",saylor,119375,2021-07-13 17:15:32+00:00,Negative
23,"@MartyBent No doubt. We still have work to do, and we are better off if we work together in a constructive fashion. The BMC is a voluntary and open forum committed to the network and its core principles. I would be happy to come on your show to discuss if you like.
https://t.co/vGPGD3TA5p",saylor,119405,2021-07-06 20:49:40+00:00,Positive
24,"If your CFO is struggling with the dilemma of whether to surrender your capital, assume debt to leverage up cash flows, or engage in risky, dilutive acquisitions in order to grow, #Bitcoin offers a compelling solution to strengthen your balance sheet.
https://t.co/KKmIJCobxR",saylor,119430,2021-06-29 12:59:53+00:00,Positive
25,"“If an elderly but distinguished scientist says that something is possible, he is almost certainly right; but if he says that it is impossible, he is very probably wrong.” - Arthur C. Clarke on #Bitcoin",saylor,119431,2021-06-29 11:37:21+00:00,Negative
26,"@NorthmanTrader The future is always uncertain. The question is whether we embrace technology to engineer a better outcome for our family, company, community &amp; country, or accept the mediocre hand we have been dealt and cling to the status quo. Necessity is the mother of invention. #Bitcoin",saylor,119458,2021-06-25 13:37:18+00:00,Negative
27,"The @FT notes that @MicroStrategy intends to ""acquire and hold #bitcoin, which we view as a dependable store of value supported by a robust, public, open-source architecture untethered to sovereign monetary policy.""
https://t.co/N21rxxEFoz",saylor,119501,2021-06-16 12:15:53+00:00,Positive
28,"When it’s all said and done, historians will tell the story with annualized charts, and future generations will only remember whether you won or lost.  #Bitcoin",saylor,119513,2021-06-14 12:40:29+00:00,Negative
29,"This weekend, some #Bitcoin miners came together to talk about the energy challenges we face, both real &amp; imagined, and work on solutions together for the good of the entire industry.  Details below: https://t.co/fo9fs9ghuy",saylor,119596,2021-05-25 17:12:42+00:00,Positive
30,"@elonmusk 🔥🚀 Since both #Tesla &amp; #Bitcoin fans believe technology can make the world a better place, why don’t we focus on going to the moon together? 🥇  Over 100 million people think Bitcoin represents https://t.co/kZl3k7Tm4h for the economic well being of everybody on the planet.",saylor,119638,2021-05-16 19:07:25+00:00,Positive
31,“In all things of nature there is something of the marvelous.” - Aristotle on #Bitcoin,saylor,119706,2021-04-30 13:19:26+00:00,Negative
