,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,saylor,2017-08-04,@RaoulGMI I joined Real Vision long before I met @RaoulGMI .   LOL - I used my credit card to buy something online for the first time this year. 💳  I figured it was a good investment.  It turned out to be awesome.,Positive,-2.235000610299977,539782976.0,-17434048.0
1,saylor,2020-09-18,"Sound money is essential to human prosperity.  Whether you are interested in creating shareholder value, preserving wealth, leading an enterprise, securing human dignity, or elevating mankind, this letter should be required reading in 2021.  #Bitcoin 

https://t.co/aFqnd8PAEN",Positive,-4.972953032000021,14108357740.4861,-5791173340.013802
2,saylor,2021-01-04,"Free Education, The Mobile Wave, The Virtual Wave, Converting to Bitcoin Standard, Debunking Crypto FUD - Tether, Quantum Attacks, Regulation, HFSP, #Bitcoin Monetary Network, Investment Time Horizon, Wealth Creation Strategy

https://t.co/D6GFROuZEq",Positive,63.174229569999966,56945985762.68821,11745522394.479736
3,saylor,2021-01-15,"Economics of Dirty Money, Toxicity, Jedi Mind Tricks, Inflation, Interest Rates, Darwinian Competition, Stoicism, Humility, Focus, Decimation, Ethics of Action, Terrifying Natural Beauty, Vitality, Equilibrium, Engineer vs. Zookeeper, Ecosystem Collapse

https://t.co/DdGPjGwXkw",Positive,-50.04253906000008,35972039309.63758,2561123380.6727867
4,saylor,2021-01-16,“Only buy something that you’d be perfectly happy to hold if the market shuts down for ten years.” - Warren Buffett on #Bitcoin,Positive,62.09450788999993,32319240157.30916,-3652799152.3284225
5,saylor,2021-02-10,"Following March 2020, the entire world needs to rethink portfolio theory &amp; investment strategy.  Bonds, gold, &amp; cash no longer function properly as treasury assets.  #Bitcoin has emerged as the world's best store of value &amp; most disruptive technology.

https://t.co/HtlLIHsldo",Positive,-23.796315790000108,41916084617.36,-2264642911.199997
6,saylor,2021-03-13,"“It is difficult to get a man to understand something, when his salary depends on his not understanding it.” - Upton Sinclair on #Bitcoin",Positive,152.51904826999998,25014689475.38,2578868162.8899994
7,saylor,2021-03-21,"Twelve months ago, I needed to choose a new treasury reserve asset, but wasn't sure whether the answer was #Bitcoin or #Gold.  I agreed to this debate so that I could share with the world why I think Bitcoin is replacing Gold as the strongest form of money. https://t.co/12x8eRpwrt",Positive,-24.38952742000015,22977404620.4,299729650.19000244
8,saylor,2021-04-22,"@elonmusk 🔥🚀 Since both #Tesla &amp; #Bitcoin fans believe technology can make the world a better place, why don’t we focus on going to the moon together? 🥇  Over 100 million people think Bitcoin represents https://t.co/kZl3k7Tm4h for the economic well being of everybody on the planet.",Positive,45.66417047999994,53575904723.67,14676837080.239998
9,saylor,2021-05-16,"This weekend, some #Bitcoin miners came together to talk about the energy challenges we face, both real &amp; imagined, and work on solutions together for the good of the entire industry.  Details below: https://t.co/fo9fs9ghuy",Positive,-54.324491469999884,47359478733.83,4937156982.779999
