,Text,Username,Unnamed: 0,Datetime,polarity
0,@intangiblecoins it is absolutely ridiculous right now...and totally not sustainable,BarrySilbert,89718,2022-01-07 01:07:04+00:00,Negative
1,"New Year's Eve is very much on — in the metaverse. Decentraland, a blockchain-based virtual world, will recreate the iconic Times Square ball drop, starting with its ""MetaFest 2022"" global party on Dec. 31 

$MANA

https://t.co/16qKSAFX3X",BarrySilbert,89722,2021-12-29 16:53:49+00:00,Positive
2,"Investors Snap Up Metaverse Real Estate in a Virtual Land Boom

$MANA
 https://t.co/xkR6i4uGuk",BarrySilbert,89761,2021-12-01 17:46:31+00:00,Positive
3,$SOL + @Grayscale https://t.co/XT3vKhdPWs,BarrySilbert,89764,2021-11-30 12:47:38+00:00,Positive
4,Metaverse tokens &gt; Meme tokens,BarrySilbert,89774,2021-11-27 17:12:31+00:00,Positive
5,"@eordano i'm just going to revise my pitch to ""the anti-Facebook metaverse play"" and that should do the trick",BarrySilbert,89776,2021-11-25 13:55:23+00:00,Positive
6,"With $MANA now over $5, there is $1 billion available to build the decentralized metaverse https://t.co/J7KEPGggty",BarrySilbert,89782,2021-11-24 12:12:41+00:00,Positive
7,"The @decentraland DAO holds over 200 million $MANA, worth &gt;$600 million at current prices, which will be used to improve the metaverse

The higher the $MANA price, the more resources are available to upgrade the metaverse. All decentralized 

Cool, right?

https://t.co/1ssFd2wW3w",BarrySilbert,89840,2021-10-30 22:07:13+00:00,Positive
8,"Want to buy some land in the decentralized metaverse (the one not owned by Facebook)? Start here:

https://t.co/3cqSe488FO",BarrySilbert,89843,2021-10-30 14:01:44+00:00,Positive
9,"Looking for a non-Facebook metaverse play? Check out the Grayscale Decentraland Trust, which holds $MANA, the native currency of the first decentralized metaverse https://t.co/1W3ISplv6R",BarrySilbert,89848,2021-10-29 11:54:49+00:00,Negative
10,"@fintechfrank sold the initial $1 mm yesterday. what's left, if anything, goes to charity",BarrySilbert,90082,2021-05-10 12:58:01+00:00,Negative
11,@cburniske sold!,BarrySilbert,90157,2021-04-14 13:45:49+00:00,Negative
12,@AMERICANHODL3 I expect absolute and eternal loyalty from you,BarrySilbert,90201,2021-03-22 00:24:35+00:00,Negative
13,Twitter is going to absolutely lose it’s shit when Elon/Tesla disclose bitcoin holdings,BarrySilbert,90314,2021-01-09 18:20:27+00:00,Positive
14,It is my absolute pleasure to announce that Michael Sonnenshein has been promoted to CEO of Grayscale. I look forward to seeing the new heights he will take the business over the years to come https://t.co/sJbz2pWVAS,BarrySilbert,90320,2021-01-07 14:42:39+00:00,Negative
15,@FGMR the Fed is the largest holder of gold in the world. not sure I’d want to hold something if people start questioning the solvency of the largest holder,BarrySilbert,90426,2020-11-28 21:01:50+00:00,Positive
