,Text,Username,Unnamed: 0,Datetime,polarity
0,"@drapervc portco @ArrowLabsMIMS game changing productivity software solves a problem that affects 80% of global “deskless workers”. Millions of #frontliners have no access to #technology to seamlessly work. 
Power your #futureofwork with #MIMS !
#DigitalTransformation #Technology",TimDraper,121035,2021-12-14 17:24:21+00:00,Negative
1,Wow! @JesseDraper has made over 100 investments in #femalefounders. Also number one solo female VC in LA. A force of nature. Awesome! https://t.co/ROWdtgDJ58,TimDraper,121055,2021-11-12 22:37:19+00:00,Positive
2,"Solving UX is the path to #crypto adoption. Awesome milestone of @DraperVC portco @morpher_io launching their new wallet and passing one million trades - from 180 countries in 700 markets. Morpher can trade anything!
Enable financial #freedom and #trust! https://t.co/girk8hCaCI",TimDraper,121074,2021-10-06 15:08:29+00:00,Negative
3,@OpenNodeCo is a good solution to get El Salvador up and running on #bitcoin. Congratulations to the government there on their leadership in bringing decentralization to Central America! https://t.co/wtn5nz6Zq3,TimDraper,121100,2021-09-08 23:12:20+00:00,Positive
4,"Episode 4 of @meetthedrapers features innovative solutions for traditional problems! There are pitches from @takeaudaan , #sunscoop , and @clocr_inc . Full episode releases February 27th!

https://t.co/Y2zCOU3866",TimDraper,121241,2021-02-24 01:15:47+00:00,Positive
5,"@drapervc portfolio company, Finmark CEO @ramiessaid sold his previous company for enviable $$$ and still had regrets. Here's what he learned https://t.co/iFgvj4GtOd",TimDraper,121277,2021-02-03 22:22:53+00:00,Positive
6,"I hope he reigns in the SEC. I hope he leads by example and makes bitcoin a national currency. I hope he solves global warming, but we all know that will happen because some entrepreneur found a solution, not because of a politician. So I hope he celebrates the entrepreneur.",TimDraper,121296,2021-01-11 07:49:44+00:00,Positive
7,"I am feeling this. Are you? Because the US is so divided, we may be losing the ability to debate issues and come to better, cooperative solutions. https://t.co/NFoC8oJJjB",TimDraper,121383,2020-08-18 23:09:28+00:00,Negative
8,Check out this episode of @meetthedrapers featuring successful entrepreneur #PritaUppal as guest judge! We hear out solid pitches from @zephyrseat @Story2 and @AvenifyHQ . You can invest on @joinrepublic ! https://t.co/QHsMsD7JDW,TimDraper,121394,2020-07-24 00:51:51+00:00,Positive
9,Episode #9 Season #3 @meetthedrapers featuring successful entrepreneur #PritaUppal as guest judge! We hear out solid pitches from @zephyrseat @Story2 and @AvenifyHQ . You can invest on @joinrepublic ! https://t.co/QHsMsCQ8Mo,TimDraper,121396,2020-07-23 17:46:30+00:00,Positive
10,"Interview with Leah Solivan, founder of TaskRabbit and me covering ""The Entrepreneur's Guide for #Covid19. Leah is extraordinary. Worth watching. https://t.co/uZ2IoybsFI",TimDraper,121502,2020-04-17 15:45:56+00:00,Positive
11,I saw this and I think I have a solution. Look for future tweets @TimDraper . This is How an Economy Dies by @umairh https://t.co/tESL6lnK8T,TimDraper,121508,2020-04-12 18:05:12+00:00,Negative
12,"@drapervc company, Sourceday solves supply chain issues like getting masks and ventilators on time #covid19 https://t.co/0Hx0kM0FU1",TimDraper,121521,2020-04-07 16:28:02+00:00,Positive
13,"The world needs more entrepreneurs solving BIG problems. We're still on for SXSW 2020 for the official launch event of Draper Startup House Austin, March 17 from 3-6pm
https://t.co/gaMl9F2Zds",TimDraper,121550,2020-03-15 20:03:47+00:00,Positive
14,"Over time, I would eliminate TSA and Customs in favor of AI solutions. https://t.co/ZbcaaMqvsz #competitivegovernance #bitcoin #drapervc",TimDraper,121566,2020-03-08 19:00:43+00:00,Positive
15,"Over time, I would eliminate TSA and Customs in favor of AI solutions. https://t.co/ZbcaaMqvsz #bitcoin #governance #politics #oneday",TimDraper,121571,2020-03-06 19:00:38+00:00,Negative
16,A new form of refugee housing. Another awesome @draperassociates company solving another global problem. #drapervc https://t.co/nlVALmokVg https://t.co/nlVALmokVg,TimDraper,121644,2019-09-26 01:23:43+00:00,Positive
17,DropWater eliminates plastic bottles in the airports. Draper Associates entrepreneur solves another global problem. #drapervc https://t.co/eCKewy7lu8 https://t.co/eCKewy7lu8,TimDraper,121658,2019-08-21 14:03:27+00:00,Positive
18,Sometimes the simple solution is the best one. Plant a tree and put up a solar panel. https://t.co/QQwzTsrOaX https://t.co/QQwzTsrOaX,TimDraper,121662,2019-08-15 16:02:33+00:00,Positive
19,"Institutions should be comfortable to hold bitcoin soon. I evaluated Coinbase, Ledger, Anchorage, Bitgo, Casa, and Gemini for custody solutions. There is amazing security available. My coins are so well secured, I... https://t.co/oBipoi1hhI",TimDraper,121674,2019-07-27 14:41:24+00:00,Positive
20,Watch this if you want to solve your email problems and get and exchange crypto when you do it. https://t.co/ebQYdjsGMU https://t.co/ebQYdjsGMU,TimDraper,121900,2018-04-27 22:03:34+00:00,Negative
21,Draper Associates just hired a hotshot new analyst.... https://t.co/JOvsOL3ekL,TimDraper,121983,2017-11-10 02:04:35+00:00,Positive
22,Very exciting to see @SwapyNetwork going after cheaper credit and student loans. Clever solution.,TimDraper,121986,2017-10-28 15:56:16+00:00,Positive
23,I got to interview Lyndon Rive SolarCity​ at the Stanford University​ DFJ Thoughtleaders Series.   He is awesome. https://t.co/ENkanGxCGB,TimDraper,122342,2015-11-16 23:08:41+00:00,Negative
