,Text,Username,Unnamed: 0,Datetime,polarity
0,"his version stores all the data for the art on chain which is great (more decentralized), solving one of the issues he highlights in his post

i would expect this to be widely copied and iterated on (could go lots of places from here)",brian_armstrong,89166,2022-01-08 05:53:22+00:00,Positive
1,"1. For NFTs, some keep their data in IPFS (decentralized file storage) or in the smart contract itself for procedurally generated images. We (as a community) should probably move more to solutions like this over time, since it is indeed more decentralized to build them that way.",brian_armstrong,89180,2022-01-08 02:09:36+00:00,Negative
2,"The article doesn't cover energy usage - but have seen some other good comments about the abundant amount of solar energy that hits earth each day.

Seems like it would take us very far, even without advances like fusion.",brian_armstrong,89182,2022-01-01 20:44:40+00:00,Positive
3,Hopefully this proposal is constructive and is a part of the solution. Here’s an overview of the proposal from our Chief Policy Officer @faryarshirzad https://t.co/NZwLfK5kaf,brian_armstrong,89257,2021-10-14 18:17:47+00:00,Positive
4,"4/ Of course, every company deserves to have scrutiny and should take an honest look at what it's doing well and not well, but the market solves a lot of this for us. People vote with their wallet, choosing what to buy.",brian_armstrong,89277,2021-10-06 04:20:08+00:00,Positive
5,"We've now met with 30+ crypto firms, 25+ members of congress and/or staff, 4 major law firms, and 3 trade groups about our regulatory proposal for crypto. Our policy team is doing great work and we're trying to be part of the solution. https://t.co/kfw59KNdoo",brian_armstrong,89301,2021-09-30 23:00:05+00:00,Negative
6,"The other option is sensible/thoughtful regulation, hopefully we help propose some solutions here https://t.co/kfw59KNdoo",brian_armstrong,89303,2021-09-29 04:22:25+00:00,Negative
7,"The US is absolutely the best place to build crypto innovation if we can get it right.
And American citizens (and voters!) overwhelmingly want it. https://t.co/PMNstouJGo",brian_armstrong,89339,2021-09-10 00:27:33+00:00,Negative
8,"Meanwhile China is making great progress on their CBDC. The U.S. government should rely on the private industry to produce the solutions here, while it sets the regulatory frameworks. The U.S. already has a number of private industry solutions, just needs to embrace them.",brian_armstrong,89406,2021-08-18 13:51:49+00:00,Negative
9,"2/ Senator @RonWyden has been a stalwart in advancing sound tech policy, and he deserves enormous thanks and praise from the American people for his leadership and resolve in pushing for sensible crypto provisions in the infrastructure bill.",brian_armstrong,89421,2021-08-10 20:43:51+00:00,Positive
10,"7/ Crypto is not going to solve wealth inequality - it's not trying to create the same outcome for everyone. But it does create wealth mobility and more equality of opportunity for everyone. It levels the playing field, at least to some degree.",brian_armstrong,89456,2021-07-15 19:29:50+00:00,Negative
11,"2/ If you believe government solutions are often inefficient, overpromise/underdeliver, and come with unintended consequences, and that personal responsibility mixed with free markets will create better outcomes for everyone, then crypto is a much needed breath of fresh air.",brian_armstrong,89461,2021-07-15 19:26:55+00:00,Positive
12,"1/ All depends on your perspective...if you believe the government should be the solution to people's problems, then the fiat system with its ""controls"" has a lot to offer. https://t.co/JCwhQW9nLT",brian_armstrong,89462,2021-07-15 19:25:07+00:00,Positive
13,"The latest iteration of our culture doc is now live @coinbase https://t.co/IdMwhOg4dI

Previously we had separate values and a culture doc. We've consolidated it into one, and made it more concise. Important to get hiring and promos right as we keep growing quickly!",brian_armstrong,89496,2021-06-09 23:30:57+00:00,Negative
14,"2. The main drawback for most energy consumers is wind/solar are intermittent, but Bitcoin miners don't care about this since they can run any time

Essentially, Bitcoin mining creates a floor on the price of renewables, making them more attractive investments.",brian_armstrong,89565,2021-04-23 00:40:35+00:00,Positive
15,"Square published this great paper on Bitcoin energy usage.
https://t.co/02Ka8gGpZw
In short:
1. Wind and solar are already cheaper than fossil fuels, making them attractive for Bitcoin miners",brian_armstrong,89566,2021-04-23 00:40:22+00:00,Positive
16,"I forgot to mention Oculus Quest 2, M1 chip from Apple, 5G rollout, self driving, synthetic meat, improvements in batteries/solar, longevity, etc etc.",brian_armstrong,89678,2021-01-04 12:56:40+00:00,Positive
