,Text,Username,Unnamed: 0,Datetime,polarity
0,@wintonARK Absolutely. This is just bad math.,elonmusk,113,2022-01-03 22:10:17+00:00,Negative
1,"@engineers_feed The resolution of the universe is not smaller than Planck length
https://t.co/hoyZR4d0pP",elonmusk,144,2021-12-27 11:39:33+00:00,Negative
2,@PPathole @SpaceX Absolutely,elonmusk,197,2021-12-21 16:23:26+00:00,Positive
3,Better resolution https://t.co/SMFFVBANhA,elonmusk,220,2021-12-19 19:26:29+00:00,Positive
4,@staciet8 Absolutely,elonmusk,223,2021-12-19 04:41:30+00:00,Positive
5,@PPathole Absolutely,elonmusk,338,2021-12-11 17:23:50+00:00,Positive
6,"@jackfarrington @SawyerMerritt Manufacturers have to ship cars with side mirrors by law, but owners are allowed to modify their cars.

The wiper is what troubles me most. No easy solution. Deployable wiper that stows in front trunk would be ideal, but complex.",elonmusk,349,2021-12-10 18:20:43+00:00,Negative
7,"@teslafsdbeta Replacing faulty/missing neurons with circuits is the right way to think about it. Many problems can be solved just bridging signals between existing neurons.

Progress will accelerate when we have devices in humans (hard to have nuanced conversations with monkeys) next year.",elonmusk,398,2021-12-07 04:10:33+00:00,Negative
8,"As always, Tesla is looking for hardcore AI engineers who care about solving problems that directly affect people’s lives in a major way.
https://t.co/0B5toOOHcj",elonmusk,410,2021-12-06 05:42:48+00:00,Positive
9,"The sun is absurdly, overwhelmingly the source of energy in our solar system",elonmusk,453,2021-12-01 08:04:51+00:00,Negative
10,"@YounieTyler @Rainmaker1973 No, but you could get pretty far with rings of separately orbiting objects, like our solar system’s asteroid belt",elonmusk,454,2021-12-01 08:03:19+00:00,Positive
11,"@micsolana The overarching problem is that we need better mental firewalls for the information constantly coming at us. 

Critical &amp; first principles thinking should be a required course in middle school.

Who wrote the software running in your head? Are you sure you actually want it there?",elonmusk,465,2021-11-30 20:55:34+00:00,Positive
12,@GailAlfarATX @SpaceX @RGVaerialphotos @cnunezimages @kanyewest @SciGuySpace @Erdayastronaut @dogecoin @BillyM2k @austinbarnard45 @NASA Absolutely!,elonmusk,503,2021-11-25 22:38:18+00:00,Positive
13,It gives me solace,elonmusk,556,2021-11-22 05:27:04+00:00,Negative
14,"@PPathole There were no EV incentives (nor did we expect them) &amp; gasoline was super cheap, so tough to make the case for electric cars. 

My guess was that we had &lt;10% chance of success &amp; most people thought 0%. The history car startups is just one big graveyard.",elonmusk,597,2021-11-19 10:12:18+00:00,Positive
15,"@Teslarati @13ericralph31 Limiting factor for first launch is regulatory approval. Thereafter, fundamental issue is solving engine production.

Prototypes are easy, production is hard.",elonmusk,622,2021-11-17 03:45:23+00:00,Negative
16,"@Tenjin37151 @Space_Station @SpaceX @Commercial_Crew @NASA @esa @JAXA_en @astro_kimbrough @Astro_Megan @Thom_astro @Aki_Hoshide As described in The Moon is a Harsh Mistress (great book), a linear accelerator would be great for the moon. 

Earth’s gravity is too high &amp; atmosphere too dense for accelerators to be a good solution vs reusable boosters imo.",elonmusk,682,2021-11-10 17:16:16+00:00,Positive
17,@PPathole @SpaceX Absolutely,elonmusk,748,2021-11-01 18:38:26+00:00,Positive
18,"@DrEliDavid If WFP can describe on this Twitter thread exactly how $6B will solve world hunger, I will sell Tesla stock right now and do it.",elonmusk,772,2021-10-31 13:50:55+00:00,Negative
19,"@GerberKawasaki To be clear, cars sold to Hertz have no discount. Same price as to consumers.",elonmusk,825,2021-10-26 00:30:03+00:00,Negative
20,@Teslarati @KlenderJoey I’d like to express appreciation to Tesla Autopilot engineering &amp; QA for working round the clock all weekend to resolve the problem,elonmusk,828,2021-10-25 20:11:24+00:00,Positive
21,"@SawyerMerritt Prototypes are trivial compared to scaling production &amp; supply chain. If those are solved, achieving positive gross margin is the next nightmare. 

Starting a second new vehicle line before first is working will divide resources &amp; amplify probability of failure.",elonmusk,833,2021-10-25 19:15:54+00:00,Positive
22,"@TeslaGong @mishaboar @DogecoinFdn Not recently. What matters imo is lowering fees, decreasing block time &amp; increasing block size. A single layer network with exchanges as de facto layer 2 seems like the simplest solution for a medium of exchange.",elonmusk,854,2021-10-24 17:38:14+00:00,Negative
23,@Liv_Boeree Absolutely,elonmusk,892,2021-10-21 02:20:39+00:00,Positive
24,"@WholeMarsBlog Vision became so good that radar actually reduced SNR, so radar was turned off. 

Humans drive with eyes &amp; biological neural nets, so makes sense that cameras &amp; silicon neural nets are only way to achieve generalized solution to self-driving.",elonmusk,968,2021-10-11 15:44:44+00:00,Negative
25,@SawyerMerritt @Tesla Absolutely! Tesla team rocks 💕,elonmusk,1067,2021-09-25 20:54:10+00:00,Positive
26,@28delayslater @KounisTou 10.1 should solve that last cone issue,elonmusk,1094,2021-09-21 17:01:06+00:00,Negative
27,@RenataKonkoly @rhensing @johnkrausphotos Absolutely,elonmusk,1113,2021-09-19 19:07:05+00:00,Positive
28,"@PPathole Booster has 2 pins for lifting &amp; catching, although maybe it’s better to modify grid fins to take more load. 

Something will need to flip out from leeward side of top of ship to do same there. Maybe it’s part of fwd flaps, but prob not.

Diff solutions for diff load paths.",elonmusk,1297,2021-08-30 09:36:36+00:00,Negative
29,@slashdot Solar/wind + batteries + electric cars is obviously the future,elonmusk,1392,2021-08-14 15:13:53+00:00,Positive
30,@jrosinski97 @SpaceX Absolutely,elonmusk,1468,2021-08-06 15:23:38+00:00,Positive
31,@stem_feed That’s about right. Civilization can be powered with a very small % of Earth having solar panels.,elonmusk,1512,2021-08-02 22:11:28+00:00,Positive
32,"@WholeMarsBlog There is always a lot of cleanup after a major code release. Beta 9.2 will be tight. 

Still some fundamentals to solve for Beta 10, but now that we’re pure vision, progress is much faster. Radar was holding us back.",elonmusk,1534,2021-07-31 20:13:11+00:00,Positive
33,"@doge_southern @markgurman @tim_cook Yeah, Liftoff is solid",elonmusk,1548,2021-07-31 04:16:24+00:00,Positive
34,"@WholeMarsBlog This should be clear to anyone who has experienced the FSD beta evolution. 

Self-driving requires solving a major part of real-world AI, so it’s an insanely hard problem, but Tesla is getting it done. 

AI Day will be great.",elonmusk,1568,2021-07-30 04:17:56+00:00,Positive
35,@stevenmarkryan Convincing the best AI talent to join Tesla is the sole goal,elonmusk,1587,2021-07-29 04:51:25+00:00,Positive
36,"@Gfilche Ships are probably fine with iron cells, but aircraft need very high energy density for good range. 

I’m not saying Tesla will do aircraft – we have our hands full with cars &amp; solar/battery power generation – just that max energy density is needed for aircraft.",elonmusk,1610,2021-07-26 23:11:36+00:00,Positive
37,"@Teslarati Large pouch cells undergo significant volumetric changes at high state of charge.

Even so, fire risk is probably less than gasoline cars. There are over 200,000 combustion engine car fires every year in US alone. It’s literally in the name.

https://t.co/uJPlB3IbzQ",elonmusk,1646,2021-07-24 07:29:10+00:00,Negative
38,"@ErcXspace @NASASpaceflight @SpaceX Some of these design trades are still open, but will be resolved soon",elonmusk,1714,2021-07-17 00:21:40+00:00,Positive
39,@Teslarati Improving permit approval speed &amp; lowering permit costs for solar would make a big difference,elonmusk,1716,2021-07-16 19:17:45+00:00,Positive
40,@AustinTeslaClub @SpaceX @austinbarnard45 @PPathole @TeslaOwnersEBay @bluemoondance74 @teslaownersSV @JohnnaCrider1 @TeslaNY Absolutely!,elonmusk,1720,2021-07-16 05:21:24+00:00,Positive
41,@astro_g_dogg @SpaceX Absolutely,elonmusk,1802,2021-07-09 21:50:22+00:00,Positive
42,Solar + Powerwall battery ensures that your home never loses power,elonmusk,1803,2021-07-09 21:50:01+00:00,Positive
43,"Tesla Solar Roof + Powerwall in major new housing development in Austin
https://t.co/u7NJAswFW2",elonmusk,1804,2021-07-09 20:50:33+00:00,Positive
44,"@ChrisG_NSF @DJSnM Yeah, that would be cool. Also, using ship itself as structure for new giant telescope that’s &gt;10X Hubble resolution. Was talking to Saul Perlmutter (who’s awesome) &amp; he suggested wanting to do that.",elonmusk,1842,2021-07-07 18:51:22+00:00,Positive
45,@PPathole @SpaceX Absolutely! Staggeringly insane amount of work between now and then.,elonmusk,1846,2021-07-07 16:58:32+00:00,Negative
46,"@weddleandsons @Tesla Working with Weddle and Sons Roofing has been a great collaboration for accelerating Tesla Solar Roof installation! 

This is a lot of work, as tens of millions of homes need solar roofs! If you are a roofing company, please consider adding Solar Roof to your offerings.",elonmusk,1849,2021-07-07 16:50:06+00:00,Negative
47,"@heyitsyashu Caused by switching frequency of light source. Surround video (multiple cameras, across several frames), improving fps &amp; exposure setting tweaks solves this. All in FSD build.",elonmusk,1854,2021-07-06 02:31:39+00:00,Positive
48,"@BLKMDL3 Haha, FSD 9 beta is shipping soon, I swear!

Generalized self-driving is a hard problem, as it requires solving a large part of real-world AI. Didn’t expect it to be so hard, but the difficulty is obvious in retrospect.

Nothing has more degrees of freedom than reality.",elonmusk,1878,2021-07-03 11:06:37+00:00,Negative
49,"@torybruno Your company said the exact opposite in 2014 when it got a sole-source, uncompeted $11B DoD launch contract. https://t.co/Abd5sWhZDt

In any event, expendable rockets are as relevant to the future as expendable aircraft. Rapidly reusable rockets are all that matter.",elonmusk,1903,2021-07-01 21:14:46+00:00,Positive
50,@PPathole @Tesla @SpaceX Basic MRI is easier than it sounds good tbh. High resolution MRI in short time with weak magnetic field is hard.,elonmusk,1934,2021-06-30 19:33:25+00:00,Negative
51,@jack The comments in this thread are solid gold,elonmusk,1969,2021-06-25 03:11:55+00:00,Positive
52,"@Cointelegraph This is inaccurate. Tesla only sold ~10% of holdings to confirm BTC could be liquidated easily without moving market.

When there’s confirmation of reasonable (~50%) clean energy usage by miners with positive future trend, Tesla will resume allowing Bitcoin transactions.",elonmusk,2044,2021-06-13 17:42:54+00:00,Positive
53,"@MattWallace888 My primary home is literally a ~$50k house in Boca Chica / Starbase that I rent from SpaceX. It’s kinda awesome though.

Only house I own is the events house in the Bay Area. If I sold it, the house would see less use, unless bought by a big family, which might happen some day.",elonmusk,2067,2021-06-09 20:04:54+00:00,Positive
54,"@leastImAlive @PPathole Yeah, sold my houses, except for 1 in Bay Area that’s rented out for events. 

Working on sustainable energy for Earth with Tesla &amp; protecting future of consciousness by making life multiplanetary with SpaceX. Also, AI risk mitigation with Neuralink &amp; fixing traffic with Boring.",elonmusk,2068,2021-06-09 18:11:51+00:00,Negative
55,@teslaownersSV The operating costs of a Tesla are also much lower than a gasoline cruiser!,elonmusk,2094,2021-06-06 10:46:01+00:00,Negative
56,"@wintonARK I agree that this *can* be done over time, but recent extreme energy usage growth could not possibly have been done so fast with renewables.

This question is easily resolved if the top 10 hashing orgs just post audited numbers of renewable energy vs not.",elonmusk,2207,2021-05-20 20:00:53+00:00,Positive
57,"@BTC_Archive To clarify speculation, Tesla has not sold any Bitcoin",elonmusk,2241,2021-05-17 05:56:52+00:00,Positive
58,@EvaFoxU @mayemusk Absolutely,elonmusk,2285,2021-05-10 04:29:56+00:00,Positive
