,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,elonmusk,2020-04-22,"Please consider working at Neuralink!

Short-term: solve brain/spine injuries
Long-term: human/AI symbiosis 

Latter will be species-level important 

Work at either at our Bay Area or Austin locations https://t.co/LPzDrWO8h3",Positive,0.1104348261,18828399.5228331,9116892.07440965
1,elonmusk,2020-04-22,@AOC @RobinhoodApp Absolutely,Positive,0.1104348261,18828399.5228331,9116892.07440965
2,elonmusk,2020-04-24,@TesLatino @Tesla Absolutely! They rock. 🖤,Positive,0.010221048700000068,9064190.2668448,-4421080.7847983
3,elonmusk,2020-04-25,"@IheartTesla Absolutely doable. Possibly as soon as Neuralink device version 2, highly likely by version 3.",Positive,0.012801243299999987,7311904.72226874,-1752285.54457606
4,elonmusk,2020-05-09,"@torybruno Your company said the exact opposite in 2014 when it got a sole-source, uncompeted $11B DoD launch contract. https://t.co/Abd5sWhZDt

In any event, expendable rockets are as relevant to the future as expendable aircraft. Rapidly reusable rockets are all that matter.",Positive,0.000485890799999944,2128502.76121917,-359691.81177236
5,elonmusk,2020-05-09,"@heyitsyashu Caused by switching frequency of light source. Surround video (multiple cameras, across several frames), improving fps &amp; exposure setting tweaks solves this. All in FSD build.",Positive,0.000485890799999944,2128502.76121917,-359691.81177236
6,elonmusk,2020-05-11,"@ChrisG_NSF @DJSnM Yeah, that would be cool. Also, using ship itself as structure for new giant telescope that’s &gt;10X Hubble resolution. Was talking to Saul Perlmutter (who’s awesome) &amp; he suggested wanting to do that.",Positive,-0.02098222120000004,2098480.82876321,-229099.9675610396
7,elonmusk,2020-06-08,Better resolution https://t.co/SMFFVBANhA,Positive,0.05323510570000001,1440233.8242528,723448.3548870131
8,elonmusk,2020-06-15,@staciet8 Absolutely,Positive,-0.0177338157000001,942666.189719777,69250.43860435393
9,elonmusk,2020-06-21,@PPathole Absolutely,Positive,0.0270146899,2238347.1863849,523941.8906044201
10,elonmusk,2020-06-21,"As always, Tesla is looking for hardcore AI engineers who care about solving problems that directly affect people’s lives in a major way.
https://t.co/0B5toOOHcj",Positive,0.0270146899,2238347.1863849,523941.8906044201
11,elonmusk,2020-06-26,"@YounieTyler @Rainmaker1973 No, but you could get pretty far with rings of separately orbiting objects, like our solar system’s asteroid belt",Positive,0.028613067999999964,1664662.318395,-86918.91115060006
12,elonmusk,2020-06-27,"@micsolana The overarching problem is that we need better mental firewalls for the information constantly coming at us. 

Critical &amp; first principles thinking should be a required course in middle school.

Who wrote the software running in your head? Are you sure you actually want it there?",Positive,-0.02604882630000005,1681428.02669551,16765.708300509956
13,elonmusk,2020-07-04,@GailAlfarATX @SpaceX @RGVaerialphotos @cnunezimages @kanyewest @SciGuySpace @Erdayastronaut @dogecoin @BillyM2k @austinbarnard45 @NASA Absolutely!,Positive,0.012430728999999974,1644301.45065498,499343.1538186399
14,elonmusk,2020-07-10,"@PPathole There were no EV incentives (nor did we expect them) &amp; gasoline was super cheap, so tough to make the case for electric cars. 

My guess was that we had &lt;10% chance of success &amp; most people thought 0%. The history car startups is just one big graveyard.",Positive,0.06025586890000001,1856094.87383758,-812628.6324190502
15,elonmusk,2020-07-18,"@Tenjin37151 @Space_Station @SpaceX @Commercial_Crew @NASA @esa @JAXA_en @astro_kimbrough @Astro_Megan @Thom_astro @Aki_Hoshide As described in The Moon is a Harsh Mistress (great book), a linear accelerator would be great for the moon. 

Earth’s gravity is too high &amp; atmosphere too dense for accelerators to be a good solution vs reusable boosters imo.",Positive,-0.010931952500000008,2923007.17734355,-6050767.18734517
16,elonmusk,2020-07-19,@PPathole @SpaceX Absolutely,Positive,-0.04765460160000001,2206671.01567458,-716336.1616689702
17,elonmusk,2020-07-23,@Teslarati @KlenderJoey I’d like to express appreciation to Tesla Autopilot engineering &amp; QA for working round the clock all weekend to resolve the problem,Positive,0.003688569599999969,2970423.1250175,-2324578.85934669
18,elonmusk,2020-07-24,"@SawyerMerritt Prototypes are trivial compared to scaling production &amp; supply chain. If those are solved, achieving positive gross margin is the next nightmare. 

Starting a second new vehicle line before first is working will divide resources &amp; amplify probability of failure.",Positive,-0.05449807569999998,1991763.30860784,-978659.81640966
19,elonmusk,2020-08-01,@Liv_Boeree Absolutely,Positive,-0.006149277200000025,4589882.24595131,-232164.0209819004
20,elonmusk,2020-08-15,@SawyerMerritt @Tesla Absolutely! Tesla team rocks 💕,Positive,-0.22876024279999996,13155762.3719706,-5272187.605313299
21,elonmusk,2020-08-19,@RenataKonkoly @rhensing @johnkrausphotos Absolutely,Positive,-0.4296553520999997,14838388.9157821,-15511756.027768
22,elonmusk,2020-08-19,@slashdot Solar/wind + batteries + electric cars is obviously the future,Positive,-0.4296553520999997,14838388.9157821,-15511756.027768
23,elonmusk,2020-08-30,@jrosinski97 @SpaceX Absolutely,Positive,0.46581161579999986,22220238.7965161,7634274.369818801
24,elonmusk,2020-10-01,@stem_feed That’s about right. Civilization can be powered with a very small % of Earth having solar panels.,Positive,-0.03713414000000004,10825966.25721191,3058264.1479193904
25,elonmusk,2020-10-05,"@WholeMarsBlog There is always a lot of cleanup after a major code release. Beta 9.2 will be tight. 

Still some fundamentals to solve for Beta 10, but now that we’re pure vision, progress is much faster. Radar was holding us back.",Positive,0.1385091100000002,8105684.0286038,1029954.5509685399
26,elonmusk,2020-10-08,"@doge_southern @markgurman @tim_cook Yeah, Liftoff is solid",Positive,0.06523864999999995,14931921.70481354,3172169.6598543096
27,elonmusk,2020-10-09,"@WholeMarsBlog This should be clear to anyone who has experienced the FSD beta evolution. 

Self-driving requires solving a major part of real-world AI, so it’s an insanely hard problem, but Tesla is getting it done. 

AI Day will be great.",Positive,0.17211653000000027,12002959.23561284,-2928962.4692007005
28,elonmusk,2020-10-10,@stevenmarkryan Convincing the best AI talent to join Tesla is the sole goal,Positive,-0.13084324999999986,8842883.98002147,-3160075.25559137
29,elonmusk,2020-10-12,"@Gfilche Ships are probably fine with iron cells, but aircraft need very high energy density for good range. 

I’m not saying Tesla will do aircraft – we have our hands full with cars &amp; solar/battery power generation – just that max energy density is needed for aircraft.",Positive,0.1609579499999998,12289968.79120837,5119322.12732423
30,elonmusk,2020-11-06,"@ErcXspace @NASASpaceflight @SpaceX Some of these design trades are still open, but will be resolved soon",Positive,0.50852195,22547497.1265051,13623365.602487769
