,Text,Username,Unnamed: 0,Datetime,polarity
0,"Lockdowns are the problem, not the solution.",rogerkver,30238,2020-11-29 20:13:41+00:00,Positive
1,"The solution to @Uber and @lyft’s problems in #California can be solved with #Bitcoin Cash.
@dkhos @WSJ @sfchronicle @latimes https://t.co/S25QqLIogr",rogerkver,30307,2020-08-30 14:53:42+00:00,Positive
2,More government isn’t the solution to problems caused by government.,rogerkver,30314,2020-08-22 19:14:47+00:00,Negative
3,"Congratulations to #Ethereum on becoming the #1 second layer scaling solution for #Bitcoin!!!!!
RIP #LightningNetwork 
https://t.co/Nxwj7CPk6O",rogerkver,30386,2020-05-17 14:45:40+00:00,Positive
4,"Sad Fact:
Due to full blocks there have been more than 28,000 #Bitcoin transactions where the sender paid more than $1,000 in fees. 
#BitcoinCash solved this problem.
https://t.co/eeO9GHfmXQ",rogerkver,30413,2020-04-17 17:42:22+00:00,Positive
5,"If YOU are worried about the coronavirus, YOU should self isolate. 
Leave the rest of us alone. https://t.co/9DUzsdtnCy",rogerkver,30428,2020-03-29 14:01:53+00:00,Negative
6,"The CIA secretly bought a company that sold encryption devices across the world. Then its spies sat back and listened. Don't think that they aren't busy trying to disrupt peer to peer electronic cash too.
https://t.co/JfOHneCv2o",rogerkver,30470,2020-02-12 19:05:34+00:00,Positive
7,“Avoid politics and look for entrepreneurial solutions” - @SallyMayweather,rogerkver,30483,2020-01-22 00:35:56+00:00,Positive
8,"Another Bitcoin Cash merchant solution being designed by the @PayEletro team.
https://t.co/1hfr8Odid2 https://t.co/QzdA0o6eZu",rogerkver,30498,2020-01-05 14:33:20+00:00,Positive
9,"Originally Bitcoin’s entire goal was to build a network that would make fiat obsolete. 

Today most Bitcoin supporters only care about how much fiat its worth while Bitcoin Cash supporters are building that network.",rogerkver,30501,2020-01-01 17:06:57+00:00,Positive
10,"The crypto community should listen to real business people like @mcuban. 
Cryptocurrency needs to be so simple that everyone can easily use it to solve real problems. https://t.co/eGHdLfnVOn",rogerkver,30504,2019-12-29 16:54:26+00:00,Negative
11,"We built a solution for EVERYONE.  
#BitcoinCash + https://t.co/niE52Wpi0x https://t.co/ySFUm7aKJ0",rogerkver,30540,2019-11-14 17:04:29+00:00,Positive
12,"2012: Venezuelans are disarmed for their own “protection”.

2016: Venezuelans learn how to eat cats, dogs, and zoo animals to keep from starving.

2019: Venezuelans are fired upon by their own soldiers to prevent them from receiving humanitarian aid.

#GunControl",rogerkver,30743,2019-03-25 21:23:50+00:00,Negative
13,Altcoins became BTC’s layer two scaling solution.,rogerkver,30754,2019-03-13 15:32:15+00:00,Negative
14,"“For the first time in history, more people die today from eating too much than from eating too little; more people die from old age than from infectious diseases; and more people commit suicide than are killed by soldiers, terrorists and criminals combined.”",rogerkver,30816,2019-01-02 13:49:35+00:00,Negative
15,"BTC supporters have absolutely no idea what they believe.
https://t.co/mV639KLKcZ https://t.co/YpmFdzIAr0",rogerkver,30892,2018-09-26 15:47:19+00:00,Negative
16,"Countries experiencing hyperinflation:

#Zimbabwe
#Turkey
#Iran
#Venezuela

#BitcoinCash solves this problem and helps millions of people.
https://t.co/6EeRmpwLyF https://t.co/dbn80CQH16",rogerkver,30930,2018-08-11 14:29:36+00:00,Negative
17,". @jack, The lightning network was created as a solution to a scaling problem that did not exist.
⚡️

Bitcoin Cash now carries the torch as peer-to-peer digital cash for the world. #BitcoinCash  #Bitcoin #cryptocurrency 
https://t.co/yVqeWsHBqe https://t.co/vh0lImVBLg",rogerkver,30964,2018-06-26 21:57:18+00:00,Positive
18,"The Segwit ""scaling solution"" was too little, and too late to save BTC. 
The world is moving on to BCH. https://t.co/5WPK9VBXMT",rogerkver,30983,2018-05-31 14:52:23+00:00,Negative
19,"The end of the Bitcoin block reward in 2140 isn't our problem to solve any more than someone in 1900 trying to solve today's iPhone issues with the technology of his time.
https://t.co/nMf50PKWEl",rogerkver,30984,2018-05-29 15:50:22+00:00,Negative
20,"Help us crowd fund a peaceful, responsible dissolution of the entire federal government via @adamkokesh

https://t.co/3yB7PDTZvE",rogerkver,30997,2018-05-11 15:42:40+00:00,Positive
21,The #LightningNetwork is just a Rube Goldberg device to solve a problem that never actually existed in the first place. https://t.co/a8t1PpEjC7,rogerkver,31044,2018-03-15 22:20:11+00:00,Positive
22,"""The Bitcoin Core (BTC) network is in trouble due to high fees and slow transaction times. Bitcoin Cash (BCH) is the upgrade that solves these problems."" - https://t.co/6EeRmpfaH7 front page",rogerkver,31072,2018-02-08 20:11:30+00:00,Negative
23,Scaling Bitcoin on chain is an ultimate long term solution thanks to Moore’s Law. https://t.co/IXAAuADftC,rogerkver,31085,2018-01-22 17:16:29+00:00,Positive
24,Bitcoin was working great until Blockstream used censorship and lies to hijack the network in order to intentionally break BTC’s functionality. They are now trying to sell us a solution to the problem they intentionally created in the first place! https://t.co/gY6Rdp7DWM,rogerkver,31090,2018-01-17 17:30:35+00:00,Negative
25,Vitalik is both a genius and a class act.  That’s why I sold a portion of my BTC for Ethereum in addition to lots of Bitcoin Cash. https://t.co/9iPk9kpvwE,rogerkver,31153,2017-11-12 16:13:03+00:00,Negative
26,If you believed #Segwit was a short term scaling solution you were fooled and hurt by the pro Blockstream censorship and propaganda. https://t.co/Ti3M2Y8gv0,rogerkver,31200,2017-09-08 16:58:31+00:00,Negative
27,"""If technological change makes a law hard to enforce, the best solution is sometimes to stop enforcing it."" - David D. Friedman",rogerkver,31259,2017-06-11 15:16:35+00:00,Negative
28,"Even if the Bitcoin block size issue was solved today, companies that have already switched to alts aren't likely to switch back. https://t.co/b4bRUDpOx4",rogerkver,31261,2017-06-09 13:26:57+00:00,Negative
29,The bitcoin network worked great for 8 years without Segwit. Segwit doesn't solve any of the problems bitcoin users are experiencing today.,rogerkver,31281,2017-05-17 15:45:46+00:00,Negative
30,Many Core devs say they like high fees and tx backlogs. They have no intention of solving this problem. They're breaking BTC's economic code https://t.co/A8Fon0zG80,rogerkver,31282,2017-05-17 15:41:03+00:00,Positive
31,"""Blockstream is intentionally crippling how bitcoin has always worked, in order to force users onto THEIR solutions"" https://t.co/UurdZSitOj",rogerkver,31286,2017-05-13 14:32:00+00:00,Negative
32,"Bitcoin transactions require no intermediaries or counterparty risk. Layer two ""solutions"" have both.",rogerkver,31293,2017-05-04 15:04:11+00:00,Positive
33,"If you think BU doesn't support layer two scaling solutions, you have been misled by the Core supporting propaganda, censorship, and lies. https://t.co/ltxtUT8HtJ",rogerkver,31295,2017-05-02 13:33:18+00:00,Negative
34,"""don't be fooled by aggressive marketing techniques which will want to make you believe SegWit is the only solution"" https://t.co/S9QKcBDZiS",rogerkver,31343,2017-03-10 23:04:34+00:00,Negative
35,Government prosecutions of #SilkRoad users have destroyed far more lives than all of the drugs ever sold there. https://t.co/u5BgSPnzBk,rogerkver,31477,2016-09-14 01:13:01+00:00,Negative
36,"Sticking to one position, right or wrong, isn't commendable solely for having stuck to it.",rogerkver,31484,2016-09-06 16:12:13+00:00,Negative
37,"War could not happen at all without soldiers putting their devotion and loyalty to their own gang,tribe or country above doing what is right",rogerkver,31506,2016-08-14 15:31:00+00:00,Negative
38,"Whether a family in Iraq is killed by soldiers of Saddam Hussein or by soldiers of Obama makes no difference, morally or in practical terms.",rogerkver,31513,2016-08-08 18:47:03+00:00,Negative
39,Thinking blocks should always be full is analogous to thinking Starbucks should always be sold out of coffee. https://t.co/yrvl2jN4xO,rogerkver,31551,2016-06-27 13:12:04+00:00,Negative
40,"Politics are the problem, not the solution. It's time the Tech industry builds permission-less, autonomous systems. https://t.co/2zk1Yoix6M",rogerkver,31635,2016-04-11 20:14:36+00:00,Positive
41,The eventual scaling solution will be to not care how big the block chain gets.  https://t.co/bhSrd8dFnm https://t.co/2N1x9k0ehk,rogerkver,31667,2016-03-08 17:06:34+00:00,Positive
42,"Distributed, or not, prediction markets can solve the block size debate, and so many other problems! https://t.co/rF1ZGJQuAH @bendavenport",rogerkver,31716,2016-01-19 02:12:50+00:00,Positive
43,Distributed currencies will bring distributed governance systems.  The end of geographically isolated nation states will follow.,rogerkver,31738,2016-01-02 17:17:26+00:00,Negative
44,Bitcoin is not a problem. It’s the solution!,rogerkver,31812,2015-11-17 18:11:05+00:00,Positive
45,"If any soldier actually took seriously the idea that he should disobey an immoral order, the first thing he would do is quit the military.",rogerkver,31829,2015-11-12 01:58:28+00:00,Positive
46,The true job of the soldier is to kill whoever his masters in government tell him to. #VeteransDay,rogerkver,31830,2015-11-12 01:50:48+00:00,Positive
47,Proof of more censorship going on at /r/Bitcoin even today:  https://t.co/2jqodvsd8W Open discourse is required to solve problems!,rogerkver,31949,2015-09-24 17:22:39+00:00,Positive
48,"""We will all be better off when peaceful solutions displace violent ones"" - @adamkokesh",rogerkver,32009,2015-08-12 17:50:00+00:00,Positive
49,Being called a soldier does not separate you from responsibility for your actions. War is mass murder. #Hiroshima http://t.co/OpUw281kdp,rogerkver,32011,2015-08-10 03:43:34+00:00,Negative
50,All I can think of that would cause @OKCoinBTC &amp; @starokcoin to be so reckless is that they are actually insolvent. Time for a public audit.,rogerkver,32117,2015-05-23 15:25:18+00:00,Negative
51,"By delaying life-saving drugs from the market, the @US_FDA causes more deaths each year than all the drugs ever sold on the Silk Road.",rogerkver,32126,2015-05-21 15:45:27+00:00,Positive
52,"""If your philosophy is that the state should be the sole arbiter in disputes, there is no need for Blockchain contracts"" @jeffreyatucker",rogerkver,32154,2015-04-29 10:16:19+00:00,Negative
53,"Software solutions are bringing bitcoin to existing ATM machines around the world!
http://t.co/kIfEFqFkrG http://t.co/AGtaldDfXd @coinplug",rogerkver,32222,2015-03-07 05:23:58+00:00,Positive
54,"The question should be ""Do we care Ross sold drugs?” instead of ""Did Ross sell drugs?” 
https://t.co/oxaPocgsz0 via @PolyParadyme #SilkRoad",rogerkver,32255,2015-02-04 22:39:38+00:00,Negative
