,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,saylor,2020-10-27,"#Cybersecurity continues to be on everyone's mind.  Check http://t.co/9fto1l0McK, the best solution http://t.co/CY6jOAkPVD",Positive,0.024766150000000042,14384427.42623876,987691.472743731
1,saylor,2020-11-01,"Banks &amp; Retailers know they have a problem with credit cards. The solution is a smartphone, not a smart card http://t.co/zSK3cEEt3q",Positive,0.059140710000000096,6877556.68110791,428168.2904402204
2,saylor,2020-11-04,It's time for the industry to make it impossible to steal #mobile devices.  Solution is obvious &amp; necessary. http://t.co/53zqvnpvDE,Positive,-0.01997902000000007,11406316.03373677,4869338.755667079
3,saylor,2020-11-09,Isolation from the West deprives Ukrainians of their best path to prosperity.  When will Russians agree? http://t.co/SjC5kTUvvD,Positive,-0.12794596999999985,18210625.97270338,-7720417.068679012
4,saylor,2020-11-25,"The consequences of being off the international grid, from above.  Hopefully isolationists will take note. http://t.co/Le9N1K7dWc",Positive,0.000548929999999892,24870950.92877138,-165675.20436399803
5,saylor,2020-11-27,"“@HistoryInPics: Ticket to the British Museum, 1790. http://t.co/XxJ8jHj192”. Enjoy them while they last. Tickets will be obsolete soon.",Positive,-0.04538587000000005,13307808.36500391,-19730414.52846791
6,saylor,2020-11-27,Usher™ Achieves FIDO Alliance Certification for its Innovative Enterprise Mobile Security Solution (NASDAQ:MSTR) http://t.co/N3oUkxZpRW,Positive,-0.04538587000000005,13307808.36500391,-19730414.52846791
7,saylor,2020-11-30,"It's really sad to see Afghans attempting to deliver democracy via uniforms, long lines, 250k volunteers, guns, &amp; obsolete polling methods.",Positive,0.05174914000000008,8716571.16727617,2577059.82207819
8,saylor,2020-12-11,"If Apple so chooses, they can enter consumer banking, obsolete most products, &amp; win the market before anyone reacts. http://t.co/oyxyzVMcoJ",Positive,-0.12778134000000008,8273918.34951755,2105935.1805792004
9,saylor,2020-12-16,"Target CEO change illustrates that #cybersecurity is a CEO level issue.  Unfortunately, most need a better solution.  http://t.co/CYIMgHKY2s",Positive,0.023505679999999973,18277631.04446976,-1192448.4867283814
10,saylor,2020-12-22,"Despite recent pessimism, Twitter seems to be consolidating its position as the principal transnational news network. http://t.co/FtIylmp98U",Positive,-0.04932329999999996,11066564.74357854,2732573.3020756505
11,saylor,2020-12-31,"Presumably, every communications satellite launched is obsolete and can be replaced by something 100x better - thus Google's initiative...",Positive,-0.024708309999999845,12763259.56854011,99643.83044727892
12,saylor,2021-01-08,"All forms of traditional identity are now obsolete, and security is going to be at the top of every agenda in 2015. http://t.co/Y4ihac4TUS",Positive,0.8511478799999996,206412154.2447589,46541876.165691316
13,saylor,2021-03-10,Google shows how pathetic those security questions really are...Traditional call centers protocols are obsolete. http://t.co/NBdM9LJ5VT,Positive,-0.6198452999999997,103150900.84,-31716142.840000004
14,saylor,2021-03-16,"Static identifiers like SSN, DOB, Birthplace, Mothers Maiden Name, &amp; Your Name are all obsolete. @UsherIdentity  http://t.co/l2VbBLnoym",Positive,-0.5411386799999995,112303590.08,9702898.530000001
15,saylor,2021-03-23,"When I first considered #Bitcoin it took 4-8 weeks to set up an account to acquire $BTC &amp; 40 hours to understand it. #Gold was available via $IAU &amp; $GLD with a 30 second phone call. I found the difficulty of the best solution to be a compelling advantage.
https://t.co/LNLSjfZXXi",Positive,-0.6437886099999997,106780661.98,-154214474.26999998
16,saylor,2021-04-12,"""If we set your salary right now as #bitcoin, are you willing to ride out whatever happens to it?"" -@andrewrsorkin

""Absolutely, as a matter of fact, I may demand it."" -@jimcramer https://t.co/CKJUGdnB0T",Positive,0.5937568300000002,308804545.9,75865783.71999997
17,saylor,2021-04-12,"The first challenge is to properly diagnose the problem - monetary inflation exceeds actual goods &amp; services inflation which precedes &amp; exceeds official CPI inflation. The second challenge is to choose the right solution. #Bitcoin, not Gold nor Equity.
https://t.co/pIzoNxAl9N",Positive,0.5937568300000002,308804545.9,75865783.71999997
18,saylor,2021-05-09,"Every company on Earth is sitting on a balance sheet that is normally cash and credit. Cash and credit are crumbling. I discuss how #Bitcoin solves this problem in my interview with @Alex_fights of @BitcoinMagazine.
https://t.co/DqDS7tMkaZ",Positive,-1.2874355300000033,510603311.56,59546657.0
19,saylor,2021-05-17,"The problem in Argentina, while extreme, is not unique. Today, more than ever, every country needs sound money. #Bitcoin is the solution and represents hope to everyone living in a nation financing spending with the printing press. https://t.co/G61swifZIB",Positive,-0.0348168999999956,1951921365.76,-39055405.73000002
20,saylor,2021-05-25,"@steve_hanke The problem in Argentina, while extreme, is not unique. Today, more than ever, every country needs sound money. #Bitcoin is the solution and represents hope to everyone living in a nation financing spending sprees with the printing press.",Positive,-1.3992697300000003,909470304.61,-437315718.15999997
21,saylor,2021-05-26,"In September, @RiotBlockchain mined 406 BTC, sold none of its production, and ended the month with 3,534 BTC on its balance sheet. Publicly traded #Bitcoin miners aren't selling bitcoin, they are accumulating bitcoin. The game has changed. $RIOT
https://t.co/Kk4hepCA6U",Positive,5.491824749999999,1069991364.89,160521060.27999997
22,saylor,2021-05-27,@jack Inflation is the problem. #Bitcoin is the solution.,Positive,-1.897856240000003,649389057.89,-420602307.0
23,saylor,2021-06-05,"@elonmusk @CathieDWood Inflation is a vector, and it is clearly evident in an array of products, services, &amp; assets not currently measured by CPI or PCE. #Bitcoin is the most practical solution for a consumer, investor, or corporation seeking inflation protection over the long term.",Positive,2.1680218500000024,1112426663.75,56147157.52999997
24,saylor,2021-06-06,Mechanical. Kinetic. Wind. Chemical. Hydro. Thermal. Solar. Nuclear. Electrical. Digital. #Bitcoin,Positive,2.5592533200000034,794387364.26,-318039299.49
25,saylor,2021-06-11,"@JasonPLowery @dude_sol When I was at MIT, we used to design spaceships, avionics, &amp; aircraft using mechanical pencils, calculators, &amp; notebooks. Keep sketching...🚀",Positive,-5.064068079999998,518666602.77,-76580086.72000003
26,saylor,2021-06-11,"Yesterday with @cvpayne we discussed demand for @MicroStrategy’s Intelligence Everywhere, Delivering Cybersecurity to Social Media &amp; the Metaverse with #Bitcoin &amp; #Lightning, the Digital Transformation of National Defense, &amp; why #Bitcoin is different from other #Crypto assets. https://t.co/1kPIyOqwl6",Positive,-5.064068079999998,518666602.77,-76580086.72000003
27,saylor,2021-06-13,#Inflation is the problem. #Bitcoin is the solution. https://t.co/8krEzg6YuP,Positive,2.255727710000002,452988674.4,-96081742.72000003
28,saylor,2021-06-24,@PeterSchiff @BTC_Archive Investors need something better than a 5% solution.,Positive,0.3349563499999988,641150364.16,-470152322.47000015
29,saylor,2021-06-29,@BW The solution to inflation is #Bitcoin.,Positive,0.8570155199999974,471854279.1,-1757855.5099999905
30,saylor,2021-06-30,"@elerianm The problem is clear to see, and getting worse. It is also not isolated to Turkey (see Argentina et al.). The best solution available to corporations, families, &amp; individuals in economies with collapsing currencies is #Bitcoin.",Positive,1.5934336400000007,570984167.9,99129888.79999995
31,saylor,2021-07-01,#Inflation is the problem and #Bitcoin is the solution. https://t.co/hQYCtNAg6G,Positive,-2.1016198199999963,474665320.76,-96318847.13999999
32,saylor,2021-07-07,"@APompliano Founder's equity is a security and would need to be sold to the public pursuant to relevant securities laws with disclosures. Pre-mined tokens held by a founding team engaged in pursuit of profit would likely cause regulators to view all the tokens as securities, not property.",Positive,2.358562599999999,519252659.09,153916619.01999998
33,saylor,2021-07-08,"If I had chosen #Gold instead of #Bitcoin last year, it would have been a multi-billion dollar mistake. It doesn't help to diagnose the problem if you don't choose the right solution. https://t.co/UrYksm7X6w",Positive,-3.5159940000000063,498201256.92,-21051402.169999957
34,saylor,2021-08-03,"The high resolution version of this file is available for download on my personal website. The art is courtesy of the legendary @FractalEncrypt.
https://t.co/CefdasVgtN",Positive,0.8050141199999956,474629269.4,67229578.01999998
35,saylor,2021-08-05,We don’t have to agree on the problem as long as we agree on the solution.  #Bitcoin,Positive,1.583160030000002,595137193.11,181479591.28000003
36,saylor,2021-09-05,"The solution to @Facebook's problem is #Bitcoin.
https://t.co/1I2HKkTebu",Positive,3.0807348999999817,2996918104.87,-973504859.21
37,saylor,2021-09-14,"This weekend, some #Bitcoin miners came together to talk about the energy challenges we face, both real &amp; imagined, and work on solutions together for the good of the entire industry.  Details below: https://t.co/fo9fs9ghuy",Positive,-11.679707674500008,5799758794.22,-637771655.1399994
38,saylor,2021-09-20,"@WilliamTurton #Bitcoin solves the problem of monetary integrity &amp; economic cooperation without relying on the apparatus of government or violence.  Cars, cash, computers, guns, &amp; knives all facilitate crime - ban them too?",Positive,-20.660014004299995,5623667249.62,2273136941.94
39,saylor,2021-09-30,"@NorthmanTrader Inflation is the problem, #Bitcoin is the solution.",Positive,5.65614904169999,2244376110.09,-183728929.5499997
40,saylor,2021-09-30,"In the game of life, you need to solve the puzzle in the foreground to claim the prize on the horizon.  #Bitcoin https://t.co/kCBHY065OR",Positive,5.65614904169999,2244376110.09,-183728929.5499997
41,saylor,2021-10-05,Jack Dorsey and Michael Saylor headlined the sold-out #Bitcoin 2021 Miami conference. Here are their 12 best quotes from the event. https://t.co/U1dUp84SRJ,Positive,-2.8791341482000234,2541087419.2,-567952681.2200003
42,saylor,2021-10-23,"For centuries, every political policy and banking initiative championed by North America and Western Europe to aid Latin American economies has been a failure.  The solution requires monetary technology, not conventional political/economic thinking &amp; good intentions.  #Bitcoin https://t.co/VOzEiHufDt",Positive,1.403381753699989,3253670285.69,-4233151019.8300004
43,saylor,2021-10-26,"The 21st century global monetary solution is a digital currency (USD) serving as a medium of exchange backed by a digital asset (BTC) serving as a store of value, with #Bitcoin as the final settlement network and #Lightning as the transaction network.  El Salvador is the model. https://t.co/xBjABPnZBJ",Positive,-9.72438703169999,3194205751.56,-1643170417.5899997
44,saylor,2021-11-02,"My conversation with @TomBilyeu on @Microstrategy, technology risk, engineering innovation, first principles, the chambered nautilus, volatility at sea, economic myths, currency calculus, monetary singularity, property rights, and the #Bitcoin solution.
https://t.co/1dzZgwnKQD",Positive,16.721665932500002,3020087232.15,-137525431.23000002
45,saylor,2021-11-12,"If you paid off your mortgage last year, you sold #bitcoin appreciating 260% to hold dollars depreciating 28% to make a loan to your bank yielding 3%.",Positive,-5.219177656200003,3022054714.32,328597852.34000015
46,saylor,2021-11-13,"If your CFO is struggling with the dilemma of whether to surrender your capital, assume debt to leverage up cash flows, or engage in risky, dilutive acquisitions in order to grow, #Bitcoin offers a compelling solution to strengthen your balance sheet.
https://t.co/KKmIJCobxR",Positive,13.228775144899998,2322796264.93,-699258449.3900003
47,saylor,2021-11-13,"@Frank_Giustra @DanielaCambone Gold might hold value, as long as you don't hold it too long.⏱️ I remain hopeful that gold investors in search of a long term Store of Value &amp; Sound Money learn about #Bitcoin, since it's the technical solution they have always been looking for, https://t.co/VdMYCiVrIV Giustra.",Positive,13.228775144899998,2322796264.93,-699258449.3900003
48,saylor,2021-11-15,"#Bitcoin is digital property, technically superior to all other forms of property. It is demonetizing gold, real estate, bonds, equity, cash, derivatives, &amp; commodities and the solution to the 21st century challenge of economic security &amp; empowerment.
https://t.co/U6v4ET8iMo",Positive,-1.1778031897000005,2414551003.2,709339403.4399998
49,saylor,2021-11-18,"Sovereign debt has a negative real yield and no longer serves as a Store of Value. Capital is being forced out of this asset class into riskier investments, creating a monetary premium on real estate, stocks, corporate bonds, etc. The solution is to replace bonds with #bitcoin. https://t.co/4TY4b3VRgx",Positive,-23.38817254290001,3911214657.72,928709418.9199996
50,saylor,2021-11-23,“We cannot solve our problems with the same thinking we used when we created them.” - Albert Einstein on #Bitcoin,Positive,5.993944450099974,2328763768.31,-925495076.1799998
51,saylor,2021-12-11,Going private is not a solution to the lack of vision at Blackberry.  Wall Street is skeptical &amp; so am I.  http://t.co/lixQbeDevD,Positive,4.032870144699984,1877844188.77,-240422207.1600001
52,saylor,2022-01-12,Apple's iPhone 5S stands a good chance of being the most successful single product sold in history. Hmmm... http://t.co/vpAAQGbk4P,Positive,11.499350194100003,2242337549.56,688140235.5799999
53,saylor,2020-11-22,"@RayDalio  – If #Bitcoin is the solution to the great monetary inflation we all face, you have $ billions to gain.  If it’s not, I have $1 billion in $BTC to lose.   Given the stakes, could you invest an hour &amp; watch my interview below?   We will find the truth together. https://t.co/t0l2FRB4tC",Negative,-0.23736053999999962,16416064.59893532,-20288343.21897211
54,saylor,2020-12-02,"For those cyber hornets that are perfectionists, in response to popular demand, here are the original high resolution .png &amp; .ai files.   

https://t.co/oYhFbV8TZa",Negative,0.13813530000000007,15849828.20530223,-12847022.37823892
55,saylor,2020-12-18,"Big Tech will need to integrate their products with #Bitcoin to stay competitive.  All companies will need to convert their treasuries to #BTC to stay solvent.

https://t.co/AFbGlNREuD",Negative,0.019776210000000072,7879396.90612472,-15461476.78402026
56,saylor,2021-02-23,"In 2020, more than three million customers purchased or sold bitcoin on $SQ Cash App, and, in January 2021, more than one million customers purchased #bitcoin for the first time. Cash App generated $1.76 billion of bitcoin revenue during Q4 of 2020, up approximately 10x YoY.",Negative,0.7799125500000006,485252846.29,-574136240.77
