,Text,Username,Unnamed: 0,Datetime,polarity
0,"Excited to help @NYCMayor receive his first paycheck in #BTC &amp; #ETH. You can get your paycheck in crypto too, try it out 👇 https://t.co/PxPFbHlC2I",brian_armstrong,89161,2022-01-21 01:46:35+00:00,Neutral
1,"2. I agree with the overall point that clients don't behave like full nodes. However, there has been quite a bit of discussion about ""light clients"" in the crypto community even going back to the early days of Bitcoin/Ethereum, so i wouldn't say it hasn't been an area of focus.",brian_armstrong,89179,2022-01-08 02:09:50+00:00,Neutral
2,"@BarrySilbert @SBF_FTX @jespow @cz_binance @OneMorePeter @_pgauthier It's a valid point - will see if we can come up with something that doesn't confuse new users. As Bitcoin keeps growing, it's going to make sense at some point (maybe that point is already here). Buying $100 of Bitcoin is such a tiny fraction already.",brian_armstrong,89239,2021-10-25 16:31:09+00:00,Neutral
3,"...yet I haven't seen a startup fully make use of this new approach yet. I wonder what areas of the stack at Coinbase we could be rebuilding in this way.

Probably taking a narrower scope to start would be smart, before we throw ""make it easier to buy Bitcoin"" into a neural net.",brian_armstrong,89252,2021-10-14 19:19:56+00:00,Neutral
4,"Yes, I read it.

And then I wrote it (coding up our own Bitcoin node) to make sure I understood it. https://t.co/yg46xyvkMq",brian_armstrong,89269,2021-10-11 20:44:36+00:00,Positive
5,"Bitcoin has become legal tender in El Salvador.

Now that one country has tipped, who will go next?",brian_armstrong,89322,2021-09-17 00:15:00+00:00,Neutral
6,"@jack Given the amount of Bitcoin is finite, and population/economy will keep growing, seems unlikely.",brian_armstrong,89331,2021-09-15 17:42:56+00:00,Negative
7,"@jack Bitcoin is deflationary, which is also very important. But that's not the same as having flat pricing - which is useful for long term contracts, trading pairs etc.

Do you think Bitcoin will eventually stabilize in terms of purchasing power?",brian_armstrong,89332,2021-09-15 17:42:36+00:00,Neutral
8,"6/ This is part of why Bitcoin has made so many people wealthy. It was not a security, so regular people could invest early on.",brian_armstrong,89457,2021-07-15 19:28:45+00:00,Neutral
9,"2. The main drawback for most energy consumers is wind/solar are intermittent, but Bitcoin miners don't care about this since they can run any time

Essentially, Bitcoin mining creates a floor on the price of renewables, making them more attractive investments.",brian_armstrong,89565,2021-04-23 00:40:35+00:00,Neutral
10,"Square published this great paper on Bitcoin energy usage.
https://t.co/02Ka8gGpZw
In short:
1. Wind and solar are already cheaper than fossil fuels, making them attractive for Bitcoin miners",brian_armstrong,89566,2021-04-23 00:40:22+00:00,Positive
11,"12/ The hours were long and the work was hard (employees eating and sleeping in the office was not uncommon), but we made it work because we were all bound by a common mission. Many opted to take part of their salary in Bitcoin, including myself.",brian_armstrong,89592,2021-04-14 20:38:35+00:00,Neutral
12,"5/ After reading it, I started coding an early prototype of Coinbase on nights and weekends, and began attending early bitcoin meetups around the Bay Area. Eventually I was accepted at @YCombinator and got the courage to quit my job @Airbnb to go pursue this crazy idea.",brian_armstrong,89599,2021-04-14 20:21:26+00:00,Neutral
13,"1/ Today is a big moment for @coinbase as we become a public company. But it’s also a big one for crypto. This all started with the Bitcoin whitepaper 12 years ago, a deceptively simple 9 page document by Satoshi Nakamoto that ignited a global movement. https://t.co/4pE006XTFP",brian_armstrong,89603,2021-04-14 20:18:55+00:00,Neutral
14,"Organizations (whether companies, non-profits, governments, individuals, etc) hosting the #Bitcoin whitepaper are waving a flag saying: we are technological progressives, committed to building the future through science and technology, working for team human.",brian_armstrong,89660,2021-01-29 18:49:23+00:00,Neutral
15,"We are now hosting the #Bitcoin whitepaper at https://t.co/ia5WJ1B3CK

This brilliant computer science breakthrough sparked an entire industry that is bringing economic freedom to the world. Read it - even if it you have to read it 30 times to fully understand it like I did.",brian_armstrong,89661,2021-01-29 18:46:20+00:00,Neutral
16,Well deserved! Thank you for introducing so many people to Bitcoin https://t.co/j5iAtbrEnn,brian_armstrong,89682,2021-01-01 12:22:52+00:00,Positive
