,Text,Username,Unnamed: 0,Datetime,polarity
0,"#Bitcoin is progressively gaining the support of serious macroeconomic analysts &amp; market strategists like @NorthmanTrader as they come to realize the utility of a global, non-sovereign store of value asset to an investment portfolio facing inflation risk.
https://t.co/DDAn8XWfbM",saylor,118603,2022-01-22 15:51:35+00:00,Neutral
1,“Character is formed in the stormy billows of the world.” - Goethe on #Bitcoin,saylor,118604,2022-01-22 14:23:08+00:00,Neutral
2,"@elonmusk @Twitter I discuss this topic in detail in the Spaces session below. #Bitcoin can be used to create cybersecurity deposits attached to real accounts on the major social media platforms, giving everyone the ability to get verified in minutes for a few dollars.
https://t.co/CdGWSYhMIm",saylor,118605,2022-01-21 15:26:52+00:00,Neutral
3,#Bitcoin is Digital #Energy. https://t.co/0a28Q4mf2x,saylor,118607,2022-01-21 15:03:47+00:00,Neutral
4,"The largest #Bitcoin miner in North America is now public &amp; trading as $CORZ on @Nasdaq. Congratulations to @DarinFeinstein and the team at @Core_Scientific.
https://t.co/FWMmx64F2y",saylor,118608,2022-01-21 02:20:21+00:00,Neutral
5,"If you are going to invest in #bitcoin, a short time horizon is four years, a mid time horizon is ten years, &amp; the right time horizon is #forever. https://t.co/rRMz0yCkpN",saylor,118609,2022-01-20 16:52:39+00:00,Neutral
6,"Join me and Keynote Presenter @jack at the 2nd Annual Bitcoin for Corporations Feb 1 &amp; 2. This free, virtual conference is a must for any corporation considering integrating #Bitcoin with their products &amp; services, or adding #BTC to their balance sheet.
https://t.co/V9fIkv633q",saylor,118610,2022-01-20 15:17:06+00:00,Neutral
7,“You must learn to forgive a man when he’s in love. He’s always a nuisance.” - Rudyard Kipling on #Bitcoin,saylor,118611,2022-01-19 14:29:46+00:00,Positive
8,"Q4 #Bitcoin Mining Council Survey Confirms Improvements in Sustainable Power Mix and Technological Efficiency. Estimated sustainable energy mix was 58.5%. Join us at 5pm ET today for a full briefing.
https://t.co/t1gTZV9GtT",saylor,118613,2022-01-18 21:07:43+00:00,Neutral
9,“Everything is hard before it is easy.” - Goethe on #Bitcoin,saylor,118614,2022-01-18 14:17:34+00:00,Neutral
10,"Unlike everything else, no one can make any more #bitcoin.  https://t.co/w8AS1mqNYY",saylor,118615,2022-01-17 18:39:57+00:00,Neutral
11,"@cz_binance Join us Tuesday January 18 at 5pm EST for our Q4 briefing on the State of the #Bitcoin Mining Industry, with an update on hash rate, energy, efficiency, &amp; sustainability metrics, along with briefings from a panel of BTC mining CEOs as well as Analyst Q&amp;A. 
https://t.co/a3a6XRolAQ https://t.co/Ja26fHDcvQ",saylor,118616,2022-01-17 16:46:32+00:00,Neutral
12,"""Invisible airwaves crackle with life
Bright antenna bristle with the energy
Emotional feedback on timeless wavelength
Bearing a gift beyond price, almost free."" 

- @rushtheband on #Bitcoin",saylor,118617,2022-01-17 14:19:31+00:00,Neutral
13,“Money is a technology by which we transport value over time and space.” - @PierrePoilievre on #Bitcoin https://t.co/dvqdzc2tb5,saylor,118618,2022-01-16 15:36:41+00:00,Neutral
14,Carpe #Bitcoin,saylor,118619,2022-01-16 14:39:10+00:00,Neutral
15,"@ianbremmer @gzeromedia Every major industry uses more energy than Argentina. Every major application of electricity uses more electricity than Argentina. #Bitcoin was 12 basis points of worldwide energy use in Q3, 2021.

https://t.co/FZ7PcWTDFq",saylor,118623,2022-01-15 00:27:04+00:00,Neutral
16,"Join us Tuesday January 18 at 5pm EST for our Q4 briefing on the State of the #Bitcoin Mining Industry, with an update on hash rate, energy, efficiency, &amp; sustainability metrics, along with briefings from a panel of BTC mining CEOs as well as Analyst Q&amp;A.
https://t.co/a3a6XRolAQ https://t.co/Nmuy9aIlv5",saylor,118624,2022-01-14 20:56:32+00:00,Neutral
17,#Bitcoin is the future of the #Internet.  https://t.co/CdABn8dIsw,saylor,118625,2022-01-14 01:29:45+00:00,Neutral
18,#Bitcoin is technology that everyone needs and no one can stop.https://t.co/938GUcEvdP,saylor,118626,2022-01-13 20:24:19+00:00,Neutral
19,"The strongest #Inflation defense is a #Bitcoin Standard.
https://t.co/xjHVlJzztV",saylor,118627,2022-01-13 15:28:15+00:00,Neutral
20,"“When you arise in the morning, think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to love.” - Marcus Aurelius on #Bitcoin",saylor,118628,2022-01-13 13:45:32+00:00,Neutral
21,"#Bitcoin brings the global financial system into the modern age, delivers financial inclusivity to billions, and is great for the environment. https://t.co/SPOaGTEck0",saylor,118629,2022-01-12 17:04:14+00:00,Neutral
22,@cz_binance Set your #bitcoin sail and let the winds of inflation carry you.,saylor,118630,2022-01-12 15:20:31+00:00,Neutral
23,"#Bitcoin represents a life raft to those drowning in the currency flood.
https://t.co/vdzdICspNW",saylor,118631,2022-01-12 14:51:11+00:00,Neutral
24,"#Inflation is the problem. #Bitcoin is the solution.
https://t.co/Y5axc3VkLy",saylor,118632,2022-01-12 14:32:12+00:00,Neutral
25,“Happy New Year - Let’s Change the World!” - @jackmallers on #Bitcoin https://t.co/oQGzVSijMx,saylor,118633,2022-01-12 03:33:24+00:00,Positive
26,"“I like the dreams of the future better than the history of the past."" - Thomas Jefferson on #Bitcoin",saylor,118634,2022-01-11 13:41:29+00:00,Neutral
27,Investors are embracing #Bitcoin as Digital Gold. https://t.co/JYO9232AF5,saylor,118635,2022-01-10 16:21:56+00:00,Neutral
28,"""Be the change you wish to see in the world."" - Gandhi on #Bitcoin",saylor,118636,2022-01-10 13:58:10+00:00,Neutral
29,Stay hungry. #Bitcoin,saylor,118638,2022-01-09 14:50:44+00:00,Neutral
30,"“Begin doing what you want to do now. We are not living in eternity. We have only this moment, sparkling like a star in our hand and melting like a snowflake.” - Francis Bacon Sr. on #Bitcoin",saylor,118639,2022-01-08 14:38:42+00:00,Neutral
31,"@CobraBitcoin 🙏, 💎🙌",saylor,118640,2022-01-08 01:05:02+00:00,Neutral
32,"In the presence of negative real yields, the logic of holding a global store of value asset that is not based upon fiat cash flows is compelling. #Bitcoin https://t.co/668k44uw49",saylor,118641,2022-01-07 15:30:23+00:00,Neutral
33,#Bitcoin is https://t.co/kZl3k7Tm4h.,saylor,118642,2022-01-07 13:39:21+00:00,Neutral
34,Doin’ whatever it takes since ‘92. #Bitcoin https://t.co/93gSyB3L2t,saylor,118643,2022-01-06 17:38:20+00:00,Neutral
35,Gains aren't real until converted into #bitcoin. Losses aren't final until you sell that #bitcoin.,saylor,118644,2022-01-06 14:06:47+00:00,Neutral
36,#Bitcoin is Digital Property.,saylor,118645,2022-01-05 13:55:11+00:00,Neutral
37,The civilization that channels energy most effectively always wins. #Bitcoin https://t.co/XbSXXlfOG7,saylor,118646,2022-01-04 19:29:34+00:00,Neutral
38,@cz_binance #Bitcoin and Wait.,saylor,118647,2022-01-04 14:48:58+00:00,Neutral
39,"#Bitcoin is harder, smarter, faster, and stronger.",saylor,118648,2022-01-04 14:38:25+00:00,Neutral
40,"""@ENAGRUP, a research organization that assesses thousands of prices within #Turkey, said Monday that the true annual inflation rate is 82.81%."" TRY #BTC
https://t.co/XbpbmvMQ7a",saylor,118650,2022-01-03 14:47:58+00:00,Neutral
41,Happy Birthday #Bitcoin.,saylor,118651,2022-01-03 14:04:47+00:00,Positive
42,Take time for yourself. #Bitcoin,saylor,118652,2022-01-02 14:12:40+00:00,Neutral
43,"“The secret of change is to focus all of your energy, not on fighting the old, but on building the new.” - Socrates on #Bitcoin",saylor,118653,2022-01-01 14:27:24+00:00,Neutral
44,@engineers_feed #Bitcoin,saylor,118654,2021-12-31 14:44:36+00:00,Neutral
45,This is the last day of the year to buy #bitcoin.,saylor,118655,2021-12-31 13:10:18+00:00,Neutral
46,"MicroStrategy has purchased an additional 1,914 bitcoins for ~$94.2 million in cash at an average price of ~$49,229 per #bitcoin. As of 12/29/21 we #hodl ~124,391 bitcoins acquired for ~$3.75 billion at an average price of ~$30,159 per bitcoin. $MSTR
https://t.co/tNxDwaT8VD",saylor,118656,2021-12-30 13:05:40+00:00,Neutral
47,"""The object of life is not to be on the side of the majority, but to escape finding oneself in the ranks of the insane."" - Marcus Aurelius on #Bitcoin",saylor,118657,2021-12-29 13:40:21+00:00,Negative
48,“Labor to keep alive in your breast that little celestial fire called conscience.” - George Washington on #Bitcoin,saylor,118658,2021-12-28 14:41:25+00:00,Neutral
49,"#Bitcoin is digital property at low frequency, digital money at mid frequency, &amp; digital energy at high frequency. Tomorrow at 6pm ET, @Eric_BIGfund &amp; I will discuss the benefits of a world cloaked in digital energy, moving at the speed of #Lightning.⚡️
 https://t.co/WpL7gaZOfn",saylor,118659,2021-12-27 18:36:25+00:00,Neutral
