,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,saylor,2020-10-02,“You must learn to forgive a man when he’s in love. He’s always a nuisance.” - Rudyard Kipling on #Bitcoin,Positive,-43.846173690000796,48661453917.9649,8638319818.397224
1,saylor,2020-10-07,“Nature is pleased with simplicity. And nature is no dummy.” - Isaac Newton on #Bitcoin,Positive,65.61348950000138,37799458435.80039,-4824236871.625328
2,saylor,2020-10-18,"If you are a crypto business, the best way to build shareholder value and de-risk the business plan is to convert 100% of your treasury reserves to #bitcoin.",Positive,127.37744541999928,18283314340.336567,-847115833.5017853
3,saylor,2020-10-20,"“The greatest thing by far is to be a master of metaphor; it is the one thing that cannot be learned from others; and it is also a sign of genius, since a good metaphor implies an intuitive perception of the similarity of the dissimilar.” - Aristotle on #Bitcoin Memes",Positive,170.36020760000065,30915821592.10161,7055051664.379395
4,saylor,2020-10-24,@BlockBytch_ @BitcoinMagazine @MicroStrategy We have calculated some aggregate level blockchain metrics looking for insights that might be interesting to institutional investors.   We haven't found anything that could be commercialized.  I wouldn't read anything more into the statement.,Positive,176.48869684999954,24542317939.95521,-4432657062.95602
5,saylor,2020-10-29,"“If you would be wealthy, think of saving as well as getting.” - Benjamin Franklin on #Bitcoin",Positive,166.58426271999997,56499499598.2837,20632180703.368225
6,saylor,2020-11-03,"Welcome to the team @stoolpresidente...the cyber hornets think you can afford 6.15 #bitcoin, so keep stacking... https://t.co/inQNGnTUED",Positive,399.8499652900009,29869951617.25349,-901503850.5386391
7,saylor,2020-11-22,Join us today after the market closes if you would like an update on our business results &amp; thoughts about our business intelligence &amp; #bitcoin acquisition strategies.  We will take as many questions as we can during the zoom webinar.  $MSTR https://t.co/WZFDaiH3ab,Positive,-272.2304683500006,41280434225.93024,1630223518.6333542
8,saylor,2020-11-25,“In all things of nature there is something of the marvelous.” - Aristotle on #Bitcoin,Positive,-372.28883295000196,43710357371.4586,-7759207637.21431
9,saylor,2020-11-26,#Bitcoin now has a star quarterback.   Welcome to the team @TomBrady. https://t.co/zQXYDeZTue,Positive,-1579.2170092199995,61396835736.93506,17686478365.476456
10,saylor,2020-11-30,“You can’t be brave if you’ve only had wonderful things happen to you.” – Mary Tyler Moore on #Bitcoin,Positive,1447.51291166,47728480399.27992,16594522695.007793
11,saylor,2020-12-04,#Bitcoin is a brilliant creation &amp; the apex property of the human race. https://t.co/SsRthtlvtd,Positive,-747.2008090899981,33872388057.716797,1942070652.4451523
