,Text,Username,Unnamed: 0,Datetime,polarity
0,"@zhusu Personally, I hope that doge can switch to PoS soon, perhaps using ethereum code. I also hope they don't cancel the 5b/year annual PoW issuance, instead they put it in some kind of DAO that funds global public goods. Would fit well with dogecoin's non-greedy wholesome ethos.",VitalikButerin,14849,2021-09-02 01:12:47+00:00,Neutral
1,"I sent some! https://t.co/mfYrz35zjF

You should too! GiveDirectly is doing great work in distributing funds directly to the world's poorest.

They take crypto: https://t.co/AdcMVRNmyx (they don't yet take DOGE directly but maybe that can change☺️☺️) https://t.co/6jhLPwzfOY",VitalikButerin,14925,2021-02-01 09:46:35+00:00,Neutral
2,"@ShengwuLi @pauljhealy I think the biggest incentive-compatibility challenge in these kinds of schemes is that choice of questions is endogenous. How do you stop someone from gaming the scores by betting ""the sun will rise tomorrow, 99.9%+ probability"" every day?",VitalikButerin,18412,2020-05-13 16:45:43+00:00,Neutral
3,@sudogene Why?,VitalikButerin,20146,2020-01-22 02:21:23+00:00,Neutral
4,"@oliverbeige @ProfAndyC @dakami @miniver @thegrugq I'm not thinking of endogenous segmentation. I'm thinking of drivers literally having both apps open, sometimes on two phones.

Can Uber *stop* this from happening if they were ""willing""? I suspect antitrust regulators will go after them hard if they try.",VitalikButerin,22889,2018-10-15 14:28:53+00:00,Neutral
5,@DogeconVan @BobSummerwill Sad I could not be there this time! Hope everyone is enjoying!,VitalikButerin,23883,2018-06-24 12:08:51+00:00,Neutral
6,@dogecoin Sure :),VitalikButerin,24200,2018-05-11 19:05:44+00:00,Positive
7,Or BTC. Or BCH. Or DOGE. Or Wild Beast Block. Yall are getting nothing.,VitalikButerin,24746,2018-03-04 10:39:50+00:00,Neutral
8,@prestonjbyrne Oh ya? Have you read the *dogecoin* whitepaper?,VitalikButerin,25751,2017-11-03 16:19:40+00:00,Neutral
9,@CryptoMessiah @IamNomad 250 dogecoin.,VitalikButerin,27317,2017-06-26 00:06:29+00:00,Neutral
10,"@themarketsniper Does @themarketsniper need a German course? Zieg -&gt; Sieg; ""viel obey"" sounds like a German-language Dogecoin meme.",VitalikButerin,27554,2017-06-06 01:52:49+00:00,Neutral
11,"@inthepixels @zooko @DylanOnassis We also have $8m in fiat, ~$500k in bitcoin and smaller leftover quantities of ETC and doge. Expenses are ~$250k/month.",VitalikButerin,27765,2017-04-18 23:32:43+00:00,Neutral
12,"@deadalnix Are you suggesting the long-run demand curve is endogenous? Interesting and probably true, but difficult to model....",VitalikButerin,27997,2017-02-24 17:17:05+00:00,Neutral
13,HT @interfluidity Party polarization is endogenous https://t.co/BjJxp6fxwE,VitalikButerin,28099,2017-02-08 07:07:35+00:00,Neutral
14,"@ofnumbers If market cap = price * _eventual_ supply, then ethereum and dogecoin are both at infinity",VitalikButerin,28434,2016-10-29 11:30:34+00:00,Neutral
15,@SFCINC 4.00 CNY = 2568 DOGE :),VitalikButerin,28499,2016-09-15 23:52:21+00:00,Neutral
16,"1. I've sold 0 DOGE
2. I've bought and am buying more
3. I do not intend to sell until Dog Sled Saga becomes more popular than Neko Atsume",VitalikButerin,28633,2016-08-08 16:47:51+00:00,Positive
17,"@RealCraigWright But did you create dogecoin? If not, nothing counts; all of these other alt-dogecoin blockchains are scams.",VitalikButerin,28911,2016-05-14 06:39:03+00:00,Neutral
18,@CapandFree @rogerkver @aantonop 3. Dogecoin.,VitalikButerin,28975,2016-04-21 10:09:58+00:00,Neutral
19,"@prestonjbyrne @jamie247 @MeherRoy @leashless @brockpierce @cgledhill @jonmatonis you should hodl doge. Very objective, many wow.",VitalikButerin,29064,2016-03-20 21:52:24+00:00,Neutral
20,Dog is god spelled backwards. Doge is e-god spelled backwards.,VitalikButerin,29067,2016-03-19 04:39:02+00:00,Neutral
21,Eth-Doge sidechain bounty now over $75k https://t.co/GeQIEOMCRx,VitalikButerin,29112,2016-03-10 12:59:19+00:00,Neutral
22,Ethereum / Dogecoin collaboration https://t.co/Nu5r65Y2p3,VitalikButerin,29305,2015-12-17 06:22:00+00:00,Neutral
23,@prestonjbyrne Doge.,VitalikButerin,29352,2015-11-24 20:14:08+00:00,Neutral
24,Doge is E-God spelled backwards.,VitalikButerin,29356,2015-11-22 20:40:33+00:00,Neutral
25,"@1cyrilblanc1 @shibuyashadows @jimmyhomma @TakaoAsayama I would also love to see sidechains of litecoin, dogecoin, etc inside of ethereum",VitalikButerin,29415,2015-10-24 23:02:15+00:00,Positive
