,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,VitalikButerin,2015-10-24,@dogecoin Sure :),Positive,-4.02993469999992e-07,32143.30078125,-24663.80078125
1,VitalikButerin,2016-08-08,"1. I've sold 0 DOGE
2. I've bought and am buying more
3. I do not intend to sell until Dog Sled Saga becomes more popular than Neko Atsume",Positive,-2.246700751e-05,600323.0,-967357.0
2,VitalikButerin,2018-05-11,"@1cyrilblanc1 @shibuyashadows @jimmyhomma @TakaoAsayama I would also love to see sidechains of litecoin, dogecoin, etc inside of ethereum",Positive,-0.0006744097918200001,27582800.0,-7295700.0
3,VitalikButerin,2015-11-22,Doge is E-God spelled backwards.,Neutral,-3.396999090000014e-06,40285.30078125,-49714.6015625
4,VitalikButerin,2015-11-24,@prestonjbyrne Doge.,Neutral,-1.2660020699999986e-06,54655.6015625,-69599.796875
5,VitalikButerin,2015-12-17,Ethereum / Dogecoin collaboration https://t.co/Nu5r65Y2p3,Neutral,4.94599226000001e-06,161051.0,-219391.0
6,VitalikButerin,2016-03-10,Eth-Doge sidechain bounty now over $75k https://t.co/GeQIEOMCRx,Neutral,1.0682997529999985e-05,353758.0,-212405.0
7,VitalikButerin,2016-03-19,Dog is god spelled backwards. Doge is e-god spelled backwards.,Neutral,8.756003809999986e-06,150147.0,-232018.0
8,VitalikButerin,2016-03-20,"@prestonjbyrne @jamie247 @MeherRoy @leashless @brockpierce @cgledhill @jonmatonis you should hodl doge. Very objective, many wow.",Neutral,-6.7950022599999995e-06,157716.0,-150147.0
9,VitalikButerin,2016-04-21,@CapandFree @rogerkver @aantonop 3. Dogecoin.,Neutral,1.6730045900000066e-06,108092.0,-108274.0
10,VitalikButerin,2016-05-14,"@RealCraigWright But did you create dogecoin? If not, nothing counts; all of these other alt-dogecoin blockchains are scams.",Neutral,-4.46800549999999e-06,142382.0,-336712.0
11,VitalikButerin,2016-09-15,@SFCINC 4.00 CNY = 2568 DOGE :),Neutral,5.390000289999986e-06,305283.0,-141810.0
12,VitalikButerin,2016-10-29,"@ofnumbers If market cap = price * _eventual_ supply, then ethereum and dogecoin are both at infinity",Neutral,4.280998840000002e-06,563580.0,-95798.3984375
13,VitalikButerin,2017-02-08,HT @interfluidity Party polarization is endogenous https://t.co/BjJxp6fxwE,Neutral,-8.71994420000011e-07,162662.0,-110704.0
14,VitalikButerin,2017-02-24,"@deadalnix Are you suggesting the long-run demand curve is endogenous? Interesting and probably true, but difficult to model....",Neutral,1.1399969999999096e-07,118202.0,-110405.0
15,VitalikButerin,2017-04-18,"@inthepixels @zooko @DylanOnassis We also have $8m in fiat, ~$500k in bitcoin and smaller leftover quantities of ETC and doge. Expenses are ~$250k/month.",Neutral,-6.645976099999983e-06,1308510.0,-1791470.0
16,VitalikButerin,2017-06-06,"@themarketsniper Does @themarketsniper need a German course? Zieg -&gt; Sieg; ""viel obey"" sounds like a German-language Dogecoin meme.",Neutral,-0.00011784001253000017,44359200.0,-53883800.0
17,VitalikButerin,2017-06-26,@CryptoMessiah @IamNomad 250 dogecoin.,Neutral,-0.00020771007984000034,19984800.0,-25808000.0
18,VitalikButerin,2017-11-03,@prestonjbyrne Oh ya? Have you read the *dogecoin* whitepaper?,Neutral,-3.607000690000013e-05,2813240.0,-5326660.0
19,VitalikButerin,2018-03-04,Or BTC. Or BCH. Or DOGE. Or Wild Beast Block. Yall are getting nothing.,Neutral,0.0002672798000299993,12133500.0,-21545000.0
20,VitalikButerin,2018-06-24,@DogeconVan @BobSummerwill Sad I could not be there this time! Hope everyone is enjoying!,Neutral,-0.00012516998684999978,9879600.0,-9938440.0
21,VitalikButerin,2018-10-15,"@oliverbeige @ProfAndyC @dakami @miniver @thegrugq I'm not thinking of endogenous segmentation. I'm thinking of drivers literally having both apps open, sometimes on two phones.

Can Uber *stop* this from happening if they were ""willing""? I suspect antitrust regulators will go after them hard if they try.",Neutral,6.451000000000026e-05,18579800.0,-7930760.0
22,VitalikButerin,2020-01-22,@sudogene Why?,Neutral,-5.260011473000011e-05,82852580.2035897,-84321564.8831663
23,VitalikButerin,2020-05-13,"@ShengwuLi @pauljhealy I think the biggest incentive-compatibility challenge in these kinds of schemes is that choice of questions is endogenous. How do you stop someone from gaming the scores by betting ""the sun will rise tomorrow, 99.9%+ probability"" every day?",Neutral,5.7507026520000216e-05,265878079.914535,-262934537.784634
24,VitalikButerin,2021-02-01,"I sent some! https://t.co/mfYrz35zjF

You should too! GiveDirectly is doing great work in distributing funds directly to the world's poorest.

They take crypto: https://t.co/AdcMVRNmyx (they don't yet take DOGE directly but maybe that can change☺️☺️) https://t.co/6jhLPwzfOY",Neutral,-0.002178909999999999,6319224026.18,-8548997881.64
25,VitalikButerin,2021-09-02,"@zhusu Personally, I hope that doge can switch to PoS soon, perhaps using ethereum code. I also hope they don't cancel the 5b/year annual PoW issuance, instead they put it in some kind of DAO that funds global public goods. Would fit well with dogecoin's non-greedy wholesome ethos.",Neutral,0.0015627999999999753,2981069410.99,-1937809621.71
