,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,BarrySilbert,2015-10-07,"@simondlr @TuurDemeester and of course, once the ETH supply/inflation does get locked down, it could very well be a great currency and rail",Positive,-0.041127026100000075,218327.0,-44347.0
1,BarrySilbert,2016-04-01,Can Bitcoin be used for good?  https://t.co/anoaE59VpU via @TheAtlantic @chels_bar @EthanZ,Positive,0.2629995347000005,11373100.0,-3593600.0
2,BarrySilbert,2016-04-12,@cdixon @NTmoney no doubt. but that doesn't support buying ETH at $12.50 (or $1.25 or $125). would love to hear from anybody with a thesis,Positive,-1.1971602440000009,23190100.0,8052000.0
3,BarrySilbert,2016-07-21,"Best places to track the Ethereum (ETH) vs. Ethereum Classic (ETC) battle royal:
https://t.co/iZ80Jiew5n
https://t.co/K29OKfHivJ",Positive,0.19059944149999986,24636900.0,-35589200.0
4,BarrySilbert,2016-07-25,"Better measurement:
ETH: 3571.9 GH/s [87.1%]
ETC: 529.0 GH/s [12.9%]
https://t.co/iZ80Jiew5n https://t.co/f4BRYvvk5v",Positive,1.0927000044999993,36673800.0,-41077000.0
5,BarrySilbert,2016-07-26,"Great to see that @TradeBlock has also added Ethereum Classic (ETC)
https://t.co/2Flq12yMEf",Positive,-1.8266000747,94428800.0,57755000.0
6,BarrySilbert,2016-07-27,"@DanDarkPill no. unclear to me why so many folks assume attacker has malicious intent. and if they do, it will surely be directed toward ETH",Positive,0.9223003386999995,58278800.0,-36150000.0
7,BarrySilbert,2016-07-28,So now this is a battle between ETH and BTC?  Interesting https://t.co/FbNIArmstf,Positive,-0.13549995430000017,24603900.0,-33674900.0
8,BarrySilbert,2016-08-05,"Well, look at that...Ethereum Classic now has a website. Great work ETC community
https://t.co/zkgO4LCREf",Positive,-0.09360027309999985,15487900.0,-22663500.0
9,BarrySilbert,2016-09-01,"Awesome, yet another Ethereum gambling app. Plus an ICO! https://t.co/FR1dJ01a21",Positive,0.32439994819999995,24051500.0,12977800.0
10,BarrySilbert,2016-10-06,@TuurDemeester that response so perfectly sums up why I'm so bearish on ETH at $1 billion. Enthusiasm for potential ≠ investment case,Positive,-0.17200088499999922,12044800.0,2163430.0
11,BarrySilbert,2016-10-14,"@Steven_McKie @coindesk ETH devs are awesome, but you assume they will still be ETH devs when the price is $0.50",Positive,-0.05090045929999931,4333510.0,-4331680.0
12,BarrySilbert,2016-12-08,"@jpackel @uport_me @UjoMusic @metamask_io @gnosisPM @IPFSbot @ConsenSysLLC some great projects indeed, but that doesn't support ETH at $19",Positive,-0.15299034120000066,16042700.0,-6186900.0
13,BarrySilbert,2016-12-21,"@ARKblockchain if history is a guide, no teeth. But I'd love to see them try!",Positive,0.2507400513000002,9393550.0,3080000.0
14,BarrySilbert,2017-01-06,Thrilled to share that @GrayscaleInvest has hit $500 million in assets under management w/ @BitcoinTrust @EthereumTrust https://t.co/HFmeKMCuLd,Positive,-0.03110027319999986,29471800.0,-12085600.0
15,BarrySilbert,2017-06-06,Great to see Bloomberg showing Ethereum Classic some love https://t.co/GTEt7gwcZC,Positive,15.867004394600002,741553024.0,305893024.0
16,BarrySilbert,2017-06-13,"@RyanRadloff My focus is on keeping the community together, clarity and a scaling plan that is executed in a safe way",Positive,1.850982665999993,1717379968.0,-1165270144.0
17,BarrySilbert,2017-06-17,@srcasm @coinbase Bitfinex and Poloniex are probably your best bet for $ETC and other alt coins. And there is also our @EthereumTrust fund for ETC,Positive,9.531005859299967,904652992.0,-191627072.0
18,BarrySilbert,2017-06-18,Will be interesting to see how the ETH network handles the Status ICO today... https://t.co/zt2EjgB8q6,Positive,-8.061004638700012,904702976.0,49984.0
19,BarrySilbert,2017-06-20,More great exposure for the Ethereum Classic Investment Trust on Bloomberg https://t.co/iUdRwNhTQx,Positive,-11.321990966800001,1020390016.0,335218048.0
20,BarrySilbert,2017-06-21,Great introduction to Ethereum Classic by Charles Hoskinson who highlights some of the things that differentiates ETC from ETH https://t.co/ImOPbyeXxv,Positive,-22.66799926760001,1420130048.0,399740032.0
21,BarrySilbert,2017-11-22,"Ethereum Classic community comes together at successful Hong Kong summit via @InputOutputHK
https://t.co/dmPYs6CSdJ",Positive,20.33999633779996,800819008.0,-149092992.0
22,BarrySilbert,2017-11-23,"@KelaniNichole @decentraland Hi Kelani - DCG is happy to give you a parcel of land to use on/near Genesis Plaza for a year (rent free) to set something up. If interested, get in touch with @TravisScher",Positive,28.726989746100003,1845680000.0,1044860992.0
23,BarrySilbert,2018-01-14,"Congrats to the Ethereum Classic community on the successful network upgrade!

Great team effort by developers from @etcdev @InputOutputHK &amp; @ParityTech https://t.co/3zlRZPOZ14",Positive,-30.7099609375,4841630208.0,-905129984.0
24,BarrySilbert,2018-05-29,Great to see that Ethereum Classic ($ETC) was just added to the @fundstrat FS CryptoFX 10 Index as part of their June 30th rebalance,Positive,49.23999023440001,2330820096.0,-26080000.0
25,BarrySilbert,2018-07-06,"@alexsunnarborg ETH value will rise and fall based on many factors. MANA will only rise if DCL is successful. and of course, all of this is predicated on MANA being a utility token and not a security (which was our analysis conclusion)",Positive,-0.3450012206999986,1627609984.0,-201000064.0
26,BarrySilbert,2018-10-02,@30somethingSTL @coindesk better trading tools = more trading volume/velocity = lower volatility (over time),Positive,-3.9189999999999827,1542080000.0,-55420000.0
27,BarrySilbert,2020-11-28,Is there a good place to follow the interest in and adoption of Stellar? Something along the lines of Bitcoin Pulse (http://t.co/TktiWGOzf4),Positive,20.632434479999915,14770243833.185575,-2060861869.7855968
28,BarrySilbert,2016-08-03,"It is sad to see the Ethereum developer community splintering. ETH or ETC, everybody should rally behind whichever chain the market selects",Negative,1.4170999526999992,53979400.0,-88803296.0
29,BarrySilbert,2016-12-22,@felixsalmon why would I ever say something stupid like that? Of course price matters,Negative,-0.31404018410000045,16376700.0,-9393550.0
30,BarrySilbert,2016-12-30,@GlobalMacroBot @TradeBlock I don't hate ETH. Just didn't think it should have been valued over $1 billion,Negative,-0.12989997859999924,13909900.0,-27543800.0
31,BarrySilbert,2017-06-14,"@mexiwhale @eth_classic ETC is a decentralized, permissionless platform...so no. But I do hope the ETC community remains vigilant (and skeptical)",Negative,-38.535980224599996,1272579968.0,-1717379968.0
32,BarrySilbert,2015-08-17,"@30somethingSTL Here you go:  Bitcoin is 6-12 months away from the next reward halving
http://t.co/Jb0c2fUaYP",Neutral,-0.3775800465999999,1942830.0,-3550790.0
33,BarrySilbert,2015-10-07,It's Not Too Late To Save Ethereum http://t.co/kTVYEE3qso via @nanok @webonanza,Neutral,-0.041127026100000075,218327.0,-262674.0
34,BarrySilbert,2015-10-15,"@Realhockeytalk Kraken, or buy bitcoin first and go to ShapeShift to change to ether",Neutral,0.03860002750000002,371022.0,-971664.0
35,BarrySilbert,2016-03-13,"Bitcoin
Ethereum
IPFS
AI 
Drones
Autonomous Vehicles

What an amazing time to be alive (until the machines come, of course)",Neutral,0.9648008347000001,43915100.0,-48957300.0
36,BarrySilbert,2016-03-21,We are super excited to invest in the Rootstock team and see their innovative idea (Bitcoin + Ethereum) come to life https://t.co/bL5uEauRVt,Neutral,1.5604000090999985,28572600.0,-17651100.0
37,BarrySilbert,2016-03-22,Bitcoin -&gt; Blockchain -&gt; Distributed Ledgers -&gt; Ethereum -&gt; Bitcoin,Neutral,-0.6043996810999985,19730300.0,-28572600.0
38,BarrySilbert,2016-03-28,"Ponzi, pyramid and gambling apps seem to be early favorites among ethereum developers (no different than bitcoin)
https://t.co/D9PguGN5EF",Neutral,1.234199523900001,23188300.0,-16744800.0
39,BarrySilbert,2016-04-01,"My first public comments on Ethereum/ETH...

Wall Street and tech start to move past bitcoin https://t.co/ZgKRTgxsND via @CNBC @Ev_Rosenfeld",Neutral,0.2629995347000005,11373100.0,-14966700.0
40,BarrySilbert,2016-04-01,"@simondlr @TuurDemeester because ETH supply/inflation is unknown for now, it is impossible to value",Neutral,0.2629995347000005,11373100.0,-14966700.0
41,BarrySilbert,2016-06-09,@TuurDemeester when can token holders start pulling their ETH out?,Neutral,-0.03200054170000044,8256830.0,-16941800.0
42,BarrySilbert,2016-06-09,@TuurDemeester wow. so DAO token holders might get stuck just watching a ETH price correction given 70 day process &amp; lack of DAO liquidity?,Neutral,-0.03200054170000044,8256830.0,-16941800.0
43,BarrySilbert,2016-06-09,"@OfficialCoinRun @TuurDemeester in an orderly market, yes. but IF the ETH price was to start dropping, ETH hlders will want BTC/USD, not DAO",Neutral,-0.03200054170000044,8256830.0,-16941800.0
44,BarrySilbert,2016-06-09,"@crypto_truth @TuurDemeester for one, DAO is apparently trading at a discount. more importantly, ETH is much more liquid than DAO",Neutral,-0.03200054170000044,8256830.0,-16941800.0
45,BarrySilbert,2016-06-09,"@cryptoSqueeze @TuurDemeester right, but i'm looking for the discount/premium calc of DAO market cap to ETH held",Neutral,-0.03200054170000044,8256830.0,-16941800.0
46,BarrySilbert,2016-06-20,"Record low 10-year bond yields (via @ttmygh):

Netherlands: 500 yr record low
France: 270 yr low
Italy: 209 yr low
Spain: 194 yr low",Neutral,-0.39739990239999834,58143600.0,-69783600.0
47,BarrySilbert,2016-06-28,"Ether price chart is looking...sickly. Trough of disillusionment or something else?
https://t.co/1gt2HuItXj",Neutral,-1.7519998549999993,43436600.0,-10994700.0
48,BarrySilbert,2016-07-14,"Can anybody point me to an articulate investment case for ether? I have yet to hear one. (I'm not dismissing the platform)
@TuurDemeester?",Neutral,0.916299819899999,23621900.0,-6715660.0
49,BarrySilbert,2016-07-14,@donaldmcintyre_ @TuurDemeester it is possible that $50 mm in ETH could power all of the smart contract demand for 20 years,Neutral,0.916299819899999,23621900.0,-6715660.0
50,BarrySilbert,2016-07-15,"Interesting discussion -- thanks all for input.

tl;dr: nobody has written up an investment case for buying ether https://t.co/wRRsAYOewp",Neutral,0.45250034340000056,26838900.0,-23621900.0
51,BarrySilbert,2016-07-15,"@jyap we have investments in over 80 companies, so I imagine many own ether. I do not own any personally",Neutral,0.45250034340000056,26838900.0,-23621900.0
52,BarrySilbert,2016-07-21,@NTmoney I can't find or come up with an investment case for ETH. educate me?,Neutral,0.19059944149999986,24636900.0,-60226100.0
53,BarrySilbert,2016-07-21,@cdixon @NTmoney meh. increased apps/adoption does not necessarily translate to enough demand for the fuel to support ETH at $12.50,Neutral,0.19059944149999986,24636900.0,-60226100.0
54,BarrySilbert,2016-07-21,"@cdixon @NTmoney indeed. don't get me wrong, i love the tech/community/opportunity. just trying to find ANY support for $1 billion ETH value",Neutral,0.19059944149999986,24636900.0,-60226100.0
55,BarrySilbert,2016-07-21,"@josephjpeters @cdixon @NTmoney I like that direction and could buy into it, but hard to see any real money going into ETH ahead of Casper",Neutral,0.19059944149999986,24636900.0,-60226100.0
56,BarrySilbert,2016-07-21,"@josephjpeters @cdixon @NTmoney ETH supply is one thing, but the fuel cost is the biggest unknown",Neutral,0.19059944149999986,24636900.0,-60226100.0
57,BarrySilbert,2016-07-21,"@josephjpeters agreed, but greater efficiency should result in lower gas cost, which creates less demand for ETH",Neutral,0.19059944149999986,24636900.0,-60226100.0
58,BarrySilbert,2016-07-21,"@aaramburu agreed, but ETH was not designed to be a ""currency"" per se",Neutral,0.19059944149999986,24636900.0,-60226100.0
59,BarrySilbert,2016-07-22,"@1cyrilblanc1 @DCGco i never said I can't see the value in ETH. I'm exploring if anybody has cogent investment thesis for ETH. so far, none",Neutral,2.004399299700001,74779504.0,-24636900.0
60,BarrySilbert,2016-07-24,"This is fascinating. Hash power on Ethereum ""Classic"" fork is slowly increasing (1.9% now)
https://t.co/iZ80Jiew5n https://t.co/mo3VwC94sY",Neutral,-1.5462999342999986,77750800.0,-32489700.0
61,BarrySilbert,2016-07-24,Who is behind the Ethereum Classic effort? https://t.co/dq1KlqusKk,Neutral,-1.5462999342999986,77750800.0,-32489700.0
62,BarrySilbert,2016-07-24,Ethereum Hard Fork Creates Competing Currencies as Support for Ethereum Classic Rises https://t.co/hI5EqjfPnn via @CoinDesk @pete_rizzo_,Neutral,-1.5462999342999986,77750800.0,-32489700.0
63,BarrySilbert,2016-07-24,"@mikejcasey @paulvigna @WILLMS_ bitcoin is digital gold, ethereum is digital oil and ethereum classic is digital play-doh",Neutral,-1.5462999342999986,77750800.0,-32489700.0
64,BarrySilbert,2016-07-25,"Bought my first non-bitcoin digital currency...Ethereum Classic (ETC)

At $0.50, risk/return felt right. And I'm philosophically on board",Neutral,1.0927000044999993,36673800.0,-77750800.0
