,Text,Username,Unnamed: 0,Datetime,polarity
0,@brian_trollz @lite_hause @HassanAesthetic @wtogami @plobtc @gladstein @torkelrogstad @udiWertheimer @ercwl @EdanYago @giacomozucco The definition of being an open source developer of a project is pretty simple and straightforward. You don’t have to find out someone’s motivations in order to know whether or not they are a developer. I’m not the fool here.,SatoshiLite,123056,2021-11-22 07:59:23+00:00,Neutral
1,"Something happened in October of 2020 that was totally unexpected. PayPal announced support of Litecoin out of the blue. 

https://t.co/DTSJ2uCeK4

This was actually the first time something big happened to Litecoin without anything to do with me.",SatoshiLite,123108,2021-10-12 19:20:24+00:00,Neutral
2,"In September 2018, we held our first Litecoin Summit. It was a big success. It was great to have supporters of Litecoin all come together in one place.

https://t.co/g8hH57ptde

It's been tough the past 2 years to do an in person summit, but we plan to do one as soon as we can.",SatoshiLite,123116,2021-10-12 18:52:57+00:00,Neutral
3,"Pretty much every other altcoin had a huge premine. Even Ethereum had like 70% coins premined. There's nothing wrong with a premine, except I think there are different fiduciary duties when you created a coin with a big premine for yourself.",SatoshiLite,123125,2021-10-12 18:20:32+00:00,Neutral
4,"I didn't want him to change his mind. Face with tears of joy

I took it as his approval and just got the team together to make it happen. Litecoin launched on Coinbase in May.

And June 9 was my last day, but that was planned 6+ months in advance.

https://t.co/dPrinHZE3O",SatoshiLite,123131,2021-10-12 17:28:39+00:00,Neutral
5,"This was definitely not a staged tweet and reply. I actually didn't expect Brian to reply at all, but I was extremely glad to see him agree with me.

So right away, I gathered the team together at Coinbase to launch Litecoin. I didn't even talk to Brian after his Twitter reply.",SatoshiLite,123132,2021-10-12 17:22:36+00:00,Neutral
6,This was the state of crypto trading a month before launch. It wasn't like Litecoin was a small coin. It was the #5 coin with trading volume that almost matched Etheruem's and LTC wasn't even on Coinbase. So I was extremely frustrated and felt a bit slighted. https://t.co/kGPgXDzyyt,SatoshiLite,123137,2021-10-12 17:09:49+00:00,Negative
7,"We did not follow the Ethereum launch, which I helped design, that was extremely successful. So the LTC launched on GDAX was a huge failure IMO. Fred had refused to let Coinbase hold any LTC and due to conflict of interest, I didn't feel it was right for me to argue with him.",SatoshiLite,123139,2021-10-12 17:05:29+00:00,Neutral
8,"Coinbase did not put any resources behind this launch and pretty much just quietly launched the LTC/BTC and LTC/USD trading pairs with an empty order book. For reasons unknown to me, Brian &amp; Fred refused to do a full launch on GDAX &amp; Coinbase like we did with ETH.",SatoshiLite,123140,2021-10-12 17:04:10+00:00,Neutral
9,"After taking the summer off in 2016 to work on Litecoin SegWit, I went part time at Coinbase and worked mostly from home. At that time I asked Brian if we can add LTC support given how successful the Ethereum launch was. Brian reluctantly agreed to launch on GDAX only.",SatoshiLite,123141,2021-10-12 17:02:43+00:00,Positive
10,"All this was just wrong. Users wanted SegWit. Markets wanted it. Why are miners, basically 1 person, able to block something that is good for Litecoin and Bitcoin.

In the end, miners are being paid to do one thing, which is to collect transactions into blocks and broadcast them.",SatoshiLite,123156,2021-10-08 19:05:15+00:00,Neutral
11,"In February 2011, SegWit signaling started on Litecoin. Basically miners will signal whether or not they supported SegWit in the blocks they mined. If 75% of blocks signal for SegWit within a 2-week timeframe, it will lock and SegWit will activate after some time.",SatoshiLite,123164,2021-10-08 18:48:03+00:00,Neutral
12,"The co-founder of Bitamin, Jihan Wu (@JihanWu), is a big supporter of scaling Bitcoin onchain. Basically, he belives Bitcoin can just hard fork to increase the block size and there's no reason why we need to do something complicated like SegWit and LN.",SatoshiLite,123172,2021-10-08 18:31:57+00:00,Neutral
13,"I realized that here's a chance for Litecoin to do something to help Bitcoin. If we can get SegWit on Litecoin, it can clear out all the FUD and prove that SegWit is safe and a good upgrade for Bitcoin.

Back then the biggest FUD was the anyone-can-spend FUD.",SatoshiLite,123184,2021-10-08 00:33:57+00:00,Neutral
14,"Although I went along with the plan, it kind of rubbed me the wrong way. Litecoin had a much higher global trade volume at the time and was the #2 coin in marketcap. So although it's fair that Ethereum had more potential, we went out of our way to not launch LTC at the same time.",SatoshiLite,123187,2021-10-08 00:28:34+00:00,Neutral
15,"There was a lot of unsatisfied demand. People in the US had no easy way to store and trade these coins. And Coinbase would steal a lion share of the demand if we added the 2 coins to start.

Both Brian and Fred like the idea but they crossed out LTC. They just want to do ETH.",SatoshiLite,123188,2021-10-08 00:25:06+00:00,Neutral
16,This was also when Ethereum was starting to get big. So I put together a proposal to Brian and Fred Ehrsam (@FEhrsam) to add both LTC and ETH to Coinbase. Basically the reasoning was that it was clear that Coinbase could make a lot of money if it let people trade ETH and LTC.,SatoshiLite,123189,2021-10-08 00:22:56+00:00,Neutral
17,"The rumors were actually true. I was talking to the CEO, Mark Karpelès (@MagicalTux) almost on a daily basis in mid 2015. He was dealing with a lawsuit and upgrading the trade engine to something he called the Midas engine. If you were around then, you would have heard of it.",SatoshiLite,123194,2021-10-08 00:14:23+00:00,Neutral
18,"I forgot to mention that I chose Litecoin because Litecoin is the lighter version of Bitcoin. It's faster, cheaper, and easier to use.

And we got to see a young &amp; unknown (at the time) @VitalikButerin hating on the name. I prefer Litecoin over Etherium. Wait, is it Ethereum? 😂 https://t.co/kCLUUNbiel",SatoshiLite,123214,2021-10-07 19:27:52+00:00,Neutral
19,"The best part was that all the domains were available. So on 10/4/11, I bought them all on GoDaddy. What a great move in hindsight. So now, we don't have something like https://t.co/TFymqt9pKY promoting Litecoin Cash instead of Litecoin. $38.85 well spent! 😂 https://t.co/ur0ckkHMsh",SatoshiLite,123227,2021-10-07 17:23:00+00:00,Positive
20,"I basically took everything that's good from these altcoins (speed, CPU mining) and did a fair launch. And that's why Litecoin succeeded where others failed.

The name Litecoin came to me pretty quickly. I thought of something like an Elitecoin first. Then Litecoin jumped out.",SatoshiLite,123228,2021-10-07 17:19:54+00:00,Neutral
21,"I just searched my old emails and saw that June 8, 2011 was the day I got into Bitcoin. Today is exactly 10 years since that day. It is the first time I got goosebumps from something happening in this space. History will look back on this day as a major turning point for Bitcoin! https://t.co/iiVHr1SoVV",SatoshiLite,123250,2021-06-09 06:43:29+00:00,Neutral
22,@ethanimooney @NaveenSpark 👍,SatoshiLite,123277,2021-04-06 05:47:09+00:00,Neutral
