,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,SatoshiLite,2016-09-08,"After taking the summer off in 2016 to work on Litecoin SegWit, I went part time at Coinbase and worked mostly from home. At that time I asked Brian if we can add LTC support given how successful the Ethereum launch was. Brian reluctantly agreed to launch on GDAX only.",Positive,-0.1999006270999999,11535000.0,5419950.0
1,SatoshiLite,2017-01-06,"@Ethmastered @WolfOfPoloniex @Bitfinexed ok, i will look into it.",Positive,-0.03110027319999986,29471800.0,-12085600.0
2,SatoshiLite,2017-01-06,@arteymoney Correct. And together they are better than the sum of their parts.,Positive,-0.03110027319999986,29471800.0,-12085600.0
3,SatoshiLite,2017-01-07,@coolcashewYT @lightning Includes a joke and something creative. All 4!,Positive,-0.37370967869999916,23153600.0,-6318200.0
4,SatoshiLite,2017-01-24,@MikeTheWall @CashApp I already did hint at them. But this is going to take more work. Talking to @jack better than talking to @CashApp. 😀,Positive,-0.09539985660000028,8327330.0,1060120.0
5,SatoshiLite,2017-01-28,Latest numbers are that ~$180M of ETH are stuck. This cannot be recovered without a hardfork. Code is law? 😂 At what $ do we draw the line?,Positive,0.026700019899999816,6580700.0,-608470.0
6,SatoshiLite,2017-02-02,"@Marcsmyname @NickSzabo4 @eiaine Whether or not he is Satoshi, he's doing great work.",Positive,0.08589935300000029,10172500.0,-2679700.0
7,SatoshiLite,2017-02-09,@gtechservices @CryptoUntether Sure thing! /s,Positive,-0.40369987489999914,18400300.0,8711670.0
8,SatoshiLite,2017-03-01,"@SwifterDrifter1 @CryptoUntether @todu77 Ok. Well I don't have time to prove myself for ever accusation. If you or anyone has proof, then show me. Otherwise, stop wasting my time.",Positive,1.5025005339999993,44927500.0,-20551400.0
9,SatoshiLite,2017-03-04,@ETHodl @yonatvaks lol,Positive,-0.8981990813999978,27341900.0,-68521500.0
10,SatoshiLite,2017-03-13,"@Jaw709 @LitecoinSupport @LTCFoundation Yeah, no worries. Just don't want to see someone get discouraged when they are trying to do something good.",Positive,5.087999343899998,255488000.0,180859104.0
11,SatoshiLite,2017-03-22,"@Thomas_Seneca2 Quoting from a censored channel is unethical? Ok, sure thing.",Positive,-0.7804031371999969,113952000.0,22686600.0
12,SatoshiLite,2017-03-29,@BlasterPT @simulx Who's says it's the end for Ethereum? Just that it's great for hackers.,Positive,2.5567970275999983,144998000.0,47252704.0
13,SatoshiLite,2017-04-19,"In the case of the multisig wallet code, the ""init"" method didn't have a scope. The attacker was able to call init and set owner to himself.",Positive,-2.423698425300003,76281000.0,-2467496.0
14,SatoshiLite,2017-05-04,@CelebrateTheUSA I'm blocked. I can't see it. Probably for the best.,Positive,17.261001586899994,366847008.0,224925008.0
15,SatoshiLite,2017-05-18,@FrankoCurrency @eth_classic @krnguyx012 That Syfy show is awesome!,Positive,7.065902710000003,196236992.0,13205984.0
16,SatoshiLite,2017-07-08,"Not running a full node is like not voting, something you shouldn't be proud of. Most cases, your vote won't mater, but if no one votes... 😔 https://t.co/yk1M6cTEFP",Positive,5.807006835999999,754958016.0,67706048.0
17,SatoshiLite,2017-07-16,@VinnyLingham SegWit is not just a scaling solution though! It's great technology. We should adopt it even if we do something more for scaling.,Positive,-12.210998535199991,1516889984.0,706438016.0
18,SatoshiLite,2017-07-19,@eric_lombrozo @TheRealXinxi @Excellion @bhec39 Stop spreading truth Eric! BlockStreamCore sounds good together.,Positive,-35.237991333,2328790016.0,-380470016.0
19,SatoshiLite,2017-07-20,"Congratulations to the Tether team! Though, w/ Bitcoin's congestion &amp; high fees, Tether &amp; Omni platform seems like perfect fit for Litecoin! https://t.co/uxkITQaZ55",Positive,21.843002319300012,2224999936.0,-103790080.0
20,SatoshiLite,2017-07-27,@BryceWeiner @wpalczynski do some research in how and why i launched Litecoin this way. Maybe you will learn something about a fair launch.,Positive,-0.5380096435000041,393283008.0,-324409024.0
