,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,TimDraper,2016-06-27,"Good to see @elonmusk  reengaging with Bitcoin. I expect he will find #bitcoin to be far greener than the banks. Also, more #free and more #trustworthy. Also, @Jack Dorsey is awesome. And @CathieDWood is brilliant. Delightful to see them all together discussing #bitcoin future.",Positive,0.07569980619999939,10994700.0,-3752900.0
1,TimDraper,2019-03-30,"I am excited to partner with @UNDPtech to support health-related entrepreneurs around the world. @draper_u will be bringing together talented advisors and experts from the Silicon Valley to help mentor, guide and scale businesses. Apply to attend: https://t.co/4rnRYB58Ek",Positive,-0.2664631170000007,5144662126.50528,19059424.236699104
2,TimDraper,2019-04-11,I am on in one hour. Please join and pitch me something heroic. https://t.co/WTxVsVTQ80,Positive,-11.84574792699999,7859383417.27419,2458538.534629822
3,TimDraper,2019-07-05,The ethics of AI. This is an awesome read from one of our #crypto portfolio companies @gundb.io. #AI #drapervc https://t.co/ZMJWeYgerO,Positive,3.6165961419999917,8723493015.22177,319979909.49362946
4,TimDraper,2020-02-29,"Happy 4th of July! I have another episode of @meethedrapers for you! This time, VP of Viome,
 @ms_anujain joins me, my father Bill and sister Polly as we talk about the hurdles female entrepreneurs face before listening to more great pitches!... https://t.co/7zFD1M3k95",Positive,-6.984931809999978,18181296376.3477,-4382234182.756901
5,TimDraper,2020-05-11,"Watch this video. You can vote on whether the CA supreme court was fair about snatching Cal3 (Prop 9) from the ballot.
https://t.co/T9zKeN1cWs. #cal3 https://t.co/T9zKeN1cWs",Positive,-2.7193529489999833,20054601646.7873,-5156973545.8801
6,TimDraper,2020-11-06,Maybe this is a better way to democracy. Start with a vote on whether Cal3 should have been yanked off the ballot without your consent. https://t.co/wBftmKcd36 #cal3 https://t.co/wBftmKcd36,Positive,40.65257836000001,16738305610.451756,1297594572.77248
7,TimDraper,2021-07-22,Elizabeth Holmes is awesome. https://t.co/kXLSmgFWW1,Positive,30.37995021000006,17495480331.39,-3757879424.799999
8,TimDraper,2015-09-02,Yet another Draper University student. @DataWalletHQ is a new data-profiting startup http://t.co/36xo8jvKMk http://t.co/F3LV1unzKa,Neutral,-0.05677998069999979,883769.0,-778862.0
9,TimDraper,2015-09-10,"Draper Lesson Number 5: Passion comes from the heart. If you really believe something has to happen, just go make it happen. #StartupU",Neutral,-0.04183995720000011,662782.0,-366748.0
10,TimDraper,2015-09-15,"We’ve gone from a Model T to a Tesla, but high school has stayed frozen in time. https://t.co/bFfpQAKm6w via @XQAmerica #RethinkHighSchool",Neutral,0.06922101980000006,703390.0,-741085.0
11,TimDraper,2015-09-16,"Draper University Alumni @SequoiaB launches 7AM, a platform of online courses for personal growth http://t.co/YQJBCEtH76",Neutral,-0.034802019599999956,615593.0,-703390.0
12,TimDraper,2019-05-17,""" We're back with @meetthedrapers ! This time we thought we'd have some fun by doing something different and letting Draper U students step into our shoes with The Art of the Pitch! https://t.co/fcqSFGAkLu "" https://t.co/fcqSFGAkLu",Neutral,-20.083770586000014,16037551694.0389,-18661465872.83
13,TimDraper,2020-03-25,"You can watch and invest! @meethedrapers while you're social distancing: @draper_u alum, @LondonStein pitches @TeoohEvents to the panel of judges, including @JackHidary ! Check out @AxleAvideo and LatinLive as well! https://t.co/Le7Yz7WHIj",Neutral,-2.7190743980000036,13433092919.8647,-14609068673.4853
14,TimDraper,2020-05-12,"Our first @BeTheHeroShow is live! I am a little out of control. Must be the #pandemic. Opportunity to pitch me, fun guests. https://t.co/WShBQym62D",Neutral,3.435162163000001,15899726283.7581,-20054601646.7873
15,TimDraper,2020-05-28,"If you haven't seem my show @betheheroshow yet, please tune in on Twitch at 4:00 pm today. It is a kick in the pants and I never know what is going to come out of my mouth.",Neutral,10.954998027000016,12212469603.9905,-10631034756.4509
16,TimDraper,2020-06-26,"Thanks for having me on @ArtandCo__’s live event, put together by a friend and great entrepreneur @Bundeep to learn more about the charities and artists they're supporting for the world's largest art auction. 
 
Great initiative! https://t.co/80l1Ty5RKZ – closing June 27, 2020.",Neutral,-3.2094420110000215,7187490225.5069,-7010426122.49538
17,TimDraper,2020-08-31,Maybe the Ca Supreme Court should rethink their opinion on 3 Californias. Or 6 Californias. https://t.co/umd0Bkpja1,Neutral,6.57072786599997,12774741797.1348,-11211948040.289
18,TimDraper,2021-02-28,"@charliemunger thou protest too much, methinks #Bitcoin",Neutral,-43.811528840000165,27637026080.32,-20742103232.83
19,TimDraper,2021-04-15,Congratulations and thank you to Brian Armstrong and his team @coinbase for a very successful Direct IPO. We @drapervc are thrilled to be venture investors in this leading #crypto company as it brings the old world of currency and banking together with the modern world. #Bitcoin,Neutral,83.08147916999997,32325606817.2,-35592822986.38
20,TimDraper,2021-04-15,Congratulations and thank you to Brian Armstrong and his team @coinbase for a very successful Direct IPO. We @drapervc are happy to be venture investors in this leading #crypto company as it brings the old world of currency and banking together with the modern world. #Bitcoin,Neutral,83.08147916999997,32325606817.2,-35592822986.38
21,TimDraper,2021-04-25,"The next semifinals @meethedrapers episode has arrived! @impareshghelani joins us for updates from @lifeakua , #pawsh , @PredictivCare , and #sunscoop .

Watch here: https://t.co/88K94o3Pvp",Neutral,101.6458225299998,31814355546.06,-31854226935.79
22,TimDraper,2021-06-03,"Cool. @SpaceChain gets #Ethereum multisig in space with @SpaceX  with commercial capabilities as a starting point for wider adoption of blockchain for enterprise business and fintech applications. @draper_u 
alum
#BlockchainISS #newspaceeconomy #draper ecosystem",Neutral,146.7503899799999,30038207401.87,-27723267358.58
23,TimDraper,2021-06-19,My list for 2030: 1. @Bitcoin  2. @EtheriumToken  3. @coinbase 4. @binance 5. @SpaceX 6. @Tesla 7. @amazon 8. @planet  9. @Ledger 10. @Apple. What is yours?https://t.co/14Sl6c33xP.,Neutral,-56.66004368999984,18765854895.91,-22752818387.52
24,TimDraper,2021-06-22,Methinks China doth protest too much. Every other weekend they make another identical announcement and it still makes the news. Bo—ring. #bitcoin is rocking the world! China spreading FUD. https://t.co/bI7hgkDHhK,Neutral,-11.71761377000007,35547251725.26,-33745173824.91
25,TimDraper,2021-07-29,Smart contracts begin with EthSign. #bitcoin #freedom #trust  https://t.co/GDKvXG451A,Neutral,81.94485291000001,16313373112.54,-18991302378.06
26,TimDraper,2021-09-16,@Fairmintco a @drapervc portfolio company is rethinking company ownership. Check it out. https://t.co/ct9Qhm6YKr,Neutral,-41.7786891226001,20093903064.17,-17548551803.79
27,TimDraper,2021-09-24,Xi taking #China back to the dark ages. Has anyone noticed that they make these announcements about every two weeks? Methinks he doth protest too much about #crypto #Bitcoin. The Chinese people are smarter than this. #undergroundeconomy https://t.co/9R990gUEx5,Neutral,-222.89290455729997,25595422789.23,-18516291046.56
28,TimDraper,2022-01-03,Fun to think about: #scifi #space #mars #venus #spacex Maybe we can smash Mars and Venus together at about our distance from the sun and create another earth. https://t.co/rPkfKuIwTo,Neutral,-68.15546707699968,12080777892.77,-9881471547.68
