,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,rogerkver,2016-08-06,"This is the kind of attitude everyone should have.
Embrace anything that works. 
Ignore things that don't.
#BCH #BSV #ETH #XMR #ZEC #XRP #FreeMarkets https://t.co/ZXHtipEAjP",Positive,-0.03560066230000025,16712600.0,1224700.0
1,rogerkver,2017-08-03,"#BTC a year ago 300k txs, now 170k
#LTC a year ago 2k txs, now 40k
#ETH a year ago 50k txs, now 750k
#ETC a year ago 20k txs, now 100k
#BCH a year ago 0 txs, now 20k

BTC dominance a year ago 90%, now 45%...

A substitute good is one good that can be used instead of another.... https://t.co/tWuPw3r0XB",Positive,5.162002563499982,557217024.0,-75388992.0
2,rogerkver,2018-03-08,"If Bitcoin had been allowed to scale in a timely fashion, there would be no Bitcoin Cash, there would be no Ethereum, and most of the other alt coins would never have gained any traction at all. Bitcoin would have experienced no real loss of dominance in the market. https://t.co/1vLEG7zSal",Positive,-47.97399902339998,1891640064.0,-283779840.0
3,rogerkver,2018-03-31,Competition is always welcome in a free market. Those who oppose competition oppose the free market.  #BitcoinCash #ETHEREUM #Altcoins,Positive,1.4530029297000056,1323920000.0,-554210048.0
4,rogerkver,2019-01-31,That the combined market cap of ETH &amp; ETC was greater after the fork means  the market viewed it as a good thing.  A lesson for Bitcoin?,Positive,-1.8397579730000047,2828796030.76159,-45574323.82439995
5,rogerkver,2019-04-02,Great video recap of the #SilkRoadTrial week #2 from @BraveTheWorld http://t.co/kQGx5YDPgO #DrugWar,Positive,22.122220430999988,9826645698.14636,5214646161.69139
6,rogerkver,2020-08-09,Great video recap of this week’s #SilkRoadTrial by @BraveTheWorld https://t.co/umb5EJOQpX Thanks to @a_greenberg @sarahjeong @joemullin too!,Positive,-4.184781302999966,9451065592.32828,109005061.30375862
7,rogerkver,2015-09-21,"For government to license something, is to outlaw it, and then sell permission to break the law.",Neutral,-0.022449016599999982,424039.0,-508314.0
8,rogerkver,2015-10-08,"Just because those in ""authority"" say something, doesn't make it true. http://t.co/nsUEtdCeKa",Neutral,0.012215018300000047,310266.0,-218327.0
9,rogerkver,2015-10-14,Claiming something is wrong because it's illegal is a logical fallacy.  https://t.co/xlUkKs9N3L http://t.co/OeUigCIDQN,Neutral,-0.08927202230000009,971664.0,-303044.0
10,rogerkver,2015-11-08,Thank you @adam3us for asking Mike Hearn to pull the community together to scale Bitcoin! https://t.co/OfOzXhWsMh #BTCAMA,Neutral,0.11180901519999997,1021460.0,-890187.0
11,rogerkver,2015-11-14,"""Silk Road opened the floodgates to a new method of bypassing government control over one's body” https://t.co/CEunrDcte3",Neutral,-0.016656994800000047,372514.0,-543671.0
12,rogerkver,2015-11-26,People too often judge behavior based largely what is legal or illegal rather than whether the behavior is inherently legitimate.,Neutral,0.020909964999999975,947473.0,-622991.0
13,rogerkver,2015-12-05,"Ask @diiorioanthony, founder of @ethereumproject, @DECENTRALca and more, anything you want at https://t.co/U4gcekFgNQ",Neutral,0.021243035799999976,232743.0,-241278.0
14,rogerkver,2016-01-25,It's great to see the community coming together to ask @bitcoincoreorg to publicly denounce censorship by Theymos: https://t.co/10SDKIaF8b,Neutral,0.35162997240000005,10739300.0,-9669770.0
15,rogerkver,2016-02-15,"""Imagine if Core and Classic got together and merged their efforts in a single, consensus-based hard fork.""  https://t.co/Oxi1SY4rnA",Neutral,-0.04218006129999985,13934200.0,-11226500.0
16,rogerkver,2016-03-25,"My Japanese copy of The Ethics of Liberty by Rothbard, paid in Bitcoin via @PurseIO Read it! https://t.co/7DLJQh1oql https://t.co/rWmhDkJO4s",Neutral,-0.5170993804999995,13782000.0,-26081800.0
17,rogerkver,2016-04-16,"Whether one is robbed by a street thug or by a well-dressed, well-educated ""tax collector"" makes no difference in moral or practical terms.",Neutral,0.3736200331999999,9888460.0,-12179000.0
18,rogerkver,2016-07-05,"The term ""law"" is often used to try to characterize something evil as something good.",Neutral,-0.8460006714000006,45526900.0,-12943500.0
19,rogerkver,2016-07-08,Voting for someone else to do something that you don't have the right to do yourself doesn't magically make it moral https://t.co/pBlMXsG2ox,Neutral,1.2792997361000005,20039800.0,-15407200.0
20,rogerkver,2016-07-17,Criticizing other people is easy. Accomplishing something yourself is hard.,Neutral,-0.46479988099999936,17921600.0,-10445700.0
21,rogerkver,2016-08-08,"Whether a family in Iraq is killed by soldiers of Saddam Hussein or by soldiers of Obama makes no difference, morally or in practical terms.",Neutral,0.3319005966000006,14956700.0,-16551000.0
22,rogerkver,2016-10-24,"People often want govt to use force, simply because they are not sure how something would be accomplished if people were left in freedom.",Neutral,-0.06820011139999949,5739690.0,-5774660.0
23,rogerkver,2016-11-12,"When the cost of using something goes up, people use less of it. This means high bitcoin tx fees are causing fewer people to use bitcoin.",Neutral,-0.4144401549999994,10052500.0,-6056300.0
24,rogerkver,2016-11-25,"""Security and usability are evaporating. Something must be done."" -G. Maxwell (evaporating due to his own policies)
https://t.co/9H6WuqOjo8",Neutral,0.1735200882000001,7669720.0,-15987800.0
25,rogerkver,2017-05-14,Artificially limiting the block size will simply cause potential Bitcoin users to use something else. https://t.co/5dbB7DvWF7,Neutral,-0.0850982665999993,66046600.0,-88742200.0
26,rogerkver,2017-07-05,"""So no worries, Ethereum's long term value is still ~0"" -Greg Maxwell CTO of @blockstream and opponent of Bitcoin scaling as Satoshi planned",Neutral,-4.325012206999986,790256000.0,-687691008.0
27,rogerkver,2017-07-19,Something to ponder: https://t.co/yIHf1PbVzi,Neutral,-35.237991333,2328790016.0,-2709260032.0
28,rogerkver,2017-10-27,Simply being scarce isn’t enough to give something value.  It must be USEFUL and SCARCE.  Full blocks are destroying Bitcoin’s usefulness.,Neutral,0.9150085448999903,257168992.0,-270272992.0
29,rogerkver,2017-11-03,"People at #Devcon love #BitcoinCash, #Zcash, #Zcoin, #Monero, #Ethereum and any other coin that is useful.  Economic utility matters! https://t.co/NzwZ28UDTq",Neutral,17.21398925790004,646339968.0,-904900992.0
