,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,saylor,2020-09-18,“In all things of nature there is something of the marvelous.” - Aristotle on #Bitcoin,Positive,-4.972953032000021,14108357740.4861,-5791173340.013802
1,saylor,2020-10-07,"@RayDalio  – If #Bitcoin is the solution to the great monetary inflation we all face, you have $ billions to gain.  If it’s not, I have $1 billion in $BTC to lose.   Given the stakes, could you invest an hour &amp; watch my interview below?   We will find the truth together. https://t.co/t0l2FRB4tC",Positive,0.8655722299999979,11929918060.017431,-900878051.9558735
2,saylor,2020-11-22,"For 953 million people in 20 countries with weakening currencies, #Bitcoin represents something greater than a treasury asset.  For them, it's more like an ark of encrypted energy to escape the flood. https://t.co/yABiANYL6s",Positive,8.581469930000026,21967049601.05205,1209950417.1434174
3,saylor,2021-04-30,@RaoulGMI I joined Real Vision long before I met @RaoulGMI .   LOL - I used my credit card to buy something online for the first time this year. 💳  I figured it was a good investment.  It turned out to be awesome.,Positive,15.473017079999863,29777179888.68,-2800948100.9399986
4,saylor,2021-11-13,"Presumably, every communications satellite launched is obsolete and can be replaced by something 100x better - thus Google's initiative...",Positive,-15.258600090100117,14457436260.75,-3858623946.950001
5,saylor,2021-11-15,"Unless you are the best in the world at something, it is becoming likely you won't be needed for anything.  http://t.co/yEVD5bRUEK",Positive,-69.58722609540018,16275851298.5,4102889079.49
6,saylor,2021-03-21,"“It is difficult to get a man to understand something, when his salary depends on his not understanding it.” - Upton Sinclair on #Bitcoin",Negative,-24.38952742000015,22977404620.4,-22677674970.21
7,saylor,2017-08-04,"If rumors of an untethered LTE device are true, the Watch business (&amp; Siri) should grow dramatically for Apple. https://t.co/Fgpal2ec8r",Neutral,-2.235000610299977,539782976.0,-557217024.0
8,saylor,2020-09-20,"When considering network dominance in the crypto industry, I find it clarifying to separate crypto-asset networks like #Bitcoin from crypto-application networks like Ethereum &amp; stablecoins. Bitcoin dominance has advanced from a low of 71.05% on December 20, 2017 to 93.57% today. https://t.co/03cbWVyoLY",Neutral,-14.545166671000004,12292195784.1144,-11049507683.5861
9,saylor,2020-10-20,"Everyone in the crypto industry would benefit if analysts segmented the market into crypto-assets (e.g. #Bitcoin), crypto-applications (e.g. Ethereum), &amp; crypto-currencies (e.g. Tether), and calculated three different dominance metrics.

https://t.co/rnySXljPKN",Neutral,-10.582785510000008,13741586581.762468,-12811242091.78954
10,saylor,2020-10-24,Imagine a world where everyone used something fair &amp; equitable to settle their economic differences.  #Bitcoin,Neutral,2.6903846800000224,12201739193.972786,-14256222051.84666
