,Text,Username,Unnamed: 0,Datetime,polarity
0,"Legendary music artist Nas just sold out his first digital music royalty drop on @join_royal in seconds.

The business behind the music industry is about to get disrupted in a major way.",APompliano,33219,2022-01-20 18:31:56+00:00,Neutral
1,"If you can figure out how to be a decent problem solver, you’ll always be sought after in business and investing.",APompliano,33233,2022-01-20 00:32:25+00:00,Neutral
2,People will dismiss real estate in the metaverse while they purchase real estate on Facebook and Google 😂,APompliano,33292,2022-01-16 23:15:57+00:00,Neutral
3,@micsolana A+ experience!,APompliano,33343,2022-01-13 20:22:38+00:00,Neutral
4,@YomiOyesola I am an independent. I don’t ascribe to any political party.,APompliano,33344,2022-01-13 20:06:39+00:00,Neutral
5,"Gasoline is up 49.6% over the last 12 months. 

Insane 🤯",APompliano,33359,2022-01-12 23:49:03+00:00,Negative
6,"Every company struggles with figuring out compensation for their team.

How much should you pay someone? What is competitive?

@TryAssemble solves this for companies. I'm very excited to be a small part of their $5M seed round. 

Try it out: https://t.co/Th7DJX8acI https://t.co/mNVOm7Eocq",APompliano,33386,2022-01-11 20:52:51+00:00,Neutral
7,@micsolana In before you're cancelled,APompliano,33411,2022-01-10 17:28:54+00:00,Neutral
8,"@lincolnsamelson @TheBestBizzShow That is definitely the bull argument for Berkshire right now. I think there is solid argument there.

The counter is that the Fed and politicians won't let the market crash. 

I don't know what happens but fascinating to watch.",APompliano,33474,2022-01-07 16:45:55+00:00,Neutral
9,"I also receive $11 when you open an account. I will be donating my referral money from Strike to @HRF to support #Bitcoin open source development.

Inflation is a problem.

Bitcoin is our solution.

Spread the message.",APompliano,33500,2022-01-06 18:38:34+00:00,Neutral
10,No one wants to shop at Walmart in the metaverse. https://t.co/2mes57XeZf,APompliano,33518,2022-01-05 23:09:47+00:00,Neutral
11,"New episode with @DylanLeClair_ is now live! 

We discuss the free market solution to the broken cost of capital.

Fascinating conversation. Enjoy! 

https://t.co/bRjjKhRmKp",APompliano,33555,2022-01-05 13:13:21+00:00,Neutral
12,"Good morning to everyone except the people who already gave up on their New Year’s resolutions. 

Let’s get after it relentlessly today 🔥",APompliano,33556,2022-01-05 12:16:59+00:00,Neutral
13,"If you had to buy one asset and hold it for the next decade with the sole goal of protecting your purchasing power, what wallet would you use to hold your Bitcoin?",APompliano,33656,2021-12-31 15:11:08+00:00,Neutral
14,"New episode with @ValKatayev is now live!

Many of you don’t know Val yet, but he is a true entrepreneur. 

He built large startups, sold numerous companies, manages a conglomerate through his holding company, &amp; is investing heavy in real estate.

Enjoy!

https://t.co/yFUCD5cLVt",APompliano,33669,2021-12-31 13:00:18+00:00,Neutral
