,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,APompliano,2020-04-13,"Elon Musk is out here launching civilians into space and some of you think the government can solve our problems better than entrepreneurs.

We need as many entrepreneurs, investors, and capitalists as we can get.",Positive,-0.11292804740000006,18211285.4666889,-20525611.5519533
1,APompliano,2020-07-31,"We're LIVE with @KyleSamani right now talking about his investment in Solana, which is probably one of the best investments in venture history.

WATCH: https://t.co/UZYAlRqQBG",Positive,-0.1486294479000001,4822046.26693321,-400933.80942707974
2,APompliano,2020-09-21,"Today's episode of The Best Business Show is 🔥

- El Salvador buys the dip
- Roth IRA rules changing
- Doordash flips Uber
- Internet is undefeated

Then @udiWertheimer joins us to talk bitcoin, maximalism, memes, and the metaverse.

WATCH: https://t.co/UZYAlRqQBG",Positive,-0.08839397900000012,19492893.6246122,10275598.21048616
3,APompliano,2020-12-03,"8/ We’re doing our best to scale up our team and create more effective programs.

We can’t promise everyone will be hired, but we already have a very solid track record.

We’ll continue to share more information over time as we learn more.

The goal is 10,000 people hired 🙏🏼",Positive,-0.016746330000000142,18106121.72298748,2256293.5176852513
4,APompliano,2020-12-06,"Today is a fun one on The Best Business Show 🔥

- Navajo Nation mining bitcoin
- Coinbase borrowing product
- Congressmen asking for ETF
- Nike &amp; the metaverse

Then @raypaxful joins us to talk bitcoin and developing nations.

WATCH: https://t.co/UZYAlRqQBG",Positive,-0.12440949000000012,7167229.51269223,-583551.53211114
5,APompliano,2020-12-23,@micsolana lmao,Positive,-0.2845281599999998,16776307.03794223,5709742.294363691
6,APompliano,2021-01-03,"Politicians complain. 

Entrepreneurs build better solutions.",Positive,0.36185022999999994,55073422.17629275,23402358.638513688
7,APompliano,2021-01-07,"Today's episode of The Best Business Show is going LIVE right now. 

- Tesla
- Bitcoin
- Facebook &amp; metaverse
- Home shortage
- Privacy &amp; tracking data

Then @MartyBent will join us at 12:15p EST to inform the world :)

WATCH NOW: https://t.co/ocHmskBA4c",Positive,0.43615914999999994,159870278.0790676,109606302.9497427
8,APompliano,2021-01-21,Free markets are the best solution.,Positive,-0.7311338900000002,43834764.53989141,-2863891.9054085463
9,APompliano,2021-02-01,"This was me. I sold my recurring revenue to get cash upfront. Then I bought more Bitcoin.

If you want to do the same, go talk to @harryhurst and @pipe. Incredible platform :) https://t.co/XxsnuUWP11",Positive,0.3503504899999994,39361628.64,-39014638.17999999
10,APompliano,2021-02-09,"Here we go...

The ridiculously talented @benmezrich just sold the movie rights to a book he hasn't written yet to MGM about Wall Street Bets.

@cameron and @tyler involved in producing it as well.

https://t.co/jS1mczX8Cu",Positive,-0.05300250999999978,121037872.69,-34216388.09
