,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,BarrySilbert,2020-11-28,Announcing our latest investment in @RevealHQ alongside @VCMike @ResoluteVC @BoostVC  https://t.co/O8BO8bCDrd,Positive,0.02910948999999996,11661882.95615155,-1645925.4088523593
1,BarrySilbert,2020-09-10,"Our newest investment in @Decentraland via Metaverse Ventures:  Decentral Games, a maker of virtual casino games

Don't blow all your $MANA on one blackjack hand! https://t.co/pPvb7iPYtQ",Neutral,-0.1665409846000001,31177874.7930509,-52354542.078401
2,BarrySilbert,2020-11-10,"According to @FoundryServices, Bitmain and MicroBT are both sold out of new bitcoin mining equipment through April 2021",Neutral,0.21933486000000002,16170833.13282796,-18210625.97270338
3,BarrySilbert,2021-01-07,It is my absolute pleasure to announce that Michael Sonnenshein has been promoted to CEO of Grayscale. I look forward to seeing the new heights he will take the business over the years to come https://t.co/sJbz2pWVAS,Neutral,0.43615914999999994,159870278.0790676,-50263975.12932488
4,BarrySilbert,2021-01-09,Twitter is going to absolutely lose it’s shit when Elon/Tesla disclose bitcoin holdings,Neutral,0.16184124000000022,91906875.463772,-206412154.2447589
5,BarrySilbert,2021-03-22,@AMERICANHODL3 I expect absolute and eternal loyalty from you,Neutral,0.5690149099999999,260995136.25,-64229338.03
6,BarrySilbert,2021-04-14,@cburniske sold!,Neutral,-0.9248943500000024,342565805.3,-258183912.26
7,BarrySilbert,2021-05-10,"@fintechfrank sold the initial $1 mm yesterday. what's left, if anything, goes to charity",Neutral,-1.4324587700000038,499528075.74,-510603311.56
8,BarrySilbert,2021-10-29,"Looking for a non-Facebook metaverse play? Check out the Grayscale Decentraland Trust, which holds $MANA, the native currency of the first decentralized metaverse https://t.co/1W3ISplv6R",Neutral,5.276315697900003,2468703579.0,-3463958628.24
9,BarrySilbert,2021-10-30,"Want to buy some land in the decentralized metaverse (the one not owned by Facebook)? Start here:

https://t.co/3cqSe488FO",Neutral,-4.809671867999981,1732207667.31,-2468703579.0
10,BarrySilbert,2021-10-30,"The @decentraland DAO holds over 200 million $MANA, worth &gt;$600 million at current prices, which will be used to improve the metaverse

The higher the $MANA price, the more resources are available to upgrade the metaverse. All decentralized 

Cool, right?

https://t.co/1ssFd2wW3w",Neutral,-4.809671867999981,1732207667.31,-2468703579.0
11,BarrySilbert,2021-11-24,"With $MANA now over $5, there is $1 billion available to build the decentralized metaverse https://t.co/J7KEPGggty",Neutral,-6.939075957399979,2293934141.62,-2328763768.31
12,BarrySilbert,2021-11-25,"@eordano i'm just going to revise my pitch to ""the anti-Facebook metaverse play"" and that should do the trick",Neutral,0.3668288281999992,2586718626.87,-2293934141.62
13,BarrySilbert,2021-11-27,Metaverse tokens &gt; Meme tokens,Neutral,0.8185872976000041,1443178832.96,-3380122748.03
14,BarrySilbert,2021-11-30,$SOL + @Grayscale https://t.co/XT3vKhdPWs,Neutral,4.438042894000006,2888387657.07,-2110532146.88
15,BarrySilbert,2021-12-01,"Investors Snap Up Metaverse Real Estate in a Virtual Land Boom

$MANA
 https://t.co/xkR6i4uGuk",Neutral,21.4060719167,3532771294.16,-2888387657.07
16,BarrySilbert,2021-12-29,"New Year's Eve is very much on — in the metaverse. Decentraland, a blockchain-based virtual world, will recreate the iconic Times Square ball drop, starting with its ""MetaFest 2022"" global party on Dec. 31 

$MANA

https://t.co/16qKSAFX3X",Neutral,-6.731485559399999,2175731145.71,-2826063568.47
17,BarrySilbert,2022-01-07,@intangiblecoins it is absolutely ridiculous right now...and totally not sustainable,Neutral,-14.010590111300019,2926269671.99,-2097172620.16
