,Text,Username,Unnamed: 0,Datetime,polarity
0,Aprende a planificar la herencia de tus #criptomonedas. Obten el libro de @pamelawjd y comienza en tan solo 30 minutos. Disponible en tapa blanda https://t.co/KY4g2wUkyJ y en formato electrónico https://t.co/C8obPiscLU,aantonop,95341,2022-01-18 15:49:21+00:00,Neutral
1,"The Lightning Network can be layered on top of any Blockchain-based cryptocurrency, allowing for immediate transactions and low fees. Find out more about how it can solve scalability issues in Mastering the #Lightning Network. https://t.co/PnszZdWeXj https://t.co/6hd0O5hm9I",aantonop,95343,2022-01-15 12:12:09+00:00,Neutral
2,"A labour of love, and currently #1 on Amazon Business, Mastering the Lightning Network covers everything from the basics of Lightning technology to the technical details of how and why it is a critical solution to Bitcoin's scalability problem. Purchase https://t.co/PnszZdWeXj https://t.co/NbKkO2R3Ae",aantonop,95357,2021-12-13 04:26:10+00:00,Neutral
3,"In the lastest ReImagined video, learn how and when to Consolidate UTXOs. This is an advanced topic Q&amp;A from my May Q&amp;A Livestream. - https://t.co/kA0ZmiE10y https://t.co/vHNx8SoBjM",aantonop,95392,2021-10-19 18:55:11+00:00,Neutral
4,Institutions of trust are failing. They can't scale. Learn more about how #Bitcoin solves that problem here: https://t.co/5OqMAy6sMG https://t.co/7xMzKf6k10,aantonop,95447,2021-08-31 17:55:24+00:00,Neutral
5,"@PregoAgustin I sincerely apologize if my joke was flippant. It was absolutely not meant to be. Quite the opposite, I love Argentina and it's people and would never disrespect intentionally",aantonop,95643,2021-05-05 01:35:31+00:00,Neutral
6,"@OHVillasenor Aren't these like the best mugs? Big, heavy, and well made? I love them and got several myself to test before we sold them",aantonop,95701,2021-04-16 19:16:04+00:00,Neutral
7,"@mbarkhau @danheld @michael_saylor Absolutely. I thought it was a scam and ignored it for more than a year. It was only the second time that I read the whitepaper and started exploring it. I tried to ""debunk"" it and I tried to break the security and hack it. I was looking for the ""catch"". I failed to find one",aantonop,95702,2021-04-15 21:04:53+00:00,Neutral
8,"In #bitcoin, privacy isn't a one and done sort of thing, but here are the simple ways you can increase #privacy on your bitcoin transactions right now: https://t.co/FNaDSXFfCu https://t.co/eoBsPSSOLD",aantonop,95727,2021-04-09 08:00:17+00:00,Neutral
9,"@thing_rat @COLDCARDwallet I think the ColdCard adds some device entropy. 

A lot of this is for very very advanced cold storage strategies. Not necessary for the vast majority of users. Keep things simple. 

Don't use solutions that exceed your technical understanding - that's dangerous.",aantonop,95927,2021-02-25 17:57:32+00:00,Neutral
10,"@AlphaLogician @HafkeHafke Yes and it is wrong. For 99% of users, it will result in loss of funds. It reduces overall security while also reducing resilience. You should use the optional passphrase if you are concerned about the physical security of the mnemonic phrase. Your ""solution"" puts keys online",aantonop,95933,2021-02-25 17:18:33+00:00,Neutral
11,"@letsgoskatepool You don't memorize it. You record it on a durable medium. If paper, then it is equivalent but far superior to a single-key obsolete paper wallet.",aantonop,95947,2021-02-25 15:33:45+00:00,Neutral
12,"Observe as dozens of people show off their ""amazing technical skills"" by contradicting what I just said and propose complex DIY solutions that newbies will try to follow and lose money...

Do not listen to them. 

Every time!",aantonop,95948,2021-02-25 15:28:57+00:00,Neutral
13,"PSA: Paper wallets are obsolete and dangerous for newbies. 

Everything you could do with a paper wallet you can do better with a hardware wallet &amp; a BIP39 mnemonic phrase (seed words).

(Yes that method you came up with on your own is also dangerous. That one too. And that one) https://t.co/7yFse85HV9",aantonop,95950,2021-02-25 15:12:20+00:00,Neutral
14,"@aeyakovenko @ArweaveTeam @solana The audience of newbies is on Youtube. 
Pragmatism and my desire to help new people in this space trump all other considerations or options.",aantonop,95979,2021-02-22 01:20:29+00:00,Neutral
15,"@rodin_en_colors @PeterMcCormack @100trillionUSD I still say ""it's about the other 6 billion"". The base chain and its security is incredibly important for those ""earning less than $10 a day"" to sustain as a store of value. For transactional use, we should be looking to Lightning Network and other layer-2 scaling solutions.",aantonop,96085,2021-02-11 18:43:16+00:00,Neutral
