,user,date,tweet,polarity,valueDelta,volume,volumeDelta
0,elonmusk,2020-08-01,"@FutureJurvetson @CFS_energy @CUP_Plasma @MIT It’s cool &amp; for sure can &amp; should be done, but I suspect its best case will be more costly than wind &amp; solar (aka big fusion reactor in sky)",Positive,-0.006149277200000025,4589882.24595131,-232164.0209819004
1,elonmusk,2020-10-01,@TonyChoMrMagic @TeslaEnergy One of the best Tesla Solar Roof installations,Positive,-0.03713414000000004,10825966.25721191,3058264.1479193904
2,elonmusk,2021-01-09,"@Erdayastronaut @josh_bickett @ajtourville @SpaceX That said, the ship landing burn has a clear solution. My greatest concern is achieving good payload to orbit with rapid &amp; full reusability, without which we shall forever be confined to Earth.",Positive,0.16184124000000022,91906875.463772,-114505278.7809869
3,elonmusk,2021-02-05,Tesla AI/Autopilot engineering is awesome! Making excellent progress solving real-world AI.,Positive,0.2463505399999999,92892157.08,-15357324.430000007
4,elonmusk,2021-04-14,"@weddleandsons @Tesla Working with Weddle and Sons Roofing has been a great collaboration for accelerating Tesla Solar Roof installation! 

This is a lot of work, as tens of millions of homes need solar roofs! If you are a roofing company, please consider adding Solar Roof to your offerings.",Positive,-0.9248943500000024,342565805.3,84381893.04000002
5,elonmusk,2021-07-07,@stevenmarkryan Convincing the best AI talent to join Tesla is the sole goal,Positive,2.358562599999999,519252659.09,153916619.01999998
6,elonmusk,2021-07-29,"@PPathole Booster has 2 pins for lifting &amp; catching, although maybe it’s better to modify grid fins to take more load. 

Something will need to flip out from leeward side of top of ship to do same there. Maybe it’s part of fwd flaps, but prob not.

Diff solutions for diff load paths.",Positive,3.4031635199999997,448009570.77,132326944.65999997
7,elonmusk,2021-08-30,"@Tenjin37151 @Space_Station @SpaceX @Commercial_Crew @NASA @esa @JAXA_en @astro_kimbrough @Astro_Megan @Thom_astro @Aki_Hoshide As described in The Moon is a Harsh Mistress (great book), a linear accelerator would be great for the moon. 

Earth’s gravity is too high &amp; atmosphere too dense for accelerators to be a good solution vs reusable boosters imo.",Positive,16.199936779999987,5274104165.4,3443760074.2999997
8,elonmusk,2021-11-10,"The sun is absurdly, overwhelmingly the source of energy in our solar system",Positive,-5.354226696600023,3873202097.64,1053892605.4099998
9,elonmusk,2021-12-01,All known rocket anomalies resolved. Will spend another day rechecking to be sure. Launch attempt tmrw eve w Wed as backup.,Positive,21.4060719167,3532771294.16,644383637.0899997
10,elonmusk,2021-12-19,Solar array deployment successful,Positive,-2.7528551289999825,1678714066.28,-11683909.339999914
11,elonmusk,2020-04-30,Why forced isolation is bad https://t.co/c2XCcRSx1C,Negative,-0.05614911609999995,5016891.64140768,-8801144.47969972
12,elonmusk,2021-01-07,"@engineers_feed Not to get to orbit, unfortunately. In space, photon emission powered by matter-antimatter annihilation would rock, but that’s more of a long-term solution.",Negative,0.43615914999999994,159870278.0790676,-50263975.12932488
13,elonmusk,2021-06-09,"@leastImAlive @PPathole Yeah, sold my houses, except for 1 in Bay Area that’s rented out for events. 

Working on sustainable energy for Earth with Tesla &amp; protecting future of consciousness by making life multiplanetary with SpaceX. Also, AI risk mitigation with Neuralink &amp; fixing traffic with Boring.",Negative,0.7519848299999978,1218831040.77,-1786996802.01
14,elonmusk,2020-04-16,@RationalEtienne @PPathole @fat__tire @Kristennetten @Robotbeat @ghotiing @CruizVinicius @josh119872 @SweetINXS @voteLabonte @Erdayastronaut @Tesla Does seem that early use is wise. Solving late stage C19 probably requires two or three mechanisms of action.,Neutral,0.05993705930000004,21346031.3456645,-13075275.285934
15,elonmusk,2020-04-22,@thirdrowtesla @MFrunker Thanks! We are taking some key steps to reduce satellite brightness btw. Should be much less noticeable during orbit raise by changing solar panel angle &amp; all sats get sunshades starting with launch 9.,Neutral,0.1104348261,18828399.5228331,-9711507.44842345
16,elonmusk,2020-04-22,@Erdayastronaut @flcnhvy @anime_virus @thirdrowtesla @MFrunker Solar panel angle during orbit raise / park. We’re fixing it now.,Neutral,0.1104348261,18828399.5228331,-9711507.44842345
17,elonmusk,2020-04-24,@VenciKudev @Tesla Absolutely,Neutral,0.010221048700000068,9064190.2668448,-13485271.0516431
18,elonmusk,2020-04-25,@cleantechnica Many talented engineers are working on FSD at Tesla. What matters is solving vision at high frame rate in our compute space with low latency between camera frame &amp; actuation.,Neutral,0.012801243299999987,7311904.72226874,-9064190.2668448
19,elonmusk,2020-05-01,@_coffee4closers @jon_stocks92 Exactly. How cheaply freedom is sold.,Neutral,0.03774854839999997,4164272.07175221,-5016891.64140768
20,elonmusk,2020-05-07,"@Erdayastronaut @YoavOffek Flare stack flamed out. In a few weeks we’ll be recondensing methane using solar power, so no flare stack.",Neutral,-0.009605641599999992,3355830.23580211,-2677562.97435084
21,elonmusk,2020-05-09,"@EverydayElon @SjvTesla @GerberKawasaki @thirdrowtesla Absolutely, please do! You should be allowed to recoup damages from the county.",Neutral,0.000485890799999944,2128502.76121917,-2488194.57299153
22,elonmusk,2020-05-09,@vincent13031925 @GerberKawasaki @thirdrowtesla Absolutely,Neutral,0.000485890799999944,2128502.76121917,-2488194.57299153
23,elonmusk,2020-05-10,"@TeslaTested @LegendaryEnergy Absolutely. Moreover, they don’t even need to be tested for covid, just need “covid-like symptoms”, which is a long list, including “feeling weakness”. Hard to die *without* feeling weakness!",Neutral,-0.06742681839999998,2327580.79632425,-2128502.76121917
24,elonmusk,2020-05-11,@PPathole @LorenaSGonzalez @Tesla Absolutely,Neutral,-0.02098222120000004,2098480.82876321,-2327580.79632425
25,elonmusk,2020-05-15,@flcnhvy Absolutely. Tesla already went through this in China with 7000 employees. Zero fatalities or serious illnesses.,Neutral,-0.009441332700000027,1850070.45437919,-2047896.7931676
26,elonmusk,2020-05-15,"@jk_rowling Pretty much, although massive currency issuance by govt central banks is making Bitcoin Internet 👻 money look solid by comparison",Neutral,-0.009441332700000027,1850070.45437919,-2047896.7931676
27,elonmusk,2020-06-08,"@JimBridenstine @Commercial_Crew @NASA Outcome-based contracting with multiple competitors is vastly better than cost-plus (especially if sole-sourced), as the former rewards results &amp; latter rewards waste. Outcome contracting should be applied broadly within government. The difference in results will be incredible.",Neutral,0.05323510570000001,1440233.8242528,-716785.469365787
28,elonmusk,2020-06-08,@Erdayastronaut Absolutely,Neutral,0.05323510570000001,1440233.8242528,-716785.469365787
29,elonmusk,2020-06-10,"Moreover, energy produced by Tesla solar deployments far exceeds energy used in our factories https://t.co/IDqf5gWeFt",Neutral,-0.013171658000000086,1096203.32551522,-988327.438893434
30,elonmusk,2020-06-15,@flcnhvy Absolutely,Neutral,-0.0177338157000001,942666.189719777,-873415.751115423
31,elonmusk,2020-06-21,"@cleantechnica The was not to outcompete other companies, but rather to maximize usefulness &amp; rate of progress in the absolute",Neutral,0.0270146899,2238347.1863849,-1714405.29578048
32,elonmusk,2020-06-21,"@WhatsupFranks @flcnhvy @MKBHD Will do. I play PC, so missed some of console exclusives.",Neutral,0.0270146899,2238347.1863849,-1714405.29578048
33,elonmusk,2020-06-26,@flcnhvy @Teslarati Absolutely!,Neutral,0.028613067999999964,1664662.318395,-1751581.2295456
34,elonmusk,2020-06-27,"@GerberKawasaki @barronsonline Physics favors electric transport, batteries for stationary storage &amp; solar/wind for energy generation",Neutral,-0.02604882630000005,1681428.02669551,-1664662.318395
35,elonmusk,2020-07-01,"Tesla Impact Report (repost). We do everything humanly possible to source materials &amp; produce sustainable energy cars, batteries &amp; solar ethically. Suggestions for improvement are always appreciated.

https://t.co/WCemMJ44um",Neutral,-0.030722393700000072,1772559.84133893,-3887548.37229807
36,elonmusk,2020-07-02,"@SamTalksTesla @tlowdon @daniellevitt22 In principle, I think synthetic RNA (and DNA) has amazing potential. This basically makes the solution to many diseases a software problem.",Neutral,-0.05189694890000007,1749581.47684417,-1772559.84133893
37,elonmusk,2020-07-04,"@bigwheelastro @ChainsawMelee @EvaFoxU @PPathole @leighalexander @TalulahRiley Yeah, but why? I’m working on sustainable energy cars &amp; solar that help Earth and making life multiplanetary, to ensure its continuance, with SpaceX.",Neutral,0.012430728999999974,1644301.45065498,-1144958.29683634
38,elonmusk,2020-07-10,"@kenyanwalstreet Not actually a payout, just a vesting of stock options. It may never pay out, as the stock can’t be sold for 5 years after exercise. The stock must be bought &amp; income taxes paid, then hold value for 5 years.",Neutral,0.06025586890000001,1856094.87383758,-2668723.50625663
39,elonmusk,2020-07-10,@flcnhvy @PPathole @IheartTesla Absolutely,Neutral,0.06025586890000001,1856094.87383758,-2668723.50625663
40,elonmusk,2020-07-18,"If you’ve solved hard problems with phones / wearables (sealing, signal processing, inductive charging, power mgmt, etc), please consider working at engineering@neuralink.com",Neutral,-0.010931952500000008,2923007.17734355,-8973774.36468872
41,elonmusk,2020-07-18,"Solving high-volume, high-reliability, low-cost production problems is especially valued",Neutral,-0.010931952500000008,2923007.17734355,-8973774.36468872
42,elonmusk,2020-07-19,This would solve a lot of brain/spine injuries &amp; is ultimately essential for AI symbiosis,Neutral,-0.04765460160000001,2206671.01567458,-2923007.17734355
43,elonmusk,2020-07-23,@tomosman @Tesla Absolutely,Neutral,0.003688569599999969,2970423.1250175,-5295001.98436419
44,elonmusk,2020-07-24,"Tesla solar panels are $1.49/Watt 
https://t.co/5LpLhqgAzw",Neutral,-0.05449807569999998,1991763.30860784,-2970423.1250175
45,elonmusk,2020-08-01,@cybrtrck Absolutely. Long-lasting art is incredibly difficult.,Neutral,-0.006149277200000025,4589882.24595131,-4822046.26693321
46,elonmusk,2020-08-15,"@GiulioCoraggio Absolutely, but it doesn’t seem that govt can move fast enough",Neutral,-0.22876024279999996,13155762.3719706,-18427949.9772839
47,elonmusk,2020-08-19,@EvaFoxU @cnunezimages @SpaceIntellige3 Absolutely 😃 🏝,Neutral,-0.4296553520999997,14838388.9157821,-30350144.9435501
48,elonmusk,2020-08-19,@DanielleFong @ajtourville @comma_ai @Tesmanian_com Absolutely needs liquid cooling. We’re applying our experience cooling half megawatt drive unit power electronics in cars to computers.,Neutral,-0.4296553520999997,14838388.9157821,-30350144.9435501
49,elonmusk,2020-08-25,@dauqhx @universal_sci There’s a lot of frozen CO2 &amp; H2O on Mars. Heating the planet will densify the atmosphere. It’s solvable.,Neutral,-0.0848139253000002,13444308.062981,-15785207.7166973
50,elonmusk,2020-08-30,"@SamTalksTesla @Teslarati If some company has solved a useful thing that we can just buy, that would be great! It’s so much work to create our own tech. We develop new tech, because we have to, not because we want to.",Neutral,0.46581161579999986,22220238.7965161,-14585964.4266973
51,elonmusk,2020-09-15,"@ValaAfshar Tunnels are the solution to traffic. You can have as many levels as you want. Usable tunnel depth far exceeds tallest buildings, so would work even for New York or Beijing.",Neutral,-0.3300125329000001,11992537.7843944,-21301450.1011828
52,elonmusk,2020-10-05,@teslaownersSV FSD will solve these issues,Neutral,0.1385091100000002,8105684.0286038,-7075729.47763526
53,elonmusk,2020-10-07,"@PPathole @klod_ua @Erdayastronaut @TrevorMahlmann @johnkrausphotos @Mike_Seeley 7 bar absolute, which is fine for flight. This was a proof test, rather than a burst test. We’ll hopefully fix the leak today &amp; retest.",Neutral,0.11598693000000004,11759752.04495923,-9739070.719841
54,elonmusk,2020-10-08,"@TashaARK Waymo is impressive, but a highly specialized solution. The Tesla approach is a general solution. The latest build is capable of zero intervention drives. Will release limited beta in a few weeks.",Neutral,0.06523864999999995,14931921.70481354,-11759752.04495923
55,elonmusk,2020-10-09,@SDG2030 @anandmahindra @MetniGeorges @ErikSolheim @berniehollywood Norway leads the world,Neutral,0.17211653000000027,12002959.23561284,-14931921.70481354
56,elonmusk,2020-10-10,@flcnhvy @Neopork85 @Caspar_Stanley @ErcXspace @MarcusHouseGame @FelixSchlang @C_Bass3d @nickhenning3d @SpaceX It might be used in some areas. ITAR laws prevent us from being too specific about solutions.,Neutral,-0.13084324999999986,8842883.98002147,-12002959.23561284
57,elonmusk,2020-10-12,"@electricfuture5 We face a tough dichotomy of applying resources to the old architecture or applying them to the new. It’s not a question of money. If there was a “great engineer” factory, we would place a large order! Unfortunately, great engineers are very rare. This is solved in the FSD build.",Neutral,0.1609579499999998,12289968.79120837,-7170646.66388414
58,elonmusk,2020-10-16,"@bamtheteslaman1 @cleantechnica Doesn’t seem to be any life in this solar system. Maybe under the ice of Europa or extremophile bacteria below the surface of Mars. Worth reading:
https://t.co/ym0d53HgyS",Neutral,-0.11581420999999992,13637728.05365193,-8332482.58866874
59,elonmusk,2020-10-27,@flcnhvy And there were actually zero employees in the factory after GM/Toyota left. They took all good equipment &amp; sold most of rest for scrap. It looked apocalyptic inside.,Neutral,0.024766150000000042,14384427.42623876,-13396735.95349503
60,elonmusk,2020-11-06,"When sending your resume, please describe a few of the hardest problems you solved &amp; exactly how you solved them",Neutral,0.50852195,22547497.1265051,-8924131.52401733
61,elonmusk,2020-11-06,@PPathole Just looking for problem-solvers who get things done with a high sense of urgency. Don’t care if or where they went to school.,Neutral,0.50852195,22547497.1265051,-8924131.52401733
