,Text,Username,Unnamed: 0,Datetime,polarity
0,"@elonmusk Twitter can solve the problem of scammers &amp; spambots if they allow real humans to post ~50,000 sats ($20) via Lightning⚡️&amp; get verified w/an Orange Check. Then we can limit comments/DMs to verified accounts. Bad actors forfeit their security deposit &amp; @Twitter monetizes malice.",saylor,118606,2022-01-21 15:22:24+00:00,Neutral
1,"#Inflation is the problem. #Bitcoin is the solution.
https://t.co/Y5axc3VkLy",saylor,118632,2022-01-12 14:32:12+00:00,Neutral
2,#Inflation is the problem and #Bitcoin is the solution. https://t.co/hQYCtNAg6G,saylor,118728,2021-12-11 18:16:00+00:00,Neutral
3,@cz_binance The halls of eternity echo with the cries of those who sold their #bitcoin.,saylor,118734,2021-12-10 14:25:55+00:00,Neutral
4,"@elerianm The problem is clear to see, and getting worse. It is also not isolated to Turkey (see Argentina et al.). The best solution available to corporations, families, &amp; individuals in economies with collapsing currencies is #Bitcoin.",saylor,118796,2021-11-23 14:14:23+00:00,Neutral
5,@BW The solution to inflation is #Bitcoin.,saylor,118830,2021-11-18 13:31:29+00:00,Neutral
6,"@TheStalwart If we wish to build something that will be beautiful &amp; functional for a century, we need to build it with solid materials on a firm foundation. If steel &amp; stone lost 99% of their essence over 100 years, there would be no New York, London, or Paris. Fiat money decays like wood.☹️",saylor,118843,2021-11-16 16:58:06+00:00,Neutral
7,@PeterSchiff @BTC_Archive Investors need something better than a 5% solution.,saylor,118846,2021-11-15 22:11:47+00:00,Positive
8,#Inflation is the problem. #Bitcoin is the solution. https://t.co/8krEzg6YuP,saylor,118866,2021-11-13 20:55:03+00:00,Neutral
9,"Yesterday with @cvpayne we discussed demand for @MicroStrategy’s Intelligence Everywhere, Delivering Cybersecurity to Social Media &amp; the Metaverse with #Bitcoin &amp; #Lightning, the Digital Transformation of National Defense, &amp; why #Bitcoin is different from other #Crypto assets. https://t.co/1kPIyOqwl6",saylor,118868,2021-11-13 15:08:35+00:00,Neutral
10,"@APompliano Founder's equity is a security and would need to be sold to the public pursuant to relevant securities laws with disclosures. Pre-mined tokens held by a founding team engaged in pursuit of profit would likely cause regulators to view all the tokens as securities, not property.",saylor,118881,2021-11-12 00:29:12+00:00,Neutral
11,@steve_hanke The solution to inflation is a non-sovereign store of value asset in the form of a bearer instrument. #Bitcoin is digital property and meets this requirement best for billions of people in the world with access to a mobile phone. No other saving option is so compelling.,saylor,118892,2021-11-10 17:26:59+00:00,Neutral
12,"The #Bitcoin mining industry has shifted toward North America, where the miners are better capitalized &amp; more energy efficient. @MarathonDH has not sold any BTC since October 21, 2020 and now holds 7453 BTC. $MARA
https://t.co/amlyN0JJSR",saylor,118948,2021-11-02 20:44:34+00:00,Positive
13,"@JasonPLowery @dude_sol When I was at MIT, we used to design spaceships, avionics, &amp; aircraft using mechanical pencils, calculators, &amp; notebooks. Keep sketching...🚀",saylor,118954,2021-11-02 02:23:40+00:00,Neutral
14,"The Report on Stablecoins from the President's Working Group provides a clear path for #USD to solidify its position as the world's reserve currency &amp; should accelerate the adoption of #BTC as the world’s reserve asset.
https://t.co/cOf0WTEtnG",saylor,118956,2021-11-01 20:21:28+00:00,Neutral
15,"@elonmusk @CathieDWood Inflation is a vector, and it is clearly evident in an array of products, services, &amp; assets not currently measured by CPI or PCE. #Bitcoin is the most practical solution for a consumer, investor, or corporation seeking inflation protection over the long term.",saylor,118997,2021-10-26 00:57:00+00:00,Neutral
16,@jack Inflation is the problem. #Bitcoin is the solution.,saylor,119017,2021-10-23 13:26:41+00:00,Neutral
17,The halls of eternity echo with the cries of those who sold their #bitcoin.,saylor,119035,2021-10-20 13:44:38+00:00,Neutral
18,"In September, @RiotBlockchain mined 406 BTC, sold none of its production, and ended the month with 3,534 BTC on its balance sheet. Publicly traded #Bitcoin miners aren't selling bitcoin, they are accumulating bitcoin. The game has changed. $RIOT
https://t.co/Kk4hepCA6U",saylor,119110,2021-10-05 21:39:09+00:00,Neutral
19,"@steve_hanke The problem in Argentina, while extreme, is not unique. Today, more than ever, every country needs sound money. #Bitcoin is the solution and represents hope to everyone living in a nation financing spending sprees with the printing press.",saylor,119135,2021-09-30 14:21:44+00:00,Neutral
20,"The problem in Argentina, while extreme, is not unique. Today, more than ever, every country needs sound money. #Bitcoin is the solution and represents hope to everyone living in a nation financing spending with the printing press. https://t.co/G61swifZIB",saylor,119136,2021-09-30 14:21:04+00:00,Neutral
21,"Every company on Earth is sitting on a balance sheet that is normally cash and credit. Cash and credit are crumbling. I discuss how #Bitcoin solves this problem in my interview with @Alex_fights of @BitcoinMagazine.
https://t.co/DqDS7tMkaZ",saylor,119172,2021-09-20 21:44:30+00:00,Neutral
22,@brian_armstrong As consumers lose faith in their local currency as a medium of exchange they will convert their working capital to USD stable coins. As they lose faith in cash &amp; credit as a store of value they will convert their savings into BTC. #Bitcoin is the solution for wealth preservation.,saylor,119198,2021-09-15 16:27:13+00:00,Neutral
23,Mechanical. Kinetic. Wind. Chemical. Hydro. Thermal. Solar. Nuclear. Electrical. Digital. #Bitcoin,saylor,119203,2021-09-14 12:39:19+00:00,Neutral
24,"On September 7, El Salvador will officially begin using #Bitcoin as its national currency alongside the U.S. dollar. Every cyber hornet 🐝 I know is planning to buy $30 in BTC tomorrow in solidarity with the people of #ElSalvador and their leader @nayibbukele. Will you join us?",saylor,119228,2021-09-06 12:05:59+00:00,Neutral
25,"If I had chosen #Gold instead of #Bitcoin last year, it would have been a multi-billion dollar mistake. It doesn't help to diagnose the problem if you don't choose the right solution. https://t.co/UrYksm7X6w",saylor,119231,2021-09-05 16:47:56+00:00,Neutral
26,"The high resolution version of this file is available for download on my personal website. The art is courtesy of the legendary @FractalEncrypt.
https://t.co/CefdasVgtN",saylor,119290,2021-08-05 16:56:31+00:00,Neutral
27,We don’t have to agree on the problem as long as we agree on the solution.  #Bitcoin,saylor,119302,2021-08-03 12:15:46+00:00,Neutral
28,"@NorthmanTrader True. Everyone has to solve the problem, but access to leverage, asset options, risk tolerance, and timeframes vary depending on whether the entity is a government, institution, corporation, association, or individual, as well as by locale, history, governance &amp; charter.",saylor,119375,2021-07-13 17:15:32+00:00,Neutral
29,“We cannot solve our problems with the same thinking we used when we created them.” - Albert Einstein on #Bitcoin,saylor,119397,2021-07-08 12:29:47+00:00,Neutral
30,"Sovereign debt has a negative real yield and no longer serves as a Store of Value. Capital is being forced out of this asset class into riskier investments, creating a monetary premium on real estate, stocks, corporate bonds, etc. The solution is to replace bonds with #bitcoin. https://t.co/4TY4b3VRgx",saylor,119401,2021-07-07 13:26:37+00:00,Neutral
31,"#Bitcoin is digital property, technically superior to all other forms of property. It is demonetizing gold, real estate, bonds, equity, cash, derivatives, &amp; commodities and the solution to the 21st century challenge of economic security &amp; empowerment.
https://t.co/U6v4ET8iMo",saylor,119422,2021-07-01 01:16:05+00:00,Neutral
32,"@Frank_Giustra @DanielaCambone Gold might hold value, as long as you don't hold it too long.⏱️ I remain hopeful that gold investors in search of a long term Store of Value &amp; Sound Money learn about #Bitcoin, since it's the technical solution they have always been looking for, https://t.co/VdMYCiVrIV Giustra.",saylor,119425,2021-06-30 02:53:27+00:00,Neutral
33,"If your CFO is struggling with the dilemma of whether to surrender your capital, assume debt to leverage up cash flows, or engage in risky, dilutive acquisitions in order to grow, #Bitcoin offers a compelling solution to strengthen your balance sheet.
https://t.co/KKmIJCobxR",saylor,119430,2021-06-29 12:59:53+00:00,Neutral
34,"If you paid off your mortgage last year, you sold #bitcoin appreciating 260% to hold dollars depreciating 28% to make a loan to your bank yielding 3%.",saylor,119466,2021-06-24 11:30:33+00:00,Neutral
35,"@ObsoleteDogma We view inflation as the rate at which prices are going up for the things we wish to buy. The critical economic understanding is US home prices just went up at the fastest rate in recorded history. Ergo, if you need to purchase a home with a salary, it just got 24% harder.",saylor,119472,2021-06-23 01:00:39+00:00,Neutral
36,"My conversation with @TomBilyeu on @Microstrategy, technology risk, engineering innovation, first principles, the chambered nautilus, volatility at sea, economic myths, currency calculus, monetary singularity, property rights, and the #Bitcoin solution.
https://t.co/1dzZgwnKQD",saylor,119517,2021-06-13 14:47:31+00:00,Neutral
37,"The 21st century global monetary solution is a digital currency (USD) serving as a medium of exchange backed by a digital asset (BTC) serving as a store of value, with #Bitcoin as the final settlement network and #Lightning as the transaction network.  El Salvador is the model. https://t.co/xBjABPnZBJ",saylor,119528,2021-06-11 23:05:59+00:00,Neutral
38,"For centuries, every political policy and banking initiative championed by North America and Western Europe to aid Latin American economies has been a failure.  The solution requires monetary technology, not conventional political/economic thinking &amp; good intentions.  #Bitcoin https://t.co/VOzEiHufDt",saylor,119536,2021-06-11 14:00:29+00:00,Neutral
39,@Jason What advice would you offer the citizens of Argentina during the past two decades as their currency collapsed? What advice would you offer the billions of people living in countries with collapsing currencies right now?  #Bitcoin is a solution over the long term - fear is not.,saylor,119553,2021-06-09 18:20:13+00:00,Neutral
